,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,15,0,0,13,35
1,2015-01-11,37,0,0,0,33
2,2015-01-18,41,21,0,25,34
3,2015-01-25,36,0,0,0,27
4,2015-02-01,30,9,0,10,28
5,2015-02-08,80,0,0,0,42
6,2015-02-15,31,0,0,0,35
7,2015-02-22,26,0,0,0,25
8,2015-03-01,14,0,0,9,24
9,2015-03-08,20,0,0,18,28
10,2015-03-15,17,0,0,8,11
11,2015-03-22,11,0,0,0,19
12,2015-03-29,9,0,0,0,17
13,2015-04-05,8,0,0,0,46
14,2015-04-12,11,0,0,48,44
15,2015-04-19,0,12,0,9,30
16,2015-04-26,26,18,0,0,35
17,2015-05-03,27,17,0,0,0
18,2015-05-10,54,0,0,22,27
19,2015-05-17,19,17,0,14,42
20,2015-05-24,20,16,0,0,18
21,2015-05-31,16,0,0,10,28
22,2015-06-07,0,0,0,0,26
23,2015-06-14,23,8,0,0,11
24,2015-06-21,40,0,0,14,36
25,2015-06-28,19,0,0,21,27
26,2015-07-05,0,0,0,0,36
27,2015-07-12,0,0,0,0,23
28,2015-07-19,25,24,0,44,26
29,2015-07-26,13,18,0,11,21
30,2015-08-02,26,0,0,9,13
31,2015-08-09,17,0,0,0,26
32,2015-08-16,53,0,0,14,41
33,2015-08-23,30,13,0,48,52
34,2015-08-30,12,12,0,26,41
35,2015-09-06,11,0,0,0,39
36,2015-09-13,20,0,0,14,44
37,2015-09-20,16,30,0,0,41
38,2015-09-27,0,0,0,0,19
39,2015-10-04,23,0,0,20,46
40,2015-10-11,12,9,0,8,41
41,2015-10-18,16,11,0,11,29
42,2015-10-25,0,7,0,15,34
43,2015-11-01,0,0,0,11,29
44,2015-11-08,9,20,0,8,43
45,2015-11-15,0,0,0,0,58
46,2015-11-22,20,0,0,20,13
47,2015-11-29,0,0,0,13,30
48,2015-12-06,21,0,0,9,40
49,2015-12-13,38,0,0,17,18
50,2015-12-20,27,0,0,21,18
51,2015-12-27,0,18,0,21,51
52,2016-01-03,22,0,0,0,14
