Tour,Artist,Date,City,State,Attendance (Avg.),Revenue (Avg.)
÷ Tour,Ed Sheeran,29 June 2017,Kansas City,Missouri,13382,1217313
÷ Tour,Ed Sheeran,30 June 2017,Des Moines,Iowa,13375,1078939
÷ Tour,Ed Sheeran,1 July 2017,Saint Paul,Minnesota,14938,1375063
÷ Tour,Ed Sheeran,9 July 2017,Buffalo,New York,14305,1167095
÷ Tour,Ed Sheeran,11 July 2017,Philadelphia,Pennsylvania,14461,1315130
÷ Tour,Ed Sheeran,12 July 2017,Philadelphia,Pennsylvania,14461,1315130
÷ Tour,Ed Sheeran,14 July 2017,Uncasville,Connecticut,7443,539582
÷ Tour,Ed Sheeran,15 July 2017,Uncasville,Connecticut,7443,539582
÷ Tour,Ed Sheeran,29 July 2017,Tacoma,Washington,19538,1575039
÷ Tour,Ed Sheeran,30 July 2017,Portland,Oregon,13420,1074959
÷ Tour,Ed Sheeran,1 August 2017,Sacramento,California,13424,1220937
÷ Tour,Ed Sheeran,2 August 2017,Oakland,California,13662,1219722
÷ Tour,Ed Sheeran,4 August 2017,Las Vegas,Nevada,15243,1326231
÷ Tour,Ed Sheeran,5 August 2017,Glendale,Arizona,13654,1239478
÷ Tour,Ed Sheeran,6 August 2017,San Diego,California,10233,917154
÷ Tour,Ed Sheeran,10 August 2017,Los Angeles,California,13577,1207401
÷ Tour,Ed Sheeran,11 August 2017,Los Angeles,California,13577,1207401
÷ Tour,Ed Sheeran,12 August 2017,Los Angeles,California,13577,1207401
÷ Tour,Ed Sheeran,15 August 2017,Denver,Colorado,12917,1159523
÷ Tour,Ed Sheeran,17 August 2017,Tulsa,Oklahoma,12069,961178
÷ Tour,Ed Sheeran,18 August 2017,Dallas,Texas,13632,1207645
÷ Tour,Ed Sheeran,19 August 2017,Houston,Texas,11811,1067592
÷ Tour,Ed Sheeran,22 August 2017,San Antonio,Texas,13928,1112573
÷ Tour,Ed Sheeran,25 August 2017,Duluth,Georgia,10528,985058
÷ Tour,Ed Sheeran,26 August 2017,Duluth,Georgia,10528,985058
÷ Tour,Ed Sheeran,29 August 2017,Tampa,Florida,13459,1076537
÷ Tour,Ed Sheeran,30 August 2017,Miami,Florida,12813,1144534
÷ Tour,Ed Sheeran,31 August 2017,Orlando,Florida,12360,1007408
÷ Tour,Ed Sheeran,2 September 2017,Raleigh,North Carolina,13805,1134012
÷ Tour,Ed Sheeran,3 September 2017,Charlotte,North Carolina,13927,1243772
÷ Tour,Ed Sheeran,5 September 2017,North Charleston,South Carolina,8271,673758
÷ Tour,Ed Sheeran,7 September 2017,Louisville,Kentucky,15721,1257529
÷ Tour,Ed Sheeran,8 September 2017,Indianapolis,Indiana,12740,1014966
÷ Tour,Ed Sheeran,9 September 2017,Cleveland,Ohio,14912,1365524
÷ Tour,Ed Sheeran,12 September 2017,Omaha,Nebraska,13990,1098225
÷ Tour,Ed Sheeran,15 September 2017,Rosemont,Illinois,13173,1173940
÷ Tour,Ed Sheeran,16 September 2017,Rosemont,Illinois,13173,1173940
÷ Tour,Ed Sheeran,19 September 2017,"Washington, D.C.",District of Columbia,13748,1228166
÷ Tour,Ed Sheeran,20 September 2017,"Washington, D.C.",District of Columbia,13748,1228166
÷ Tour,Ed Sheeran,22 September 2017,Boston,Massachusetts,12795,1147608
÷ Tour,Ed Sheeran,23 September 2017,Boston,Massachusetts,12795,1147608
÷ Tour,Ed Sheeran,26 September 2017,Pittsburgh,Pennsylvania,13331,1190945
÷ Tour,Ed Sheeran,27 September 2017,Detroit,Michigan,14124,1268652
÷ Tour,Ed Sheeran,29 September 2017,Brooklyn,New York,13688,1219493
÷ Tour,Ed Sheeran,30 September 2017,Brooklyn,New York,13688,1219493
÷ Tour,Ed Sheeran,1 October 2017,Brooklyn,New York,13688,1219493
÷ Tour,Ed Sheeran,3 October 2017,Columbus,Ohio,13627,1099609
÷ Tour,Ed Sheeran,4 October 2017,Columbus,Ohio,13627,1099609
÷ Tour,Ed Sheeran,6 October 2017,Nashville,Tennessee,13860,1251904
÷ Tour,Ed Sheeran,7 October 2017,Nashville,Tennessee,13860,1251904
÷ Tour,Ed Sheeran,18 August 2018,Pasadena,California,62321,6315595
÷ Tour,Ed Sheeran,21 August 2018,San Francisco,California,38647,4199073
÷ Tour,Ed Sheeran,25 August 2018,Seattle,Washington,55891,4932401
÷ Tour,Ed Sheeran,6 September 2018,St. Louis,Missouri,41522,3726270
÷ Tour,Ed Sheeran,8 September 2018,Detroit,Michigan,47804,4481289
÷ Tour,Ed Sheeran,14 September 2018,Foxborough,Massachusetts,55119,4916274
÷ Tour,Ed Sheeran,15 September 2018,Foxborough,Massachusetts,55119,4916274
÷ Tour,Ed Sheeran,21 September 2018,East Rutherford,New Jersey,53750,5610103
÷ Tour,Ed Sheeran,22 September 2018,East Rutherford,New Jersey,53750,5610103
÷ Tour,Ed Sheeran,27 September 2018,Philadelphia,Pennsylvania,54292,5161682
÷ Tour,Ed Sheeran,29 September 2018,Pittsburgh,Pennsylvania,41014,4169873
÷ Tour,Ed Sheeran,4 October 2018,Chicago,Illinois,47263,4339349
÷ Tour,Ed Sheeran,6 October 2018,Nashville,Tennessee,45888,3954931
÷ Tour,Ed Sheeran,13 October 2018,Kansas City,Missouri,51324,4008747
÷ Tour,Ed Sheeran,17 October 2018,Fargo,North Dakota,17761,1766790
÷ Tour,Ed Sheeran,20 October 2018,Minneapolis,Minnesota,49359,4512421
÷ Tour,Ed Sheeran,24 October 2018,Milwaukee,Wisconsin,37288,3390498
÷ Tour,Ed Sheeran,27 October 2018,Arlington,Texas,46249,4528560
÷ Tour,Ed Sheeran,31 October 2018,New Orleans,Louisiana,42295,2827815
÷ Tour,Ed Sheeran,3 November 2018,Houston,Texas,39354,3985595
÷ Tour,Ed Sheeran,7 November 2018,Tampa,Florida,51120,4197412
÷ Tour,Ed Sheeran,9 November 2018,Atlanta,Georgia,50906,5021395
Not in This Lifetime... Tour,Guns N' Roses,23 June 2016,Detroit,Michigan,44439,4776767
Not in This Lifetime... Tour,Guns N' Roses,26 June 2016,Landover,Maryland,41208,4107027
Not in This Lifetime... Tour,Guns N' Roses,29 June 2016,Kansas City,Missouri,40387,3285043
Not in This Lifetime... Tour,Guns N' Roses,1 July 2016,Chicago,Illinois,41086,4421842
Not in This Lifetime... Tour,Guns N' Roses,3 July 2016,Chicago,Illinois,41086,4421842
Not in This Lifetime... Tour,Guns N' Roses,6 July 2016,Cincinnati,Ohio,32516,2857336
Not in This Lifetime... Tour,Guns N' Roses,9 July 2016,Nashville,Tennessee,42824,4765878
Not in This Lifetime... Tour,Guns N' Roses,12 July 2016,Pittsburgh,Pennsylvania,39109,3810026
Not in This Lifetime... Tour,Guns N' Roses,14 July 2016,Philadelphia,Pennsylvania,49328,4883474
Not in This Lifetime... Tour,Guns N' Roses,19 July 2016,Foxborough,Massachusetts,32736,4151287
Not in This Lifetime... Tour,Guns N' Roses,20 July 2016,Foxborough,Massachusetts,32736,4151287
Not in This Lifetime... Tour,Guns N' Roses,23 July 2016,East Rutherford,New Jersey,50088,5843695
Not in This Lifetime... Tour,Guns N' Roses,24 July 2016,East Rutherford,New Jersey,50088,5843695
Not in This Lifetime... Tour,Guns N' Roses,27 July 2016,Atlanta,Georgia,41508,4544620
Not in This Lifetime... Tour,Guns N' Roses,29 July 2016,Orlando,Florida,40702,5852060
Not in This Lifetime... Tour,Guns N' Roses,31 July 2016,New Orleans,Louisiana,32894,3447362
Not in This Lifetime... Tour,Guns N' Roses,3 August 2016,Arlington,Texas,39015,4786948
Not in This Lifetime... Tour,Guns N' Roses,5 August 2016,Houston,Texas,49778,6166657
Not in This Lifetime... Tour,Guns N' Roses,9 August 2016,San Francisco,California,38173,5597843
Not in This Lifetime... Tour,Guns N' Roses,12 August 2016,Seattle,Washington,42697,5237966
Not in This Lifetime... Tour,Guns N' Roses,15 August 2016,Glendale,Arizona,44110,4257189
Not in This Lifetime... Tour,Guns N' Roses,18 August 2016,Los Angeles,California,42317,4458879
Not in This Lifetime... Tour,Guns N' Roses,19 August 2016,Los Angeles,California,42317,4458879
Not in This Lifetime... Tour,Guns N' Roses,22 August 2016,San Diego,California,49458,5337634
Not in This Lifetime... Tour,Guns N' Roses,20 July 2017,New York City,New York,0,0
Not in This Lifetime... Tour,Guns N' Roses,27 July 2017,St. Louis,Missouri,36382,3533972
Not in This Lifetime... Tour,Guns N' Roses,30 July 2017,Minneapolis,Minnesota,48740,5567052
Not in This Lifetime... Tour,Guns N' Roses,2 August 2017,Denver,Colorado,41445,3846068
Not in This Lifetime... Tour,Guns N' Roses,5 August 2017,Little Rock,Arkansas,26400,1896770
Not in This Lifetime... Tour,Guns N' Roses,8 August 2017,Miami,Florida,37834,4102883
Not in This Lifetime... Tour,Guns N' Roses,11 August 2017,Winston-Salem,North Carolina,32847,3447947
Not in This Lifetime... Tour,Guns N' Roses,13 August 2017,Hershey,Pennsylvania,31087,3500876
Not in This Lifetime... Tour,Guns N' Roses,16 August 2017,Orchard Park,New York,32245,2626070
Not in This Lifetime... Tour,Guns N' Roses,3 September 2017,George,Washington,15781,1653890
Not in This Lifetime... Tour,Guns N' Roses,6 September 2017,El Paso,Texas,39780,3087980
Not in This Lifetime... Tour,Guns N' Roses,8 September 2017,San Antonio,Texas,38490,3859017
Not in This Lifetime... Tour,Guns N' Roses,8 October 2017,Philadelphia,Pennsylvania,0,0
Not in This Lifetime... Tour,Guns N' Roses,11 October 2017,New York City,New York,41818,6160000
Not in This Lifetime... Tour,Guns N' Roses,12 October 2017,Newark,New Jersey,0,0
Not in This Lifetime... Tour,Guns N' Roses,15 October 2017,New York City,New York,0,0
Not in This Lifetime... Tour,Guns N' Roses,16 October 2017,New York City,New York,0,0
Not in This Lifetime... Tour,Guns N' Roses,19 October 2017,"Washington, D.C.",District of Columbia,0,0
Not in This Lifetime... Tour,Guns N' Roses,22 October 2017,Boston,Massachusetts,0,0
Not in This Lifetime... Tour,Guns N' Roses,23 October 2017,Hartford,Connecticut,0,0
Not in This Lifetime... Tour,Guns N' Roses,26 October 2017,Cleveland,Ohio,0,0
Not in This Lifetime... Tour,Guns N' Roses,2 November 2017,Detroit,Michigan,0,0
Not in This Lifetime... Tour,Guns N' Roses,3 November 2017,Louisville,Kentucky,0,0
Not in This Lifetime... Tour,Guns N' Roses,6 November 2017,Chicago,Illinois,0,0
Not in This Lifetime... Tour,Guns N' Roses,7 November 2017,Milwaukee,Wisconsin,9723,1403070
Not in This Lifetime... Tour,Guns N' Roses,10 November 2017,Houston,Texas,10523,1652912
Not in This Lifetime... Tour,Guns N' Roses,13 November 2017,Nashville,Tennessee,10592,1523956
Not in This Lifetime... Tour,Guns N' Roses,14 November 2017,Tulsa,Oklahoma,10237,1349098
Not in This Lifetime... Tour,Guns N' Roses,17 November 2017,Las Vegas,Nevada,14250,2104371
Not in This Lifetime... Tour,Guns N' Roses,18 November 2017,Sacramento,California,12508,1691893
Not in This Lifetime... Tour,Guns N' Roses,21 November 2017,Oakland,California,13520,1866854
Not in This Lifetime... Tour,Guns N' Roses,24 November 2017,Los Angeles,California,11860,1806668
Not in This Lifetime... Tour,Guns N' Roses,25 November 2017,Inglewood,California,27012,3400000
Not in This Lifetime... Tour,Guns N' Roses,28 November 2017,San Diego,California,6886,1159655
Not in This Lifetime... Tour,Guns N' Roses,29 November 2017,Inglewood,California,0,0
Not in This Lifetime... Tour,Guns N' Roses,8 December 2018,Honolulu,Hawaii,22485,2113556
Not in This Lifetime... Tour,Guns N' Roses,21 September 2019,Los Angeles,California,0,0
Not in This Lifetime... Tour,Guns N' Roses,25 September 2019,Charlotte,North Carolina,13604,1999538
Not in This Lifetime... Tour,Guns N' Roses,28 September 2019,Louisville,Kentucky,0,0
Not in This Lifetime... Tour,Guns N' Roses,1 October 2019,Jacksonville,Florida,10765,1645694
Not in This Lifetime... Tour,Guns N' Roses,4 October 2019,Austin,Texas,0,0
