,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,12,4,13,20,0
1,2015-01-11,4,0,11,39,0
2,2015-01-18,8,11,9,35,0
3,2015-01-25,3,0,0,23,0
4,2015-02-01,7,16,6,34,0
5,2015-02-08,8,4,6,22,0
6,2015-02-15,3,4,9,26,0
7,2015-02-22,8,6,0,20,0
8,2015-03-01,6,3,12,22,0
9,2015-03-08,5,8,9,15,0
10,2015-03-15,13,3,8,18,0
11,2015-03-22,10,14,11,21,0
12,2015-03-29,29,8,11,12,0
13,2015-04-05,12,0,3,5,0
14,2015-04-12,17,17,0,17,0
15,2015-04-19,10,4,5,9,0
16,2015-04-26,11,6,4,12,0
17,2015-05-03,12,3,18,15,0
18,2015-05-10,9,17,14,15,0
19,2015-05-17,13,5,6,15,0
20,2015-05-24,15,14,15,10,0
21,2015-05-31,22,4,11,21,0
22,2015-06-07,18,8,17,17,0
23,2015-06-14,19,0,12,29,0
24,2015-06-21,33,7,11,11,0
25,2015-06-28,24,10,16,21,0
26,2015-07-05,14,0,8,7,0
27,2015-07-12,13,8,7,13,0
28,2015-07-19,8,8,16,0,0
29,2015-07-26,10,9,6,6,0
30,2015-08-02,0,6,9,7,0
31,2015-08-09,8,3,6,7,0
32,2015-08-16,7,3,2,7,0
33,2015-08-23,7,6,4,0,0
34,2015-08-30,3,2,0,16,0
35,2015-09-06,12,10,10,8,0
36,2015-09-13,5,11,6,3,0
37,2015-09-20,2,8,0,15,0
38,2015-09-27,6,5,9,13,0
39,2015-10-04,8,9,4,9,0
40,2015-10-11,6,3,5,16,0
41,2015-10-18,6,7,4,9,0
42,2015-10-25,5,3,0,9,0
43,2015-11-01,2,8,4,6,0
44,2015-11-08,5,13,4,3,0
45,2015-11-15,6,5,6,7,0
46,2015-11-22,9,12,3,16,0
47,2015-11-29,8,5,0,2,0
48,2015-12-06,7,2,10,0,0
49,2015-12-13,4,2,2,3,0
50,2015-12-20,6,3,11,17,0
51,2015-12-27,10,3,4,8,0
52,2016-01-03,8,8,5,2,0
53,2016-01-10,5,5,5,3,0
54,2016-01-17,2,6,9,9,0
55,2016-01-24,6,4,10,4,0
56,2016-01-31,8,8,10,17,0
57,2016-02-07,6,6,3,87,0
58,2016-02-14,6,7,3,19,0
59,2016-02-21,5,7,3,12,0
60,2016-02-28,5,3,2,11,0
61,2016-03-06,7,7,6,6,0
62,2016-03-13,9,4,5,7,0
63,2016-03-20,5,3,4,15,0
