,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,6,4,9,19,21
1,2015-01-11,4,5,7,27,23
2,2015-01-18,6,5,6,28,24
3,2015-01-25,6,3,6,26,24
4,2015-02-01,6,5,9,31,23
5,2015-02-08,7,5,9,23,28
6,2015-02-15,9,4,5,24,24
7,2015-02-22,4,5,6,22,23
8,2015-03-01,6,3,7,21,25
9,2015-03-08,8,4,7,17,23
10,2015-03-15,10,4,7,19,19
11,2015-03-22,8,7,8,18,22
12,2015-03-29,26,6,6,16,21
13,2015-04-05,24,3,5,14,21
14,2015-04-12,18,8,6,14,22
15,2015-04-19,11,4,7,14,20
16,2015-04-26,10,4,7,12,21
17,2015-05-03,8,5,10,14,21
18,2015-05-10,9,4,13,12,21
19,2015-05-17,12,5,12,14,22
20,2015-05-24,15,4,15,13,20
21,2015-05-31,20,5,10,13,21
22,2015-06-07,14,4,9,10,17
23,2015-06-14,19,4,11,8,18
24,2015-06-21,33,3,51,11,16
25,2015-06-28,34,5,55,11,16
26,2015-07-05,24,5,11,10,18
27,2015-07-12,10,4,8,7,16
28,2015-07-19,8,4,10,11,20
29,2015-07-26,8,4,11,8,17
30,2015-08-02,8,4,8,10,16
31,2015-08-09,7,5,5,8,45
32,2015-08-16,6,5,5,10,25
33,2015-08-23,8,5,7,7,27
34,2015-08-30,5,5,6,10,29
35,2015-09-06,5,9,5,10,24
36,2015-09-13,7,5,4,7,25
37,2015-09-20,7,5,5,7,26
38,2015-09-27,8,4,4,7,26
39,2015-10-04,5,4,4,9,27
40,2015-10-11,6,4,4,8,28
41,2015-10-18,6,3,3,7,25
42,2015-10-25,7,4,5,8,24
43,2015-11-01,7,4,5,6,26
44,2015-11-08,8,3,7,6,24
45,2015-11-15,6,5,7,7,25
46,2015-11-22,8,2,6,10,22
47,2015-11-29,7,5,5,7,23
48,2015-12-06,7,4,12,7,25
49,2015-12-13,8,4,8,7,24
50,2015-12-20,9,3,6,6,20
51,2015-12-27,8,3,3,8,19
52,2016-01-03,8,3,5,6,18
53,2016-01-10,10,2,5,6,21
54,2016-01-17,7,4,4,9,20
55,2016-01-24,7,4,5,5,22
56,2016-01-31,7,6,7,12,30
57,2016-02-07,8,5,6,68,21
58,2016-02-14,10,6,3,23,22
59,2016-02-21,7,4,4,8,23
60,2016-02-28,8,4,4,8,23
61,2016-03-06,6,5,5,7,19
62,2016-03-13,7,4,5,7,23
63,2016-03-20,9,3,4,8,20
64,2016-03-27,7,4,4,6,17
65,2016-04-03,7,6,5,7,22
66,2016-04-10,6,4,5,7,21
67,2016-04-17,6,5,4,9,19
68,2016-04-24,7,7,5,6,22
69,2016-05-01,11,8,5,8,22
70,2016-05-08,10,9,5,8,21
71,2016-05-15,7,9,5,9,24
72,2016-05-22,7,15,4,11,20
73,2016-05-29,7,11,4,8,18
74,2016-06-05,6,10,4,6,17
75,2016-06-12,8,7,4,7,15
76,2016-06-19,6,7,3,8,16
77,2016-06-26,7,7,4,6,18
78,2016-07-03,7,7,5,7,16
79,2016-07-10,7,7,5,6,16
80,2016-07-17,8,6,5,6,18
81,2016-07-24,7,8,4,8,18
82,2016-07-31,5,7,4,7,22
83,2016-08-07,5,7,4,5,17
84,2016-08-14,6,6,3,5,21
85,2016-08-21,6,5,5,6,26
86,2016-08-28,6,6,5,6,28
87,2016-09-04,0,6,4,6,26
