,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,4,3,8,0,23
1,2015-01-11,9,5,8,0,20
2,2015-01-18,2,3,7,0,21
3,2015-01-25,4,4,5,0,26
4,2015-02-01,4,4,8,0,24
5,2015-02-08,10,4,4,0,26
6,2015-02-15,6,4,7,0,23
7,2015-02-22,4,4,5,0,26
8,2015-03-01,6,3,4,0,21
9,2015-03-08,15,3,3,0,21
10,2015-03-15,23,0,10,0,20
11,2015-03-22,12,6,8,0,17
12,2015-03-29,47,3,4,0,20
13,2015-04-05,30,4,3,0,24
14,2015-04-12,32,7,2,0,22
15,2015-04-19,12,5,6,0,24
16,2015-04-26,14,3,6,0,21
17,2015-05-03,8,4,7,0,16
18,2015-05-10,6,5,8,0,21
19,2015-05-17,9,3,6,0,20
20,2015-05-24,20,3,9,0,12
21,2015-05-31,20,4,6,0,21
22,2015-06-07,20,4,8,0,14
23,2015-06-14,19,4,5,0,18
24,2015-06-21,25,6,12,0,15
25,2015-06-28,100,10,16,0,14
26,2015-07-05,75,3,6,0,12
27,2015-07-12,13,5,4,0,16
28,2015-07-19,7,4,7,0,13
29,2015-07-26,6,5,5,0,18
30,2015-08-02,5,2,2,0,21
31,2015-08-09,3,4,6,0,41
32,2015-08-16,6,4,5,0,34
33,2015-08-23,6,2,3,0,34
34,2015-08-30,3,1,6,0,37
35,2015-09-06,5,9,5,0,32
36,2015-09-13,4,5,5,0,28
37,2015-09-20,3,5,3,0,29
38,2015-09-27,5,4,5,0,32
39,2015-10-04,7,4,5,0,36
40,2015-10-11,7,2,0,0,21
41,2015-10-18,6,4,4,0,22
42,2015-10-25,4,1,1,0,24
43,2015-11-01,6,5,3,0,28
44,2015-11-08,4,4,2,0,25
45,2015-11-15,6,5,2,0,24
46,2015-11-22,4,6,7,0,15
47,2015-11-29,5,3,3,0,26
48,2015-12-06,7,4,6,0,25
49,2015-12-13,9,2,8,0,22
50,2015-12-20,6,2,7,0,19
51,2015-12-27,6,5,4,0,17
52,2016-01-03,6,1,5,0,19
53,2016-01-10,4,2,2,0,18
54,2016-01-17,3,3,2,0,25
55,2016-01-24,4,6,2,0,20
56,2016-01-31,6,4,3,0,26
57,2016-02-07,4,3,6,0,21
58,2016-02-14,5,3,4,0,22
59,2016-02-21,5,4,1,0,21
60,2016-02-28,4,3,4,0,19
61,2016-03-06,6,4,5,0,21
62,2016-03-13,5,2,0,0,20
63,2016-03-20,4,4,3,0,15
64,2016-03-27,6,3,3,0,22
65,2016-04-03,9,7,4,0,21
66,2016-04-10,7,3,3,0,19
67,2016-04-17,7,6,4,0,19
68,2016-04-24,7,6,4,0,17
69,2016-05-01,7,8,4,0,19
70,2016-05-08,5,8,1,0,21
71,2016-05-15,4,11,3,0,13
72,2016-05-22,5,15,4,0,18
73,2016-05-29,4,10,1,0,16
74,2016-06-05,4,9,2,0,19
75,2016-06-12,5,7,4,0,12
76,2016-06-19,4,9,3,0,15
77,2016-06-26,3,7,3,0,16
78,2016-07-03,7,6,4,0,15
79,2016-07-10,7,6,3,0,16
80,2016-07-17,6,8,3,0,11
81,2016-07-24,5,8,4,0,19
82,2016-07-31,4,9,3,0,24
83,2016-08-07,3,6,2,0,19
84,2016-08-14,5,4,4,0,26
85,2016-08-21,4,6,2,0,29
86,2016-08-28,5,6,4,0,29
87,2016-09-04,5,0,1,1,22
88,2016-09-11,4,0,2,3,27
89,2016-09-18,6,0,2,5,25
90,2016-09-25,2,0,1,6,22
91,2016-10-02,7,0,2,12,23
92,2016-10-09,9,0,3,13,20
93,2016-10-16,6,0,2,19,15
94,2016-10-23,6,0,3,10,20
95,2016-10-30,3,0,3,14,16
96,2016-11-06,6,0,3,10,17
97,2016-11-13,6,0,3,30,23
98,2016-11-20,6,0,2,42,17
99,2016-11-27,7,0,3,18,21
100,2016-12-04,10,0,4,20,20
101,2016-12-11,6,0,3,41,19
102,2016-12-18,4,0,1,21,17
103,2016-12-25,6,0,2,15,15
104,2017-01-01,3,0,4,19,18
105,2017-01-08,4,0,20,17,23
106,2017-01-15,4,0,12,17,20
107,2017-01-22,5,0,5,14,23
108,2017-01-29,5,0,10,18,20
109,2017-02-05,4,0,6,18,18
110,2017-02-12,5,0,6,87,21
111,2017-02-19,5,0,6,28,22
112,2017-02-26,2,0,4,29,20
113,2017-03-05,4,0,5,33,21
