,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,29,2,5,6,16
1,2015-01-11,41,2,3,5,25
2,2015-01-18,33,2,4,6,20
3,2015-01-25,45,2,2,9,17
4,2015-02-01,34,2,5,3,16
5,2015-02-08,62,3,4,5,14
6,2015-02-15,39,3,3,3,17
7,2015-02-22,29,2,5,5,13
8,2015-03-01,31,4,5,4,16
9,2015-03-08,19,5,4,7,17
10,2015-03-15,19,2,2,2,22
11,2015-03-22,23,2,6,5,13
12,2015-03-29,23,0,1,5,15
13,2015-04-05,20,2,2,5,16
14,2015-04-12,22,0,3,7,20
15,2015-04-19,21,2,5,6,20
16,2015-04-26,31,0,5,4,12
17,2015-05-03,33,5,5,4,17
18,2015-05-10,19,4,2,5,15
19,2015-05-17,28,2,6,7,22
20,2015-05-24,21,0,6,0,19
21,2015-05-31,18,3,3,6,9
22,2015-06-07,13,3,3,6,14
23,2015-06-14,24,3,3,5,15
24,2015-06-21,17,4,2,5,19
25,2015-06-28,20,3,0,6,13
26,2015-07-05,18,6,2,4,14
27,2015-07-12,10,3,5,6,11
28,2015-07-19,12,4,4,9,18
29,2015-07-26,13,4,5,3,17
30,2015-08-02,12,2,3,0,15
31,2015-08-09,17,6,5,5,34
32,2015-08-16,17,3,4,4,29
33,2015-08-23,12,3,0,4,20
34,2015-08-30,17,2,6,1,26
35,2015-09-06,12,4,2,7,24
36,2015-09-13,17,5,0,5,32
37,2015-09-20,8,4,1,4,24
38,2015-09-27,12,0,3,8,21
39,2015-10-04,8,2,3,3,26
40,2015-10-11,15,4,5,6,20
41,2015-10-18,12,3,0,0,18
42,2015-10-25,9,0,2,4,25
43,2015-11-01,9,0,4,4,14
44,2015-11-08,12,6,3,7,29
45,2015-11-15,6,6,5,4,23
46,2015-11-22,5,4,8,4,14
47,2015-11-29,10,4,14,1,21
48,2015-12-06,8,3,9,4,16
49,2015-12-13,10,0,9,3,15
50,2015-12-20,12,4,3,2,11
51,2015-12-27,7,12,0,0,10
52,2016-01-03,9,10,3,5,16
53,2016-01-10,7,8,4,4,13
