,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,23,3,5,5,0
1,2015-01-11,24,3,5,5,0
2,2015-01-18,27,2,3,5,0
3,2015-01-25,32,2,5,3,0
4,2015-02-01,22,2,5,3,0
5,2015-02-08,63,2,7,4,0
6,2015-02-15,42,2,4,4,0
7,2015-02-22,36,3,5,2,0
8,2015-03-01,27,2,5,5,0
9,2015-03-08,24,2,5,4,0
10,2015-03-15,25,3,5,3,0
11,2015-03-22,24,1,4,5,0
12,2015-03-29,20,1,6,4,0
13,2015-04-05,27,3,2,5,0
14,2015-04-12,21,3,4,5,0
15,2015-04-19,19,1,4,3,0
16,2015-04-26,14,3,5,3,0
17,2015-05-03,18,3,4,3,0
18,2015-05-10,20,3,2,3,0
19,2015-05-17,26,3,6,4,0
20,2015-05-24,23,4,9,6,0
21,2015-05-31,21,3,8,5,0
22,2015-06-07,20,3,6,4,0
23,2015-06-14,27,3,6,6,0
24,2015-06-21,16,2,5,5,0
25,2015-06-28,18,0,5,4,0
26,2015-07-05,20,3,4,3,0
27,2015-07-12,18,2,4,5,0
28,2015-07-19,24,3,4,3,0
29,2015-07-26,20,3,4,5,0
30,2015-08-02,21,4,5,6,0
31,2015-08-09,23,3,6,5,0
32,2015-08-16,28,4,4,6,0
33,2015-08-23,21,4,4,4,0
34,2015-08-30,22,3,2,4,0
35,2015-09-06,23,4,4,5,0
36,2015-09-13,25,2,3,5,0
37,2015-09-20,70,2,8,6,0
38,2015-09-27,30,3,5,6,0
39,2015-10-04,18,3,6,5,0
40,2015-10-11,20,4,5,5,0
41,2015-10-18,16,2,3,4,0
42,2015-10-25,13,2,4,3,0
43,2015-11-01,13,2,7,6,0
44,2015-11-08,16,3,6,5,0
45,2015-11-15,14,4,7,4,0
46,2015-11-22,12,4,14,4,0
47,2015-11-29,8,6,21,5,0
48,2015-12-06,11,4,15,4,0
49,2015-12-13,11,4,11,5,0
50,2015-12-20,10,2,9,5,0
51,2015-12-27,10,14,8,5,0
52,2016-01-03,12,16,10,4,0
53,2016-01-10,7,6,8,6,0
54,2016-01-17,12,8,8,5,0
55,2016-01-24,8,6,24,4,0
56,2016-01-31,7,5,38,5,0
57,2016-02-07,7,5,89,9,0
58,2016-02-14,19,5,15,6,0
59,2016-02-21,7,4,10,4,0
60,2016-02-28,7,4,8,5,0
61,2016-03-06,5,4,9,4,0
62,2016-03-13,6,5,10,3,0
63,2016-03-20,6,13,8,5,0
64,2016-03-27,5,28,7,6,0
65,2016-04-03,5,50,7,6,0
66,2016-04-10,6,20,7,5,0
67,2016-04-17,5,17,7,5,0
68,2016-04-24,5,17,9,4,0
69,2016-05-01,5,10,7,5,0
70,2016-05-08,5,9,6,4,0
71,2016-05-15,5,8,8,4,0
72,2016-05-22,5,7,10,4,0
73,2016-05-29,5,7,9,4,0
74,2016-06-05,10,8,10,6,0
75,2016-06-12,7,9,10,6,0
76,2016-06-19,6,17,9,5,0
77,2016-06-26,6,14,10,5,0
78,2016-07-03,7,20,9,4,0
79,2016-07-10,4,33,12,5,0
80,2016-07-17,5,100,22,5,0
81,2016-07-24,6,16,54,5,0
82,2016-07-31,5,6,46,5,0
83,2016-08-07,6,7,12,6,0
84,2016-08-14,5,7,7,11,0
85,2016-08-21,4,5,9,11,0
86,2016-08-28,5,6,8,7,0
87,2016-09-04,5,0,7,5,20
88,2016-09-11,4,0,5,4,20
89,2016-09-18,4,0,5,5,20
90,2016-09-25,4,0,6,10,18
91,2016-10-02,5,0,8,6,17
92,2016-10-09,5,0,13,6,18
93,2016-10-16,4,0,7,6,15
94,2016-10-23,4,0,7,5,18
95,2016-10-30,3,0,6,8,19
96,2016-11-06,4,0,5,6,15
97,2016-11-13,5,0,7,18,16
98,2016-11-20,4,0,7,13,14
99,2016-11-27,5,0,5,10,17
100,2016-12-04,4,0,5,6,18
101,2016-12-11,5,0,6,7,16
102,2016-12-18,3,0,6,8,17
103,2016-12-25,4,0,4,7,14
104,2017-01-01,26,0,4,7,15
105,2017-01-08,26,0,5,7,17
106,2017-01-15,20,0,4,4,16
107,2017-01-22,18,0,5,7,15
108,2017-01-29,18,0,6,5,20
109,2017-02-05,16,0,7,7,14
110,2017-02-12,51,0,6,62,18
111,2017-02-19,31,0,9,17,17
112,2017-02-26,48,0,8,9,17
113,2017-03-05,86,0,8,10,18
114,2017-03-12,81,0,5,8,16
115,2017-03-19,55,0,10,9,19
116,2017-03-26,34,0,8,8,16
117,2017-04-02,25,0,8,8,18
118,2017-04-09,24,0,8,8,14
119,2017-04-16,25,0,8,8,12
120,2017-04-23,19,0,7,8,16
121,2017-04-30,22,0,7,13,17
122,2017-05-07,18,0,5,17,17
123,2017-05-14,18,0,6,70,16
124,2017-05-21,22,0,7,19,16
125,2017-05-28,20,0,9,6,15
126,2017-06-04,26,0,13,7,18
127,2017-06-11,19,0,9,7,17
128,2017-06-18,19,0,11,6,15
129,2017-06-25,19,0,11,5,13
130,2017-07-02,22,0,9,5,13
131,2017-07-09,33,0,15,5,15
132,2017-07-16,68,0,12,5,11
133,2017-07-23,23,0,17,6,14
134,2017-07-30,17,0,69,4,14
135,2017-08-06,18,0,14,7,12
136,2017-08-13,17,0,6,6,12
137,2017-08-20,18,0,5,6,12
138,2017-08-27,25,0,5,4,14
139,2017-09-03,15,0,4,4,17
140,2017-09-10,21,0,4,5,22
141,2017-09-17,57,0,6,6,21
142,2017-09-24,26,0,5,4,19
143,2017-10-01,16,0,5,4,20
144,2017-10-08,20,0,4,3,20
145,2017-10-15,35,0,4,5,18
146,2017-10-22,21,0,3,5,20
147,2017-10-29,19,0,4,4,16
148,2017-11-05,22,0,4,4,20
149,2017-11-12,22,0,5,6,20
150,2017-11-19,15,0,3,3,15
151,2017-11-26,23,0,3,4,18
152,2017-12-03,38,0,4,4,17
153,2017-12-10,39,0,4,4,18
154,2017-12-17,41,0,4,3,15
155,2017-12-24,40,0,5,7,15
156,2017-12-31,33,0,4,4,14
157,2018-01-07,37,0,4,4,14
158,2018-01-14,36,0,3,3,16
159,2018-01-21,42,0,5,5,18
160,2018-01-28,41,0,4,5,20
161,2018-02-04,27,0,5,4,23
162,2018-02-11,35,0,8,4,21
163,2018-02-18,26,0,4,3,17
164,2018-02-25,26,0,5,9,20
165,2018-03-04,23,0,5,5,14
166,2018-03-11,19,0,3,5,17
167,2018-03-18,17,0,3,4,16
168,2018-03-25,16,0,5,4,18
169,2018-04-01,15,0,2,3,18
170,2018-04-08,16,0,5,5,18
171,2018-04-15,15,0,4,2,17
172,2018-04-22,16,0,4,4,19
173,2018-04-29,12,0,3,5,18
174,2018-05-06,0,4,5,4,0
175,2018-05-13,0,3,4,4,0
176,2018-05-20,0,3,3,6,0
177,2018-05-27,0,3,3,4,0
178,2018-06-03,0,4,3,5,0
179,2018-06-10,0,4,3,4,0
180,2018-06-17,0,4,5,4,0
181,2018-06-24,0,3,3,5,0
182,2018-07-01,0,4,3,5,0
183,2018-07-08,0,3,3,4,0
184,2018-07-15,0,2,5,3,0
185,2018-07-22,0,2,3,5,0
186,2018-07-29,0,2,3,4,0
187,2018-08-05,0,4,3,5,0
188,2018-08-12,0,3,3,6,0
189,2018-08-19,0,3,4,5,0
190,2018-08-26,0,2,4,6,0
191,2018-09-02,0,2,3,5,0
192,2018-09-09,0,2,4,7,0
193,2018-09-16,0,3,2,5,0
194,2018-09-23,0,2,3,5,0
195,2018-09-30,0,2,2,5,0
196,2018-10-07,0,2,2,5,0
197,2018-10-14,0,2,4,4,0
198,2018-10-21,0,3,2,5,0
199,2018-10-28,0,4,3,7,0
200,2018-11-04,0,2,4,4,0
201,2018-11-11,0,2,5,4,0
202,2018-11-18,0,3,3,5,0
203,2018-11-25,0,2,3,5,0
204,2018-12-02,0,2,4,5,0
205,2018-12-09,0,2,4,4,0
206,2018-12-16,0,3,2,4,0
207,2018-12-23,0,3,3,5,0
208,2018-12-30,0,2,4,6,0
