,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,6,3,11,21,0
1,2015-01-11,4,5,6,24,0
2,2015-01-18,6,5,9,26,0
3,2015-01-25,9,4,9,20,0
4,2015-02-01,4,3,6,26,0
5,2015-02-08,5,4,9,17,0
6,2015-02-15,9,3,8,15,0
7,2015-02-22,7,5,8,20,0
8,2015-03-01,7,4,10,15,0
9,2015-03-08,10,5,8,14,0
10,2015-03-15,9,4,9,14,0
11,2015-03-22,9,6,6,14,0
12,2015-03-29,19,3,7,14,0
13,2015-04-05,14,5,6,10,0
14,2015-04-12,10,11,9,14,0
15,2015-04-19,8,3,7,12,0
16,2015-04-26,8,5,9,10,0
17,2015-05-03,7,6,13,9,0
18,2015-05-10,8,6,21,10,0
19,2015-05-17,9,5,14,8,0
20,2015-05-24,10,3,21,8,0
21,2015-05-31,11,4,13,11,0
22,2015-06-07,13,3,10,9,0
23,2015-06-14,16,4,10,11,0
24,2015-06-21,11,4,12,7,0
25,2015-06-28,9,5,21,7,0
26,2015-07-05,13,3,57,9,0
27,2015-07-12,12,4,92,7,0
28,2015-07-19,8,4,19,11,0
29,2015-07-26,8,4,18,5,0
30,2015-08-02,8,4,9,8,0
31,2015-08-09,7,4,10,6,0
32,2015-08-16,7,6,5,7,0
33,2015-08-23,7,3,6,7,0
34,2015-08-30,10,4,2,9,0
35,2015-09-06,7,7,7,6,0
36,2015-09-13,9,4,8,5,0
37,2015-09-20,6,4,6,6,0
38,2015-09-27,7,1,10,7,0
39,2015-10-04,6,3,7,6,0
40,2015-10-11,8,3,6,5,0
41,2015-10-18,9,4,7,5,0
42,2015-10-25,6,5,6,6,0
43,2015-11-01,6,3,5,7,0
44,2015-11-08,9,3,10,5,0
45,2015-11-15,8,4,8,5,0
46,2015-11-22,6,2,10,7,0
47,2015-11-29,7,5,3,9,0
48,2015-12-06,6,5,14,6,0
49,2015-12-13,8,2,10,6,0
50,2015-12-20,7,3,11,3,0
51,2015-12-27,9,3,8,6,0
52,2016-01-03,6,3,6,7,0
53,2016-01-10,9,3,6,6,0
54,2016-01-17,6,4,7,5,0
55,2016-01-24,8,4,5,6,0
56,2016-01-31,8,4,8,9,0
57,2016-02-07,8,4,7,58,0
58,2016-02-14,9,7,5,18,0
59,2016-02-21,8,4,6,10,0
60,2016-02-28,10,4,5,6,0
61,2016-03-06,10,6,5,6,0
62,2016-03-13,9,5,6,6,0
