,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,18,2,4,4,15
1,2015-01-11,17,3,4,4,20
2,2015-01-18,15,1,5,4,19
3,2015-01-25,17,3,3,3,17
4,2015-02-01,15,3,5,5,15
5,2015-02-08,42,2,5,4,16
6,2015-02-15,24,4,3,4,18
7,2015-02-22,22,2,3,2,16
8,2015-03-01,19,3,3,4,14
9,2015-03-08,12,3,2,4,13
10,2015-03-15,16,2,3,3,16
11,2015-03-22,20,3,4,4,17
12,2015-03-29,17,2,5,5,12
13,2015-04-05,14,3,5,3,15
14,2015-04-12,18,1,4,4,16
15,2015-04-19,13,2,4,6,17
16,2015-04-26,9,3,3,4,18
17,2015-05-03,11,3,2,6,15
18,2015-05-10,11,4,3,7,12
19,2015-05-17,20,3,3,4,16
20,2015-05-24,15,3,5,4,12
21,2015-05-31,17,3,7,4,12
22,2015-06-07,19,2,1,5,10
23,2015-06-14,21,2,3,5,12
24,2015-06-21,18,2,4,6,14
25,2015-06-28,19,2,3,4,9
26,2015-07-05,17,1,3,5,12
27,2015-07-12,13,2,2,4,13
28,2015-07-19,17,2,4,6,14
29,2015-07-26,11,3,2,4,11
30,2015-08-02,12,3,4,5,8
31,2015-08-09,21,2,3,5,28
32,2015-08-16,19,2,3,6,14
33,2015-08-23,15,2,4,4,13
34,2015-08-30,14,3,2,5,19
35,2015-09-06,17,2,4,6,19
36,2015-09-13,44,3,5,4,20
37,2015-09-20,11,4,2,3,16
38,2015-09-27,12,3,3,5,22
39,2015-10-04,10,3,4,5,20
40,2015-10-11,11,4,4,5,15
41,2015-10-18,11,2,2,4,21
42,2015-10-25,6,2,3,5,14
43,2015-11-01,9,3,5,4,22
44,2015-11-08,8,7,4,5,17
45,2015-11-15,9,4,3,4,17
46,2015-11-22,8,4,10,5,15
47,2015-11-29,6,3,14,5,18
48,2015-12-06,5,2,9,4,17
49,2015-12-13,9,1,10,5,17
50,2015-12-20,7,4,6,5,13
51,2015-12-27,9,12,5,6,10
52,2016-01-03,5,14,4,4,14
53,2016-01-10,5,9,4,6,12
54,2016-01-17,6,10,5,4,17
55,2016-01-24,5,7,11,5,16
56,2016-01-31,5,5,19,6,21
57,2016-02-07,4,5,72,9,15
58,2016-02-14,14,4,6,6,16
59,2016-02-21,5,4,6,5,17
60,2016-02-28,6,4,5,4,16
61,2016-03-06,4,4,6,3,16
62,2016-03-13,4,6,8,46,16
63,2016-03-20,6,8,5,83,14
64,2016-03-27,6,14,4,21,14
65,2016-04-03,4,18,5,13,15
66,2016-04-10,3,14,4,9,19
67,2016-04-17,4,10,4,9,15
68,2016-04-24,4,5,5,8,13
69,2016-05-01,5,6,4,8,13
70,2016-05-08,5,5,5,7,16
71,2016-05-15,5,2,7,6,15
72,2016-05-22,4,4,3,8,13
73,2016-05-29,2,6,5,7,13
74,2016-06-05,7,4,4,10,13
75,2016-06-12,3,5,3,7,10
76,2016-06-19,3,7,2,8,8
77,2016-06-26,4,9,4,7,11
78,2016-07-03,5,7,6,7,12
79,2016-07-10,3,6,6,9,12
80,2016-07-17,3,6,8,9,11
81,2016-07-24,2,5,8,12,12
82,2016-07-31,2,4,5,16,13
83,2016-08-07,3,5,2,16,11
84,2016-08-14,3,5,6,86,13
85,2016-08-21,3,5,6,83,12
86,2016-08-28,2,4,6,10,15
87,2016-09-04,3,2,5,10,16
88,2016-09-11,2,4,5,10,25
89,2016-09-18,2,4,5,7,17
90,2016-09-25,3,2,4,14,21
91,2016-10-02,4,3,8,7,15
92,2016-10-09,3,2,24,5,19
93,2016-10-16,3,4,8,8,14
94,2016-10-23,2,3,5,4,18
95,2016-10-30,3,3,4,8,14
96,2016-11-06,2,3,5,7,17
97,2016-11-13,3,3,4,23,16
98,2016-11-20,4,4,4,15,13
99,2016-11-27,4,14,4,7,16
100,2016-12-04,3,52,5,9,16
101,2016-12-11,5,14,4,8,14
102,2016-12-18,2,7,4,11,15
103,2016-12-25,4,6,6,6,10
104,2017-01-01,21,6,4,6,17
105,2017-01-08,18,4,4,5,13
106,2017-01-15,11,7,3,6,14
107,2017-01-22,12,5,4,6,17
108,2017-01-29,11,5,3,6,14
109,2017-02-05,13,4,4,6,17
110,2017-02-12,34,5,4,36,16
111,2017-02-19,18,2,5,9,13
112,2017-02-26,30,5,5,7,13
113,2017-03-05,59,4,6,7,16
114,2017-03-12,54,5,3,6,16
115,2017-03-19,30,4,7,6,15
116,2017-03-26,24,5,7,7,14
117,2017-04-02,21,6,5,6,15
118,2017-04-09,19,5,5,8,13
119,2017-04-16,18,5,3,9,15
120,2017-04-23,14,5,7,6,17
121,2017-04-30,16,5,5,7,15
122,2017-05-07,15,5,4,8,17
123,2017-05-14,12,5,5,7,14
124,2017-05-21,17,9,6,8,17
125,2017-05-28,14,9,7,7,13
126,2017-06-04,21,8,8,8,14
127,2017-06-11,15,6,7,6,14
128,2017-06-18,15,7,7,8,12
129,2017-06-25,48,8,6,5,12
130,2017-07-02,34,8,5,5,12
131,2017-07-09,14,11,7,6,12
132,2017-07-16,41,16,8,3,12
133,2017-07-23,15,49,13,6,12
134,2017-07-30,12,100,16,6,10
135,2017-08-06,11,7,69,8,13
136,2017-08-13,10,6,52,5,11
137,2017-08-20,10,4,6,6,11
138,2017-08-27,12,4,7,8,12
139,2017-09-03,8,5,4,4,16
140,2017-09-10,9,3,4,4,21
141,2017-09-17,15,3,2,4,18
142,2017-09-24,20,3,4,2,15
143,2017-10-01,16,2,5,6,16
144,2017-10-08,17,4,3,4,16
145,2017-10-15,37,2,4,6,15
146,2017-10-22,19,3,3,4,19
147,2017-10-29,12,3,3,6,16
148,2017-11-05,15,4,2,5,17
149,2017-11-12,17,3,3,5,16
150,2017-11-19,9,2,2,5,14
151,2017-11-26,18,3,3,2,17
152,2017-12-03,24,2,2,6,13
153,2017-12-10,22,1,3,4,16
154,2017-12-17,25,0,2,4,13
155,2017-12-24,23,2,2,4,14
156,2017-12-31,20,3,3,4,15
157,2018-01-07,22,3,3,5,16
158,2018-01-14,23,3,2,4,13
159,2018-01-21,33,2,4,5,14
160,2018-01-28,27,3,3,5,18
161,2018-02-04,19,4,2,4,18
162,2018-02-11,18,4,5,6,19
163,2018-02-18,17,2,3,5,17
164,2018-02-25,19,3,4,57,16
165,2018-03-04,18,3,4,12,17
166,2018-03-11,16,3,2,7,14
167,2018-03-18,12,3,3,7,16
168,2018-03-25,14,5,4,9,14
169,2018-04-01,13,3,4,10,14
170,2018-04-08,14,5,4,7,16
171,2018-04-15,12,0,4,6,16
172,2018-04-22,10,3,2,6,13
173,2018-04-29,9,6,2,6,14
174,2018-05-06,11,3,3,8,15
175,2018-05-13,11,2,2,7,17
176,2018-05-20,12,4,2,6,14
177,2018-05-27,11,4,3,6,15
178,2018-06-03,14,2,3,6,11
179,2018-06-10,8,3,2,7,11
180,2018-06-17,9,2,3,6,13
181,2018-06-24,12,3,2,6,11
182,2018-07-01,14,3,1,5,10
183,2018-07-08,11,4,2,7,11
184,2018-07-15,13,4,3,4,10
185,2018-07-22,10,4,2,9,8
186,2018-07-29,12,4,2,7,16
187,2018-08-05,10,2,2,8,10
188,2018-08-12,11,2,2,10,11
189,2018-08-19,9,3,3,11,10
190,2018-08-26,13,3,3,19,15
191,2018-09-02,13,3,4,64,19
192,2018-09-09,13,2,2,16,18
193,2018-09-16,12,2,1,6,15
194,2018-09-23,11,2,3,5,17
195,2018-09-30,16,0,2,6,19
196,2018-10-07,20,3,3,5,17
197,2018-10-14,72,3,2,6,14
198,2018-10-21,52,3,2,4,16
199,2018-10-28,9,3,3,6,16
200,2018-11-04,7,2,2,4,15
201,2018-11-11,0,0,0,0,0
202,2018-11-18,0,0,0,0,0
203,2018-11-25,0,0,0,0,0
204,2018-12-02,0,0,0,0,0
205,2018-12-09,0,0,0,0,0
206,2018-12-16,0,0,0,0,0
207,2018-12-23,0,0,0,0,0
208,2018-12-30,0,0,0,0,0
209,2019-01-06,0,0,0,0,0
210,2019-01-13,0,0,0,0,0
211,2019-01-20,0,0,0,0,0
212,2019-01-27,0,0,0,0,0
213,2019-02-03,0,0,0,0,0
214,2019-02-10,0,0,0,0,0
215,2019-02-17,0,0,0,0,0
216,2019-02-24,0,0,0,0,0
217,2019-03-03,0,0,0,0,0
218,2019-03-10,0,0,0,0,0
219,2019-03-17,0,0,0,0,0
220,2019-03-24,0,0,0,0,0
221,2019-03-31,0,0,0,0,0
222,2019-04-07,0,0,0,0,0
223,2019-04-14,0,0,0,0,0
224,2019-04-21,0,0,0,0,0
225,2019-04-28,0,0,0,0,0
226,2019-05-05,0,0,0,0,0
227,2019-05-12,0,0,0,0,0
228,2019-05-19,0,0,0,0,0
229,2019-05-26,0,0,0,0,0
230,2019-06-02,0,0,0,0,0
231,2019-06-09,0,0,0,0,0
232,2019-06-16,0,0,0,0,0
233,2019-06-23,0,0,0,0,0
234,2019-06-30,0,0,0,0,0
235,2019-07-07,0,0,0,0,0
236,2019-07-14,0,0,0,0,0
237,2019-07-21,0,0,0,0,0
238,2019-07-28,0,0,0,0,0
239,2019-08-04,0,0,0,0,0
240,2019-08-11,0,0,0,0,0
241,2019-08-18,0,0,0,0,0
242,2019-08-25,0,0,0,0,0
243,2019-09-01,0,0,0,0,0
244,2019-09-08,0,0,0,0,0
245,2019-09-15,0,0,0,0,0
246,2019-09-22,0,0,0,0,0
247,2019-09-29,0,0,0,0,0
248,2019-10-06,0,0,0,0,0
249,2019-10-13,0,0,0,0,0
250,2019-10-20,0,0,0,0,0
251,2019-10-27,0,0,0,0,0
252,2019-11-03,0,0,0,0,0
253,2019-11-10,0,0,0,0,0
254,2019-11-17,0,0,0,0,0
255,2019-11-24,0,0,0,0,0
256,2019-12-01,0,0,0,0,0
257,2019-12-08,0,0,0,0,0
258,2019-12-15,0,0,0,0,0
259,2019-12-22,0,0,0,0,0
260,2019-12-29,0,0,0,0,0
