,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,25,4,5,7,16
1,2015-01-11,25,3,5,6,17
2,2015-01-18,23,3,3,4,20
3,2015-01-25,33,3,4,4,17
4,2015-02-01,32,0,5,3,20
5,2015-02-08,62,3,4,5,18
6,2015-02-15,34,2,5,4,16
7,2015-02-22,36,2,6,3,17
8,2015-03-01,44,4,5,6,16
9,2015-03-08,25,2,5,5,18
10,2015-03-15,22,2,3,4,17
11,2015-03-22,19,3,3,4,16
12,2015-03-29,19,4,3,4,13
13,2015-04-05,15,2,2,6,15
14,2015-04-12,17,3,4,3,17
15,2015-04-19,17,2,5,5,17
16,2015-04-26,14,3,5,6,12
17,2015-05-03,23,3,4,5,18
18,2015-05-10,36,3,4,7,14
19,2015-05-17,29,3,4,4,15
20,2015-05-24,21,2,4,5,14
21,2015-05-31,19,1,5,6,15
22,2015-06-07,16,4,5,5,12
23,2015-06-14,18,2,5,7,13
24,2015-06-21,18,1,1,6,13
25,2015-06-28,21,3,3,6,17
26,2015-07-05,17,2,1,5,11
27,2015-07-12,12,2,3,4,15
28,2015-07-19,14,1,3,7,12
29,2015-07-26,13,2,4,6,12
30,2015-08-02,13,2,2,5,14
31,2015-08-09,22,3,4,7,31
32,2015-08-16,16,5,2,4,28
33,2015-08-23,12,3,4,6,23
34,2015-08-30,10,2,0,7,26
35,2015-09-06,14,2,3,5,23
36,2015-09-13,9,2,4,6,20
37,2015-09-20,14,3,4,5,19
38,2015-09-27,15,3,4,6,21
39,2015-10-04,9,2,3,4,19
40,2015-10-11,9,3,3,6,14
41,2015-10-18,10,3,3,5,26
42,2015-10-25,10,3,0,7,21
43,2015-11-01,8,3,6,6,21
44,2015-11-08,11,4,4,4,17
45,2015-11-15,9,5,4,6,21
46,2015-11-22,5,4,7,5,15
47,2015-11-29,7,5,14,5,20
48,2015-12-06,9,3,10,5,20
49,2015-12-13,8,1,9,3,19
50,2015-12-20,7,3,6,8,16
51,2015-12-27,8,10,4,3,10
52,2016-01-03,8,13,4,5,16
53,2016-01-10,8,6,5,6,16
54,2016-01-17,6,7,6,4,17
55,2016-01-24,6,6,12,6,19
56,2016-01-31,6,6,19,5,20
57,2016-02-07,6,5,74,9,15
58,2016-02-14,12,3,7,8,19
59,2016-02-21,6,4,5,6,17
60,2016-02-28,8,5,6,4,14
61,2016-03-06,6,4,5,6,19
62,2016-03-13,6,4,6,5,17
63,2016-03-20,5,8,5,6,16
64,2016-03-27,6,35,3,4,16
65,2016-04-03,5,39,8,6,16
66,2016-04-10,6,21,15,6,15
67,2016-04-17,6,15,6,7,17
68,2016-04-24,6,10,7,7,17
69,2016-05-01,4,7,6,4,14
70,2016-05-08,5,6,6,4,15
71,2016-05-15,4,7,6,6,14
72,2016-05-22,4,8,6,8,15
73,2016-05-29,3,9,6,6,11
74,2016-06-05,11,9,5,6,10
75,2016-06-12,4,9,4,6,15
76,2016-06-19,4,20,5,6,12
77,2016-06-26,4,65,5,7,13
78,2016-07-03,6,13,6,5,16
79,2016-07-10,5,11,10,7,12
80,2016-07-17,2,8,35,6,11
81,2016-07-24,5,6,11,5,14
82,2016-07-31,5,6,7,5,17
83,2016-08-07,4,4,4,4,15
84,2016-08-14,5,6,6,15,19
85,2016-08-21,4,7,10,10,24
86,2016-08-28,4,4,5,8,22
87,2016-09-04,4,5,6,5,19
88,2016-09-11,4,4,4,8,21
89,2016-09-18,5,3,4,4,19
90,2016-09-25,4,2,4,11,19
91,2016-10-02,4,5,6,7,24
92,2016-10-09,5,4,9,7,17
93,2016-10-16,5,4,6,7,19
94,2016-10-23,5,3,5,6,19
95,2016-10-30,4,4,5,5,21
96,2016-11-06,3,4,3,6,16
97,2016-11-13,3,3,5,23,18
98,2016-11-20,3,8,5,15,13
99,2016-11-27,4,7,5,9,18
100,2016-12-04,3,32,5,10,19
101,2016-12-11,6,9,4,7,15
102,2016-12-18,3,8,3,10,14
103,2016-12-25,4,8,3,8,12
104,2017-01-01,16,5,6,7,15
105,2017-01-08,14,4,4,7,18
