,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,7,3,0,10,21
1,2015-01-11,6,0,0,26,17
2,2015-01-18,0,0,0,20,18
3,2015-01-25,4,2,0,19,17
4,2015-02-01,2,4,0,16,16
5,2015-02-08,5,4,0,18,16
6,2015-02-15,7,4,0,13,15
7,2015-02-22,0,2,0,16,19
8,2015-03-01,0,3,0,6,17
9,2015-03-08,13,2,0,9,17
10,2015-03-15,2,0,0,10,18
11,2015-03-22,4,7,0,12,11
12,2015-03-29,18,0,0,11,14
13,2015-04-05,13,0,0,6,26
14,2015-04-12,20,3,0,9,17
15,2015-04-19,5,5,0,6,22
16,2015-04-26,5,13,0,5,15
17,2015-05-03,9,5,0,5,16
18,2015-05-10,6,4,0,11,20
19,2015-05-17,7,0,0,9,18
20,2015-05-24,7,2,0,7,12
21,2015-05-31,14,3,0,10,9
22,2015-06-07,14,6,0,8,13
23,2015-06-14,11,0,0,5,13
24,2015-06-21,23,4,0,6,7
25,2015-06-28,15,4,0,6,6
26,2015-07-05,9,3,0,9,11
27,2015-07-12,5,6,0,6,15
28,2015-07-19,3,0,0,9,10
29,2015-07-26,2,3,0,8,9
30,2015-08-02,4,6,0,4,17
31,2015-08-09,4,3,0,5,28
32,2015-08-16,12,4,0,4,21
33,2015-08-23,4,2,0,7,18
34,2015-08-30,3,6,0,4,24
35,2015-09-06,5,4,0,5,18
36,2015-09-13,3,3,0,12,18
37,2015-09-20,6,0,0,2,18
38,2015-09-27,4,4,0,3,18
39,2015-10-04,0,3,0,7,21
40,2015-10-11,1,5,0,10,19
41,2015-10-18,0,3,0,4,24
42,2015-10-25,3,4,0,0,21
43,2015-11-01,8,2,0,5,17
44,2015-11-08,4,3,0,3,17
45,2015-11-15,2,6,0,5,11
46,2015-11-22,3,2,0,3,13
47,2015-11-29,0,2,0,2,14
48,2015-12-06,4,3,0,4,18
49,2015-12-13,2,4,0,8,16
50,2015-12-20,6,2,0,4,13
51,2015-12-27,6,6,0,7,13
52,2016-01-03,3,0,0,5,18
53,2016-01-10,6,0,0,7,20
54,2016-01-17,5,1,0,3,17
55,2016-01-24,8,0,0,3,15
56,2016-01-31,2,6,0,10,16
57,2016-02-07,6,3,0,52,15
58,2016-02-14,6,3,0,8,18
59,2016-02-21,5,5,0,8,18
60,2016-02-28,3,0,0,7,26
61,2016-03-06,3,5,0,0,24
62,2016-03-13,2,5,0,7,17
63,2016-03-20,5,8,0,0,15
64,2016-03-27,9,0,0,3,16
65,2016-04-03,3,0,0,5,14
66,2016-04-10,5,3,0,4,15
67,2016-04-17,2,5,0,3,15
68,2016-04-24,5,4,0,6,19
69,2016-05-01,4,4,0,4,17
70,2016-05-08,2,6,0,4,15
71,2016-05-15,2,12,0,4,19
72,2016-05-22,6,14,0,6,11
73,2016-05-29,4,8,0,5,14
74,2016-06-05,3,11,0,8,13
75,2016-06-12,5,7,0,5,6
76,2016-06-19,0,8,0,4,12
77,2016-06-26,6,6,0,4,12
78,2016-07-03,9,5,0,6,16
79,2016-07-10,5,5,0,3,10
80,2016-07-17,2,9,0,3,11
81,2016-07-24,5,7,0,5,15
82,2016-07-31,5,6,0,6,13
83,2016-08-07,4,4,0,7,15
84,2016-08-14,0,8,0,3,19
85,2016-08-21,3,4,0,5,22
86,2016-08-28,6,5,0,3,18
87,2016-09-04,0,0,4,4,15
88,2016-09-11,0,0,0,2,19
89,2016-09-18,0,0,2,2,20
90,2016-09-25,0,0,0,7,23
91,2016-10-02,0,0,5,10,17
92,2016-10-09,0,0,0,8,19
93,2016-10-16,0,0,2,16,15
94,2016-10-23,0,0,2,8,16
95,2016-10-30,0,0,0,6,15
96,2016-11-06,0,0,2,10,19
97,2016-11-13,0,0,0,44,13
98,2016-11-20,0,0,0,52,15
99,2016-11-27,0,0,5,14,17
100,2016-12-04,0,0,2,13,16
101,2016-12-11,0,0,3,32,15
102,2016-12-18,0,0,3,28,11
103,2016-12-25,0,0,5,23,16
104,2017-01-01,0,0,5,12,14
105,2017-01-08,0,0,17,15,19
106,2017-01-15,0,0,12,15,17
107,2017-01-22,0,0,4,13,20
108,2017-01-29,0,0,0,12,21
109,2017-02-05,0,0,6,18,11
110,2017-02-12,0,0,5,63,13
111,2017-02-19,0,0,3,23,15
112,2017-02-26,0,0,0,24,20
113,2017-03-05,0,0,5,26,14
114,2017-03-12,0,0,4,21,14
115,2017-03-19,0,0,5,20,14
116,2017-03-26,0,0,7,23,18
117,2017-04-02,0,0,6,19,14
118,2017-04-09,0,0,4,19,11
119,2017-04-16,0,0,2,19,20
120,2017-04-23,0,0,4,12,5
121,2017-04-30,0,0,6,21,15
122,2017-05-07,0,0,1,9,15
123,2017-05-14,0,0,7,15,16
124,2017-05-21,0,0,14,18,12
125,2017-05-28,0,0,7,21,11
126,2017-06-04,0,0,21,13,8
127,2017-06-11,0,0,10,19,17
128,2017-06-18,0,0,8,8,16
129,2017-06-25,0,0,5,30,11
130,2017-07-02,0,0,7,19,17
131,2017-07-09,0,0,5,12,12
132,2017-07-16,0,0,7,21,4
133,2017-07-23,0,0,3,24,13
134,2017-07-30,0,0,6,35,8
135,2017-08-06,0,0,6,100,13
136,2017-08-13,0,0,3,19,17
137,2017-08-20,0,0,0,8,21
138,2017-08-27,0,0,3,9,20
139,2017-09-03,0,0,9,8,14
140,2017-09-10,0,0,17,8,20
141,2017-09-17,0,0,6,8,21
142,2017-09-24,0,0,1,6,19
143,2017-10-01,0,0,2,10,14
144,2017-10-08,0,0,6,9,19
145,2017-10-15,0,0,4,9,18
146,2017-10-22,0,0,3,7,19
147,2017-10-29,0,0,3,4,20
148,2017-11-05,0,0,2,8,20
149,2017-11-12,0,0,3,0,13
150,2017-11-19,0,0,0,8,10
151,2017-11-26,0,0,4,16,15
152,2017-12-03,0,0,7,6,16
153,2017-12-10,0,0,7,8,16
154,2017-12-17,0,0,6,9,17
155,2017-12-24,0,0,4,9,13
156,2017-12-31,0,0,3,11,12
157,2018-01-07,0,0,4,10,17
158,2018-01-14,0,0,6,10,19
159,2018-01-21,0,0,3,15,12
160,2018-01-28,0,0,8,45,14
161,2018-02-04,0,0,2,18,17
162,2018-02-11,0,0,3,13,14
163,2018-02-18,0,0,5,12,18
164,2018-02-25,0,0,2,8,11
165,2018-03-04,0,0,34,11,18
166,2018-03-11,0,0,20,8,18
167,2018-03-18,0,0,5,11,19
168,2018-03-25,0,0,5,8,17
169,2018-04-01,0,0,4,11,15
170,2018-04-08,0,0,6,9,15
171,2018-04-15,0,0,4,5,14
172,2018-04-22,0,0,8,7,17
173,2018-04-29,0,0,11,7,19
174,2018-05-06,4,20,16,12,17
175,2018-05-13,5,10,57,6,18
176,2018-05-20,7,8,48,6,16
177,2018-05-27,3,6,4,7,12
178,2018-06-03,0,11,4,5,11
179,2018-06-10,4,8,2,6,14
180,2018-06-17,1,10,5,6,12
181,2018-06-24,3,7,4,8,10
182,2018-07-01,3,5,6,4,8
183,2018-07-08,0,8,4,4,14
184,2018-07-15,4,7,4,14,12
185,2018-07-22,1,7,3,8,11
186,2018-07-29,6,6,5,10,15
187,2018-08-05,4,7,0,4,11
188,2018-08-12,2,10,3,14,20
189,2018-08-19,6,8,3,7,22
190,2018-08-26,7,5,3,5,20
191,2018-09-02,5,5,3,5,20
192,2018-09-09,1,7,7,8,22
193,2018-09-16,0,6,3,6,18
194,2018-09-23,2,5,0,7,15
195,2018-09-30,4,4,0,5,23
196,2018-10-07,5,3,1,7,21
197,2018-10-14,4,3,5,5,18
198,2018-10-21,7,6,0,3,19
199,2018-10-28,3,5,0,9,14
200,2018-11-04,6,4,0,5,15
201,2018-11-11,4,6,0,2,15
202,2018-11-18,3,5,3,5,15
203,2018-11-25,9,3,5,6,20
204,2018-12-02,7,5,0,4,16
205,2018-12-09,5,6,5,9,18
206,2018-12-16,6,9,2,5,19
207,2018-12-23,2,4,4,7,13
208,2018-12-30,3,7,2,6,12
209,2019-01-06,4,4,0,3,18
