,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,29,6,6,4,19
1,2015-01-11,22,6,17,8,20
2,2015-01-18,44,4,7,0,20
3,2015-01-25,41,0,0,0,16
4,2015-02-01,16,10,5,13,10
5,2015-02-08,81,8,7,9,13
6,2015-02-15,55,0,9,10,22
7,2015-02-22,59,8,14,17,12
8,2015-03-01,24,3,7,5,24
9,2015-03-08,23,12,3,0,10
10,2015-03-15,22,5,6,0,22
11,2015-03-22,36,12,0,5,21
12,2015-03-29,15,4,0,21,23
13,2015-04-05,35,0,0,0,30
14,2015-04-12,28,11,0,5,12
15,2015-04-19,25,4,0,5,14
16,2015-04-26,15,5,4,0,8
17,2015-05-03,31,4,0,6,30
18,2015-05-10,38,0,0,13,16
19,2015-05-17,38,22,14,12,16
20,2015-05-24,52,5,7,9,30
21,2015-05-31,16,3,5,20,14
22,2015-06-07,26,0,7,0,13
23,2015-06-14,14,0,4,11,6
24,2015-06-21,14,0,7,6,7
25,2015-06-28,30,0,4,8,13
26,2015-07-05,26,0,6,17,15
27,2015-07-12,15,6,8,5,25
28,2015-07-19,9,4,4,10,7
29,2015-07-26,33,0,13,0,12
30,2015-08-02,17,0,0,9,11
31,2015-08-09,22,0,0,0,32
32,2015-08-16,36,0,0,6,24
33,2015-08-23,34,0,9,16,19
34,2015-08-30,23,7,7,4,28
35,2015-09-06,25,0,0,0,10
36,2015-09-13,23,0,0,8,30
37,2015-09-20,43,0,4,19,21
38,2015-09-27,34,0,10,5,28
39,2015-10-04,21,6,13,7,33
40,2015-10-11,11,9,0,0,10
41,2015-10-18,30,0,6,8,16
42,2015-10-25,18,0,0,7,18
43,2015-11-01,13,0,14,4,26
44,2015-11-08,22,0,17,8,23
45,2015-11-15,7,8,11,10,27
46,2015-11-22,10,4,17,0,26
47,2015-11-29,5,4,16,8,32
48,2015-12-06,5,6,21,10,20
49,2015-12-13,7,3,14,10,22
50,2015-12-20,6,0,19,0,18
51,2015-12-27,14,18,16,0,15
52,2016-01-03,6,14,14,7,9
53,2016-01-10,11,13,10,0,34
54,2016-01-17,7,13,4,8,24
55,2016-01-24,14,13,18,5,23
56,2016-01-31,7,0,25,0,25
57,2016-02-07,4,5,100,16,19
58,2016-02-14,25,11,0,8,17
59,2016-02-21,10,3,9,7,20
60,2016-02-28,10,14,11,7,23
61,2016-03-06,12,10,10,13,21
62,2016-03-13,4,0,21,11,22
63,2016-03-20,3,13,9,11,22
64,2016-03-27,3,31,12,7,21
65,2016-04-03,10,43,10,10,14
66,2016-04-10,6,19,9,14,24
67,2016-04-17,9,21,10,8,18
68,2016-04-24,4,7,5,13,15
69,2016-05-01,3,13,0,9,10
70,2016-05-08,4,3,10,5,20
71,2016-05-15,0,4,6,6,18
72,2016-05-22,0,5,5,5,19
73,2016-05-29,7,12,14,0,13
74,2016-06-05,13,10,9,11,16
75,2016-06-12,5,9,9,5,20
76,2016-06-19,4,11,8,12,17
77,2016-06-26,9,13,7,11,14
78,2016-07-03,7,7,7,0,17
79,2016-07-10,4,25,5,10,14
80,2016-07-17,5,72,18,0,6
81,2016-07-24,5,10,22,15,16
82,2016-07-31,6,14,25,8,12
83,2016-08-07,4,3,13,6,15
84,2016-08-14,5,8,7,23,14
85,2016-08-21,7,7,3,24,23
86,2016-08-28,0,6,12,12,24
