,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,5,0,8,18,0
1,2015-01-11,7,0,6,29,0
2,2015-01-18,6,0,8,27,0
3,2015-01-25,5,0,7,19,0
4,2015-02-01,5,0,6,23,0
5,2015-02-08,7,0,9,23,0
6,2015-02-15,8,0,6,17,0
7,2015-02-22,6,0,8,25,0
8,2015-03-01,5,0,8,18,0
9,2015-03-08,7,0,10,17,0
10,2015-03-15,9,0,6,15,0
11,2015-03-22,9,0,8,15,0
12,2015-03-29,22,0,5,17,0
13,2015-04-05,15,0,7,11,0
14,2015-04-12,12,0,7,12,0
15,2015-04-19,10,0,6,12,0
16,2015-04-26,6,0,8,11,0
17,2015-05-03,7,0,13,11,0
18,2015-05-10,9,0,16,12,0
19,2015-05-17,8,0,12,12,0
20,2015-05-24,13,0,18,11,0
21,2015-05-31,13,0,12,12,0
22,2015-06-07,12,0,6,10,0
23,2015-06-14,10,0,9,10,0
24,2015-06-21,11,0,10,8,0
25,2015-06-28,11,0,10,9,0
26,2015-07-05,12,0,11,6,0
27,2015-07-12,8,0,23,4,0
28,2015-07-19,5,0,37,11,0
29,2015-07-26,8,0,40,9,0
30,2015-08-02,8,0,11,9,0
31,2015-08-09,3,0,10,7,0
32,2015-08-16,7,0,5,6,0
33,2015-08-23,7,0,7,7,0
34,2015-08-30,4,0,6,9,0
35,2015-09-06,6,0,4,10,0
36,2015-09-13,6,0,7,7,0
37,2015-09-20,5,0,6,6,0
38,2015-09-27,6,0,4,7,0
39,2015-10-04,6,0,6,8,0
40,2015-10-11,6,0,5,5,0
41,2015-10-18,5,0,4,6,0
42,2015-10-25,7,0,5,7,0
43,2015-11-01,7,0,5,4,0
44,2015-11-08,6,0,8,7,0
45,2015-11-15,6,0,6,6,0
46,2015-11-22,7,0,6,7,0
47,2015-11-29,6,0,6,6,0
48,2015-12-06,6,0,14,6,0
49,2015-12-13,5,0,9,6,0
50,2015-12-20,8,0,7,8,0
51,2015-12-27,7,0,8,9,0
52,2016-01-03,5,0,5,6,0
53,2016-01-10,8,0,5,7,0
54,2016-01-17,8,0,5,6,0
55,2016-01-24,5,0,3,6,0
56,2016-01-31,7,0,7,9,0
57,2016-02-07,9,0,5,65,0
58,2016-02-14,9,0,5,19,0
59,2016-02-21,7,0,4,12,0
60,2016-02-28,6,0,5,6,0
61,2016-03-06,9,0,4,6,0
62,2016-03-13,6,0,4,8,0
63,2016-03-20,9,0,3,7,0
64,2016-03-27,7,0,4,6,0
65,2016-04-03,7,0,5,7,0
66,2016-04-10,5,0,3,5,0
67,2016-04-17,7,0,4,6,0
68,2016-04-24,7,0,5,7,0
69,2016-05-01,10,0,6,4,0
70,2016-05-08,9,0,4,6,0
71,2016-05-15,7,0,5,9,0
72,2016-05-22,5,0,3,10,0
73,2016-05-29,7,0,6,8,0
74,2016-06-05,5,0,4,7,0
75,2016-06-12,5,0,3,5,0
76,2016-06-19,6,0,3,6,0
77,2016-06-26,7,0,4,6,0
78,2016-07-03,7,0,4,4,0
79,2016-07-10,8,0,3,6,0
80,2016-07-17,6,0,4,6,0
81,2016-07-24,6,0,5,7,0
82,2016-07-31,5,0,4,6,0
83,2016-08-07,7,0,5,6,0
84,2016-08-14,6,0,4,6,0
85,2016-08-21,5,0,4,7,0
86,2016-08-28,8,0,4,5,0
87,2016-09-04,7,5,5,5,0
88,2016-09-11,5,5,4,6,0
89,2016-09-18,6,5,4,4,0
90,2016-09-25,6,4,4,5,0
91,2016-10-02,8,4,4,13,0
92,2016-10-09,7,3,4,14,0
93,2016-10-16,9,4,3,20,0
94,2016-10-23,5,4,4,16,0
95,2016-10-30,8,5,4,16,0
96,2016-11-06,8,5,3,11,0
97,2016-11-13,10,8,4,25,0
98,2016-11-20,9,5,5,43,0
99,2016-11-27,10,5,4,18,0
100,2016-12-04,14,2,4,20,0
101,2016-12-11,10,6,3,40,0
102,2016-12-18,6,3,4,23,0
103,2016-12-25,6,7,7,22,0
104,2017-01-01,7,4,6,15,0
105,2017-01-08,7,5,39,16,0
106,2017-01-15,7,4,30,15,0
107,2017-01-22,9,4,13,12,0
108,2017-01-29,7,5,7,17,0
109,2017-02-05,6,4,6,18,0
110,2017-02-12,8,6,8,100,0
111,2017-02-19,6,4,6,26,0
112,2017-02-26,6,3,5,29,0
113,2017-03-05,7,4,7,31,0
114,2017-03-12,5,4,7,23,0
115,2017-03-19,7,3,8,26,0
116,2017-03-26,6,3,6,21,0
117,2017-04-02,6,5,6,22,0
118,2017-04-09,5,3,6,20,0
119,2017-04-16,6,3,7,20,0
120,2017-04-23,7,6,6,23,0
121,2017-04-30,5,7,8,23,0
122,2017-05-07,7,5,9,21,0
123,2017-05-14,7,4,13,22,0
124,2017-05-21,6,4,14,31,0
125,2017-05-28,6,4,13,23,0
126,2017-06-04,6,4,15,19,0
127,2017-06-11,7,4,22,20,0
128,2017-06-18,5,5,34,20,0
129,2017-06-25,5,8,87,36,0
130,2017-07-02,7,11,12,21,0
131,2017-07-09,5,39,9,18,0
132,2017-07-16,7,5,7,20,0
133,2017-07-23,6,5,8,16,0
134,2017-07-30,0,0,0,0,0
135,2017-08-06,0,0,0,0,0
136,2017-08-13,0,0,0,0,0
137,2017-08-20,0,0,0,0,0
138,2017-08-27,0,0,0,0,0
139,2017-09-03,0,0,0,0,0
140,2017-09-10,0,0,0,0,0
141,2017-09-17,0,0,0,0,0
142,2017-09-24,0,0,0,0,0
143,2017-10-01,0,0,0,0,0
144,2017-10-08,0,0,0,0,0
145,2017-10-15,0,0,0,0,0
146,2017-10-22,0,0,0,0,0
147,2017-10-29,0,0,0,0,0
148,2017-11-05,0,0,0,0,0
149,2017-11-12,0,0,0,0,0
150,2017-11-19,0,0,0,0,0
151,2017-11-26,0,0,0,0,0
152,2017-12-03,0,0,0,0,0
153,2017-12-10,0,0,0,0,0
154,2017-12-17,0,0,0,0,0
155,2017-12-24,0,0,0,0,0
156,2017-12-31,0,0,0,0,0
157,2018-01-07,0,0,0,0,0
158,2018-01-14,0,0,0,0,0
159,2018-01-21,0,0,0,0,0
160,2018-01-28,0,0,0,0,0
161,2018-02-04,0,0,0,0,0
162,2018-02-11,0,0,0,0,0
163,2018-02-18,0,0,0,0,0
164,2018-02-25,0,0,0,0,0
165,2018-03-04,0,0,0,0,0
166,2018-03-11,0,0,0,0,0
167,2018-03-18,0,0,0,0,0
168,2018-03-25,0,0,0,0,0
169,2018-04-01,0,0,0,0,0
170,2018-04-08,0,0,0,0,0
171,2018-04-15,0,0,0,0,0
172,2018-04-22,0,0,0,0,0
173,2018-04-29,0,0,0,0,0
174,2018-05-06,0,0,0,0,0
175,2018-05-13,0,0,0,0,0
176,2018-05-20,0,0,0,0,0
177,2018-05-27,0,0,0,0,0
178,2018-06-03,0,0,0,0,0
179,2018-06-10,0,0,0,0,0
180,2018-06-17,0,0,0,0,0
181,2018-06-24,0,0,0,0,0
182,2018-07-01,0,0,0,0,0
183,2018-07-08,0,0,0,0,0
184,2018-07-15,0,0,0,0,0
185,2018-07-22,0,0,0,0,0
186,2018-07-29,0,0,0,0,0
187,2018-08-05,0,0,0,0,0
188,2018-08-12,0,0,0,0,0
