,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,3,2,7,25,16
1,2015-01-11,4,4,8,32,15
2,2015-01-18,3,7,6,23,21
3,2015-01-25,2,3,6,27,23
4,2015-02-01,5,3,4,25,18
5,2015-02-08,4,6,6,22,18
6,2015-02-15,3,3,5,23,18
7,2015-02-22,2,2,8,16,19
8,2015-03-01,0,3,5,8,24
9,2015-03-08,6,7,6,17,15
10,2015-03-15,5,2,9,13,15
11,2015-03-22,7,8,4,20,19
12,2015-03-29,8,6,7,16,10
13,2015-04-05,11,8,0,16,22
14,2015-04-12,5,12,7,17,18
15,2015-04-19,7,5,4,14,16
16,2015-04-26,8,2,7,15,12
17,2015-05-03,5,4,5,12,11
18,2015-05-10,7,4,9,22,15
19,2015-05-17,7,4,14,23,17
20,2015-05-24,10,3,10,12,19
21,2015-05-31,3,3,5,14,11
22,2015-06-07,5,4,5,16,9
23,2015-06-14,2,3,5,12,13
24,2015-06-21,5,5,6,10,15
25,2015-06-28,8,4,4,11,17
26,2015-07-05,7,3,4,8,13
27,2015-07-12,4,1,8,11,19
28,2015-07-19,8,8,9,15,10
29,2015-07-26,0,3,5,9,15
30,2015-08-02,6,3,6,14,16
31,2015-08-09,3,3,1,7,26
32,2015-08-16,2,3,4,11,21
33,2015-08-23,7,0,2,9,27
34,2015-08-30,4,3,3,10,31
35,2015-09-06,2,6,5,8,20
36,2015-09-13,2,4,1,6,19
37,2015-09-20,2,6,2,11,20
38,2015-09-27,6,2,2,10,22
39,2015-10-04,1,5,3,19,25
40,2015-10-11,2,4,4,12,28
41,2015-10-18,3,7,2,2,27
42,2015-10-25,8,3,4,10,15
43,2015-11-01,9,4,2,10,23
44,2015-11-08,4,4,6,9,22
45,2015-11-15,4,0,6,9,17
46,2015-11-22,5,4,3,12,20
47,2015-11-29,5,6,4,7,20
48,2015-12-06,3,0,12,9,19
49,2015-12-13,7,0,3,7,22
50,2015-12-20,3,5,3,10,19
51,2015-12-27,3,6,3,23,15
52,2016-01-03,2,4,4,6,19
53,2016-01-10,7,6,0,3,17
54,2016-01-17,0,4,3,7,16
55,2016-01-24,5,3,2,7,12
56,2016-01-31,6,0,5,11,13
57,2016-02-07,4,4,2,70,18
