,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,40,4,0,6,21
1,2015-01-11,40,3,0,8,27
2,2015-01-18,50,2,0,9,31
3,2015-01-25,47,4,0,9,19
4,2015-02-01,42,5,0,7,22
5,2015-02-08,100,3,0,10,23
6,2015-02-15,64,3,0,7,24
7,2015-02-22,80,0,0,6,21
8,2015-03-01,54,1,0,5,23
9,2015-03-08,36,7,0,8,19
10,2015-03-15,37,3,0,8,24
11,2015-03-22,30,2,0,10,28
12,2015-03-29,34,2,0,9,19
13,2015-04-05,30,5,0,6,20
14,2015-04-12,38,1,0,9,20
15,2015-04-19,32,4,0,8,21
16,2015-04-26,24,0,0,5,20
17,2015-05-03,52,3,0,8,19
18,2015-05-10,37,2,0,8,19
19,2015-05-17,41,5,0,8,17
20,2015-05-24,34,7,0,9,20
21,2015-05-31,32,4,0,11,18
22,2015-06-07,29,7,0,12,18
23,2015-06-14,44,3,0,11,22
24,2015-06-21,30,0,0,7,16
25,2015-06-28,11,3,0,5,25
26,2015-07-05,16,4,0,5,22
27,2015-07-12,21,0,0,6,32
28,2015-07-19,10,0,0,9,22
29,2015-07-26,16,7,0,7,28
30,2015-08-02,25,2,0,3,24
31,2015-08-09,21,0,0,11,34
32,2015-08-16,26,10,0,6,29
33,2015-08-23,26,0,0,8,37
34,2015-08-30,22,4,0,8,36
35,2015-09-06,14,3,0,4,29
36,2015-09-13,19,7,0,11,33
37,2015-09-20,11,0,0,11,18
38,2015-09-27,19,5,0,3,39
39,2015-10-04,20,6,0,6,32
40,2015-10-11,23,0,0,11,24
41,2015-10-18,16,0,0,7,31
42,2015-10-25,11,0,0,3,43
43,2015-11-01,15,2,0,11,24
44,2015-11-08,12,8,0,7,40
45,2015-11-15,10,7,0,7,37
46,2015-11-22,12,10,0,12,29
47,2015-11-29,18,12,0,11,24
48,2015-12-06,12,7,0,7,34
49,2015-12-13,17,6,0,10,21
50,2015-12-20,4,5,0,11,22
51,2015-12-27,12,13,0,7,22
52,2016-01-03,13,9,0,11,18
53,2016-01-10,12,8,0,6,24
54,2016-01-17,7,10,0,12,22
55,2016-01-24,11,6,0,12,20
56,2016-01-31,7,8,0,9,29
57,2016-02-07,10,3,0,15,23
58,2016-02-14,13,5,0,12,36
59,2016-02-21,10,5,0,7,26
60,2016-02-28,9,5,0,7,28
61,2016-03-06,11,8,0,9,25
62,2016-03-13,5,6,0,10,16
