,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,27,3,5,0,22
1,2015-01-11,26,3,7,0,22
2,2015-01-18,29,3,6,0,20
3,2015-01-25,33,2,6,0,24
4,2015-02-01,27,2,6,0,21
5,2015-02-08,55,3,6,0,18
6,2015-02-15,42,3,6,0,20
7,2015-02-22,41,3,5,0,20
8,2015-03-01,34,4,5,0,22
9,2015-03-08,29,3,5,0,21
10,2015-03-15,22,3,5,0,23
11,2015-03-22,22,3,6,0,20
12,2015-03-29,23,3,5,0,19
13,2015-04-05,28,3,5,0,19
14,2015-04-12,20,3,6,0,19
15,2015-04-19,19,3,5,0,18
16,2015-04-26,18,3,4,0,20
17,2015-05-03,29,4,4,0,19
18,2015-05-10,19,4,5,0,22
19,2015-05-17,28,3,6,0,18
20,2015-05-24,18,2,5,0,18
21,2015-05-31,20,3,6,0,18
22,2015-06-07,21,3,6,0,18
23,2015-06-14,24,3,5,0,17
24,2015-06-21,18,4,5,0,16
25,2015-06-28,22,3,4,0,16
26,2015-07-05,21,4,5,0,16
27,2015-07-12,17,3,6,0,15
28,2015-07-19,20,3,5,0,15
29,2015-07-26,18,3,5,0,17
30,2015-08-02,17,3,5,0,15
31,2015-08-09,22,3,5,0,33
32,2015-08-16,24,3,5,0,23
33,2015-08-23,25,4,5,0,29
34,2015-08-30,40,3,4,0,32
35,2015-09-06,24,3,4,0,26
36,2015-09-13,14,3,4,0,26
37,2015-09-20,16,3,5,0,27
38,2015-09-27,17,3,5,0,25
39,2015-10-04,15,4,5,0,24
40,2015-10-11,14,4,5,0,22
41,2015-10-18,13,4,4,0,25
42,2015-10-25,14,4,3,0,22
43,2015-11-01,11,3,7,0,22
44,2015-11-08,12,5,7,0,21
45,2015-11-15,11,4,7,0,21
46,2015-11-22,12,4,13,0,17
47,2015-11-29,9,4,18,0,20
48,2015-12-06,9,4,14,0,20
49,2015-12-13,10,4,12,0,18
50,2015-12-20,10,4,9,0,16
51,2015-12-27,10,12,8,0,16
52,2016-01-03,8,13,7,0,18
53,2016-01-10,8,6,7,0,17
54,2016-01-17,9,8,7,0,19
55,2016-01-24,7,6,20,0,19
56,2016-01-31,8,7,32,0,24
57,2016-02-07,8,6,100,0,19
58,2016-02-14,16,5,14,0,21
59,2016-02-21,8,5,10,0,21
60,2016-02-28,6,4,8,0,18
61,2016-03-06,7,4,8,0,16
62,2016-03-13,5,4,10,0,14
63,2016-03-20,6,10,8,0,19
64,2016-03-27,7,23,8,0,18
65,2016-04-03,6,43,8,0,20
66,2016-04-10,5,20,8,0,21
67,2016-04-17,0,0,0,0,0
68,2016-04-24,0,0,0,0,0
69,2016-05-01,0,0,0,0,0
70,2016-05-08,0,0,0,0,0
71,2016-05-15,0,0,0,0,0
72,2016-05-22,0,0,0,0,0
73,2016-05-29,0,0,0,0,0
74,2016-06-05,0,0,0,0,0
75,2016-06-12,0,0,0,0,0
76,2016-06-19,0,0,0,0,0
77,2016-06-26,0,0,0,0,0
78,2016-07-03,0,0,0,0,0
79,2016-07-10,0,0,0,0,0
80,2016-07-17,0,0,0,0,0
81,2016-07-24,0,0,0,0,0
82,2016-07-31,0,0,0,0,0
83,2016-08-07,0,0,0,0,0
84,2016-08-14,0,0,0,0,0
85,2016-08-21,0,0,0,0,0
86,2016-08-28,0,0,0,0,0
87,2016-09-04,0,0,0,0,0
88,2016-09-11,0,0,0,0,0
89,2016-09-18,0,0,0,0,0
90,2016-09-25,0,0,0,0,0
91,2016-10-02,0,0,0,0,0
92,2016-10-09,0,0,0,0,0
93,2016-10-16,0,0,0,0,0
94,2016-10-23,0,0,0,0,0
95,2016-10-30,0,0,0,0,0
96,2016-11-06,0,0,0,0,0
97,2016-11-13,0,0,0,0,0
98,2016-11-20,0,0,0,0,0
99,2016-11-27,0,0,0,0,0
100,2016-12-04,0,0,0,0,0
101,2016-12-11,0,0,0,0,0
102,2016-12-18,0,0,0,0,0
103,2016-12-25,0,0,0,0,0
104,2017-01-01,0,0,0,0,0
105,2017-01-08,0,0,0,0,0
106,2017-01-15,0,0,0,0,0
107,2017-01-22,0,0,0,0,0
108,2017-01-29,0,0,0,0,0
109,2017-02-05,0,0,0,0,0
110,2017-02-12,0,0,0,0,0
111,2017-02-19,0,0,0,0,0
112,2017-02-26,0,0,0,0,0
113,2017-03-05,0,0,0,0,0
114,2017-03-12,0,0,0,0,0
115,2017-03-19,0,0,0,0,0
116,2017-03-26,0,0,0,0,0
117,2017-04-02,0,0,0,0,0
118,2017-04-09,0,0,0,0,0
119,2017-04-16,0,0,0,0,0
120,2017-04-23,0,0,0,0,0
121,2017-04-30,0,0,0,0,0
122,2017-05-07,0,0,0,0,0
123,2017-05-14,0,0,0,0,0
124,2017-05-21,0,0,0,0,0
125,2017-05-28,0,0,0,0,0
126,2017-06-04,0,0,0,0,0
127,2017-06-11,0,0,0,0,0
