,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,26,2,4,5,20
1,2015-01-11,27,2,5,5,19
2,2015-01-18,25,4,5,7,18
3,2015-01-25,31,2,4,6,18
4,2015-02-01,25,3,6,6,23
5,2015-02-08,57,3,4,8,21
6,2015-02-15,39,3,6,5,20
7,2015-02-22,38,3,5,6,28
8,2015-03-01,25,2,5,7,21
9,2015-03-08,22,3,5,3,23
10,2015-03-15,21,2,4,6,22
11,2015-03-22,22,2,6,7,22
12,2015-03-29,19,3,5,5,19
13,2015-04-05,17,2,4,4,18
14,2015-04-12,14,2,5,7,20
15,2015-04-19,14,3,4,7,20
16,2015-04-26,14,1,5,6,18
17,2015-05-03,17,3,4,7,17
18,2015-05-10,15,2,5,6,23
19,2015-05-17,24,5,6,7,17
20,2015-05-24,18,2,7,8,19
21,2015-05-31,20,2,6,6,18
22,2015-06-07,18,4,8,4,18
23,2015-06-14,29,1,5,7,17
24,2015-06-21,18,2,4,5,19
25,2015-06-28,17,1,4,4,13
26,2015-07-05,16,3,6,5,15
27,2015-07-12,15,1,5,4,17
28,2015-07-19,16,6,6,5,17
29,2015-07-26,14,3,3,4,20
30,2015-08-02,18,2,6,7,17
31,2015-08-09,19,3,5,7,50
32,2015-08-16,24,2,4,7,23
33,2015-08-23,14,4,4,4,17
34,2015-08-30,18,3,3,6,25
35,2015-09-06,12,4,5,5,23
36,2015-09-13,10,4,5,6,23
37,2015-09-20,10,4,5,4,18
38,2015-09-27,13,2,3,7,24
39,2015-10-04,11,1,3,5,28
40,2015-10-11,13,3,5,5,24
41,2015-10-18,12,3,2,4,30
42,2015-10-25,13,3,4,2,25
43,2015-11-01,10,3,9,6,25
44,2015-11-08,11,6,6,6,21
45,2015-11-15,8,4,5,6,23
46,2015-11-22,11,5,9,5,18
47,2015-11-29,9,4,20,6,22
48,2015-12-06,12,2,14,5,24
49,2015-12-13,9,2,12,4,23
50,2015-12-20,11,3,9,8,16
51,2015-12-27,10,12,6,7,16
52,2016-01-03,8,11,9,5,19
53,2016-01-10,5,7,6,6,19
54,2016-01-17,8,7,5,6,21
55,2016-01-24,7,4,13,7,22
56,2016-01-31,7,5,18,6,25
57,2016-02-07,7,4,83,9,21
58,2016-02-14,15,4,10,7,18
59,2016-02-21,9,4,9,5,21
60,2016-02-28,9,6,5,7,24
61,2016-03-06,6,5,8,5,22
62,2016-03-13,6,5,9,6,20
63,2016-03-20,6,10,5,8,21
64,2016-03-27,6,25,4,5,20
65,2016-04-03,5,43,7,9,20
66,2016-04-10,6,20,7,7,18
67,2016-04-17,7,19,4,8,21
68,2016-04-24,5,10,6,7,20
69,2016-05-01,5,8,6,6,16
70,2016-05-08,7,7,5,6,20
71,2016-05-15,5,7,7,5,18
72,2016-05-22,6,7,6,7,25
73,2016-05-29,5,9,5,6,18
74,2016-06-05,7,6,7,7,20
75,2016-06-12,5,7,5,3,18
76,2016-06-19,5,8,6,6,16
77,2016-06-26,3,9,4,5,18
78,2016-07-03,7,10,3,6,18
79,2016-07-10,5,13,7,7,18
80,2016-07-17,6,12,8,9,17
81,2016-07-24,7,13,8,7,18
82,2016-07-31,4,20,7,7,21
83,2016-08-07,5,82,6,5,17
84,2016-08-14,4,19,6,16,14
85,2016-08-21,5,7,11,16,16
86,2016-08-28,5,4,5,8,21
87,2016-09-04,6,4,8,7,22
88,2016-09-11,3,5,8,9,19
89,2016-09-18,4,3,6,6,22
90,2016-09-25,3,2,4,11,21
91,2016-10-02,4,2,9,11,21
92,2016-10-09,3,2,27,7,23
93,2016-10-16,5,6,12,8,20
94,2016-10-23,5,2,6,8,19
95,2016-10-30,5,5,6,10,22
96,2016-11-06,4,3,6,9,18
97,2016-11-13,4,2,7,23,23
98,2016-11-20,3,5,6,17,17
99,2016-11-27,4,4,4,9,19
100,2016-12-04,5,15,5,9,20
