,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,3,0,6,0,17
1,2015-01-11,3,0,5,0,16
2,2015-01-18,4,0,5,0,15
3,2015-01-25,4,0,4,0,15
4,2015-02-01,4,0,6,0,20
5,2015-02-08,4,0,5,0,18
6,2015-02-15,5,0,4,0,18
7,2015-02-22,5,0,4,0,24
8,2015-03-01,3,0,4,0,18
9,2015-03-08,7,0,6,0,20
10,2015-03-15,4,0,5,0,19
11,2015-03-22,3,0,5,0,19
12,2015-03-29,9,0,5,0,17
13,2015-04-05,8,0,6,0,16
14,2015-04-12,6,0,5,0,18
15,2015-04-19,4,0,6,0,17
16,2015-04-26,4,0,6,0,16
17,2015-05-03,5,0,10,0,15
18,2015-05-10,5,0,21,0,20
19,2015-05-17,8,0,18,0,15
20,2015-05-24,5,0,12,0,17
21,2015-05-31,6,0,7,0,16
22,2015-06-07,7,0,7,0,16
23,2015-06-14,6,0,5,0,15
24,2015-06-21,6,0,5,0,16
25,2015-06-28,4,0,5,0,11
26,2015-07-05,5,0,3,0,13
27,2015-07-12,4,0,5,0,15
28,2015-07-19,6,0,5,0,15
29,2015-07-26,4,0,6,0,17
30,2015-08-02,4,0,7,0,14
31,2015-08-09,4,0,5,0,44
32,2015-08-16,3,0,3,0,20
33,2015-08-23,6,0,4,0,15
34,2015-08-30,3,0,4,0,22
35,2015-09-06,4,0,4,0,20
36,2015-09-13,5,0,4,0,20
37,2015-09-20,4,0,5,0,15
38,2015-09-27,4,0,4,0,21
39,2015-10-04,6,0,3,0,24
40,2015-10-11,4,0,4,0,21
41,2015-10-18,4,0,4,0,26
42,2015-10-25,4,0,3,0,22
43,2015-11-01,5,0,3,0,22
44,2015-11-08,5,0,7,0,18
45,2015-11-15,4,0,4,0,20
46,2015-11-22,5,0,4,0,16
47,2015-11-29,3,0,4,0,19
48,2015-12-06,5,0,8,0,21
49,2015-12-13,3,0,3,0,20
50,2015-12-20,5,0,4,0,14
51,2015-12-27,5,0,4,0,14
52,2016-01-03,5,0,3,0,16
53,2016-01-10,5,0,4,0,16
54,2016-01-17,5,0,4,0,19
55,2016-01-24,4,0,3,0,19
56,2016-01-31,5,0,4,0,22
57,2016-02-07,5,0,3,0,19
58,2016-02-14,4,0,4,0,16
59,2016-02-21,5,0,3,0,18
60,2016-02-28,4,0,4,0,21
61,2016-03-06,5,0,4,0,19
62,2016-03-13,4,0,3,0,18
63,2016-03-20,6,0,3,0,19
64,2016-03-27,5,0,2,0,18
65,2016-04-03,3,0,4,0,17
66,2016-04-10,5,0,3,0,15
67,2016-04-17,6,0,2,0,18
68,2016-04-24,5,0,5,0,17
69,2016-05-01,8,0,3,0,14
70,2016-05-08,9,0,4,0,18
71,2016-05-15,5,0,3,0,16
72,2016-05-22,5,0,3,0,22
73,2016-05-29,5,0,3,0,16
74,2016-06-05,4,0,2,0,17
75,2016-06-12,4,0,3,0,16
76,2016-06-19,3,0,3,0,14
77,2016-06-26,3,0,1,0,15
78,2016-07-03,4,0,2,0,15
79,2016-07-10,5,0,4,0,15
80,2016-07-17,6,0,3,0,15
81,2016-07-24,5,0,3,0,15
82,2016-07-31,4,0,4,0,18
83,2016-08-07,5,0,2,0,15
84,2016-08-14,4,0,4,0,12
85,2016-08-21,3,0,4,0,14
86,2016-08-28,5,0,4,0,18
87,2016-09-04,4,0,3,0,20
88,2016-09-11,4,0,3,0,17
89,2016-09-18,4,0,4,0,19
90,2016-09-25,3,0,4,0,18
91,2016-10-02,7,0,5,0,18
92,2016-10-09,5,0,3,0,20
93,2016-10-16,5,0,4,0,17
94,2016-10-23,3,0,3,0,17
95,2016-10-30,4,0,3,0,19
96,2016-11-06,5,0,2,0,15
97,2016-11-13,5,0,3,0,20
98,2016-11-20,4,0,5,0,15
99,2016-11-27,6,0,2,0,16
100,2016-12-04,7,0,2,0,18
101,2016-12-11,5,0,3,0,17
102,2016-12-18,5,0,4,0,15
103,2016-12-25,5,0,3,0,14
104,2017-01-01,5,0,4,0,17
105,2017-01-08,6,0,47,0,15
106,2017-01-15,4,0,29,0,16
107,2017-01-22,5,0,10,0,15
108,2017-01-29,4,0,7,0,17
