,date,Ed Sheeran,Guns N' Roses,Coldplay,Metallica,Alphabet
0,2015-01-04,24,5,4,7,20
1,2015-01-11,28,0,5,8,22
2,2015-01-18,30,2,7,10,21
3,2015-01-25,36,5,2,7,22
4,2015-02-01,28,4,5,7,19
5,2015-02-08,77,2,6,10,21
6,2015-02-15,65,3,5,6,18
7,2015-02-22,41,4,4,5,23
8,2015-03-01,34,0,6,11,16
9,2015-03-08,27,4,7,6,19
10,2015-03-15,23,4,4,9,22
11,2015-03-22,24,3,3,7,16
12,2015-03-29,25,4,5,7,18
13,2015-04-05,18,4,6,6,17
14,2015-04-12,19,4,4,7,20
15,2015-04-19,24,6,6,7,19
16,2015-04-26,15,2,6,7,23
17,2015-05-03,21,3,4,4,18
18,2015-05-10,22,5,4,6,20
19,2015-05-17,30,2,7,8,21
20,2015-05-24,26,6,6,8,27
21,2015-05-31,29,3,8,4,18
22,2015-06-07,33,5,4,5,18
23,2015-06-14,28,4,5,8,15
24,2015-06-21,30,3,5,10,17
25,2015-06-28,62,2,5,8,16
26,2015-07-05,37,6,4,5,14
27,2015-07-12,18,2,7,10,13
28,2015-07-19,22,2,5,9,16
29,2015-07-26,17,5,4,7,10
30,2015-08-02,20,3,5,12,12
31,2015-08-09,25,3,5,8,35
32,2015-08-16,24,4,3,8,18
33,2015-08-23,18,6,3,7,13
34,2015-08-30,18,6,5,6,25
35,2015-09-06,19,2,5,12,31
36,2015-09-13,20,4,8,9,29
37,2015-09-20,16,5,2,7,29
38,2015-09-27,20,0,5,8,26
39,2015-10-04,12,4,4,7,29
40,2015-10-11,10,0,4,6,23
41,2015-10-18,14,6,4,6,26
42,2015-10-25,11,3,6,7,24
43,2015-11-01,11,2,6,8,25
44,2015-11-08,14,8,5,6,28
45,2015-11-15,12,8,8,6,21
46,2015-11-22,14,5,12,7,17
47,2015-11-29,11,7,24,5,21
48,2015-12-06,12,4,15,8,24
49,2015-12-13,10,3,15,9,22
50,2015-12-20,14,7,10,9,18
51,2015-12-27,10,14,6,11,15
52,2016-01-03,10,13,11,7,25
53,2016-01-10,8,9,9,9,16
54,2016-01-17,5,8,8,7,17
55,2016-01-24,5,3,13,7,22
56,2016-01-31,10,6,23,10,22
57,2016-02-07,9,4,100,15,23
58,2016-02-14,17,4,8,8,23
59,2016-02-21,7,5,8,12,22
60,2016-02-28,7,5,7,6,16
61,2016-03-06,6,5,8,8,23
62,2016-03-13,6,9,9,19,19
63,2016-03-20,4,9,5,30,17
64,2016-03-27,6,22,6,12,21
65,2016-04-03,6,34,6,9,21
66,2016-04-10,5,15,6,12,23
67,2016-04-17,4,18,5,9,22
68,2016-04-24,6,11,8,9,20
69,2016-05-01,4,8,7,6,17
70,2016-05-08,6,5,8,6,20
71,2016-05-15,6,7,8,11,21
72,2016-05-22,3,8,6,8,19
73,2016-05-29,2,6,7,9,17
74,2016-06-05,10,9,6,9,17
75,2016-06-12,6,10,7,7,16
76,2016-06-19,6,11,5,5,14
77,2016-06-26,8,31,9,7,18
78,2016-07-03,3,22,6,10,16
79,2016-07-10,3,7,8,8,16
80,2016-07-17,5,7,17,8,15
81,2016-07-24,6,7,25,10,15
82,2016-07-31,6,6,9,9,15
83,2016-08-07,8,8,5,12,12
84,2016-08-14,4,6,4,29,12
85,2016-08-21,5,7,6,28,19
86,2016-08-28,4,4,4,11,25
87,2016-09-04,3,0,0,10,23
88,2016-09-11,4,0,0,10,26
89,2016-09-18,5,0,0,9,25
90,2016-09-25,4,0,0,14,26
91,2016-10-02,7,0,0,12,24
92,2016-10-09,5,0,0,7,23
93,2016-10-16,7,0,0,9,24
94,2016-10-23,6,0,0,9,21
95,2016-10-30,4,0,0,12,21
