,date,The Rolling Stones,Pink,U2,Bruno Mars,Alphabet
0,2015-01-04,5,4,7,16,22
1,2015-01-11,1,4,1,25,25
2,2015-01-18,6,4,5,24,24
3,2015-01-25,6,5,5,21,25
4,2015-02-01,6,6,6,31,21
5,2015-02-08,4,4,9,23,23
6,2015-02-15,7,5,6,17,20
7,2015-02-22,2,5,5,19,25
8,2015-03-01,6,6,4,19,18
9,2015-03-08,12,3,5,17,21
10,2015-03-15,29,4,7,15,24
11,2015-03-22,16,6,6,19,17
12,2015-03-29,75,0,5,18,20
13,2015-04-05,53,4,6,12,19
14,2015-04-12,38,14,6,12,22
15,2015-04-19,12,4,8,14,21
16,2015-04-26,13,5,5,14,25
17,2015-05-03,11,5,11,12,20
18,2015-05-10,9,6,13,9,22
19,2015-05-17,10,6,6,11,23
20,2015-05-24,19,3,13,12,30
21,2015-05-31,26,8,7,12,19
22,2015-06-07,21,3,5,6,19
23,2015-06-14,24,3,4,13,16
24,2015-06-21,100,5,18,9,19
25,2015-06-28,18,6,22,11,17
26,2015-07-05,11,3,10,10,16
27,2015-07-12,8,4,8,6,15
28,2015-07-19,6,5,5,9,17
29,2015-07-26,6,5,6,6,11
30,2015-08-02,5,3,6,6,13
31,2015-08-09,8,6,7,9,38
32,2015-08-16,9,4,8,5,20
33,2015-08-23,7,5,5,6,14
34,2015-08-30,6,4,6,10,28
35,2015-09-06,6,8,4,10,34
36,2015-09-13,7,6,4,9,32
37,2015-09-20,6,2,3,7,32
38,2015-09-27,6,7,5,4,29
39,2015-10-04,4,3,5,6,32
40,2015-10-11,4,6,3,6,25
41,2015-10-18,7,8,4,7,29
42,2015-10-25,6,6,2,6,27
43,2015-11-01,8,4,4,8,27
44,2015-11-08,5,4,7,8,31
45,2015-11-15,4,4,4,4,23
46,2015-11-22,5,4,6,6,19
47,2015-11-29,7,4,5,5,23
48,2015-12-06,10,4,8,5,27
49,2015-12-13,4,5,6,6,24
50,2015-12-20,8,3,5,6,20
51,2015-12-27,8,3,5,4,16
52,2016-01-03,5,4,2,5,27
53,2016-01-10,7,4,3,8,18
54,2016-01-17,8,2,3,5,19
55,2016-01-24,4,4,4,8,24
56,2016-01-31,5,5,6,12,25
57,2016-02-07,4,5,5,69,25
58,2016-02-14,6,6,5,13,26
59,2016-02-21,5,4,6,11,24
60,2016-02-28,4,4,4,7,18
61,2016-03-06,4,5,4,7,25
62,2016-03-13,7,3,5,4,21
63,2016-03-20,7,3,5,7,19
64,2016-03-27,6,3,6,7,23
65,2016-04-03,6,5,4,7,24
66,2016-04-10,5,3,5,6,25
67,2016-04-17,7,4,1,7,24
68,2016-04-24,5,6,2,5,22
69,2016-05-01,8,7,4,5,18
70,2016-05-08,6,8,3,7,22
71,2016-05-15,7,11,3,7,23
72,2016-05-22,7,14,5,6,21
73,2016-05-29,6,9,4,10,19
74,2016-06-05,5,14,3,3,18
75,2016-06-12,10,7,6,5,18
76,2016-06-19,8,10,0,4,16
77,2016-06-26,7,11,10,6,20
78,2016-07-03,6,7,6,5,18
79,2016-07-10,5,5,2,6,17
80,2016-07-17,6,7,3,4,16
81,2016-07-24,7,10,4,7,17
82,2016-07-31,6,7,3,8,17
83,2016-08-07,3,5,4,5,13
84,2016-08-14,6,7,5,7,14
85,2016-08-21,6,7,3,5,21
86,2016-08-28,5,5,6,4,27
87,2016-09-04,4,8,3,6,25
88,2016-09-11,2,6,4,3,29
89,2016-09-18,4,4,3,2,27
90,2016-09-25,4,5,6,6,28
91,2016-10-02,8,7,4,12,26
92,2016-10-09,5,6,5,11,25
93,2016-10-16,7,5,2,19,27
94,2016-10-23,6,6,4,12,23
95,2016-10-30,4,6,4,10,23
96,2016-11-06,5,4,3,9,19
97,2016-11-13,7,27,5,21,23
98,2016-11-20,6,8,4,32,20
99,2016-11-27,10,7,5,12,20
100,2016-12-04,10,5,3,20,23
101,2016-12-11,6,5,6,36,18
102,2016-12-18,4,6,5,24,22
103,2016-12-25,7,10,6,20,16
104,2017-01-01,4,8,8,18,21
105,2017-01-08,5,4,29,14,19
106,2017-01-15,7,4,15,14,19
107,2017-01-22,6,6,6,13,23
108,2017-01-29,7,3,4,14,26
109,2017-02-05,6,6,4,16,25
110,2017-02-12,4,7,8,85,21
