,date,Bruno Mars,Alphabet
0,2015-01-04,55,53
1,2015-01-11,48,56
2,2015-01-18,16,19
3,2015-01-25,47,30
4,2015-02-01,49,47
5,2015-02-08,19,62
6,2015-02-15,30,59
7,2015-02-22,23,53
8,2015-03-01,20,58
9,2015-03-08,19,20
10,2015-03-15,48,29
11,2015-03-22,34,32
12,2015-03-29,30,32
13,2015-04-05,20,54
14,2015-04-12,26,65
15,2015-04-19,0,47
16,2015-04-26,23,63
17,2015-05-03,20,45
18,2015-05-10,0,31
19,2015-05-17,0,81
20,2015-05-24,25,27
21,2015-05-31,28,27
22,2015-06-07,26,38
23,2015-06-14,23,0
24,2015-06-21,14,35
25,2015-06-28,0,40
26,2015-07-05,0,0
27,2015-07-12,0,22
28,2015-07-19,37,74
29,2015-07-26,0,20
30,2015-08-02,0,37
31,2015-08-09,15,40
32,2015-08-16,29,43
33,2015-08-23,15,54
34,2015-08-30,13,62
35,2015-09-06,0,39
36,2015-09-13,21,68
37,2015-09-20,24,40
38,2015-09-27,24,26
39,2015-10-04,10,77
40,2015-10-11,20,53
41,2015-10-18,12,64
42,2015-10-25,0,41
43,2015-11-01,18,49
44,2015-11-08,0,66
45,2015-11-15,27,33
46,2015-11-22,15,44
47,2015-11-29,0,48
48,2015-12-06,19,51
49,2015-12-13,0,61
50,2015-12-20,25,19
51,2015-12-27,0,77
52,2016-01-03,10,50
53,2016-01-10,0,67
54,2016-01-17,14,62
55,2016-01-24,0,36
56,2016-01-31,0,61
57,2016-02-07,86,23
58,2016-02-14,0,24
59,2016-02-21,0,31
60,2016-02-28,0,44
61,2016-03-06,16,38
62,2016-03-13,15,13
63,2016-03-20,12,39
64,2016-03-27,0,31
65,2016-04-03,27,19
66,2016-04-10,23,42
67,2016-04-17,0,43
68,2016-04-24,0,47
69,2016-05-01,0,51
70,2016-05-08,16,48
71,2016-05-15,15,38
72,2016-05-22,0,39
73,2016-05-29,12,32
74,2016-06-05,0,42
75,2016-06-12,27,36
76,2016-06-19,14,47
77,2016-06-26,0,49
78,2016-07-03,10,34
79,2016-07-10,0,28
80,2016-07-17,0,29
81,2016-07-24,18,29
82,2016-07-31,20,46
83,2016-08-07,15,30
84,2016-08-14,25,11
85,2016-08-21,25,36
86,2016-08-28,20,77
87,2016-09-04,14,45
88,2016-09-11,16,26
89,2016-09-18,0,39
90,2016-09-25,0,42
91,2016-10-02,0,32
92,2016-10-09,34,42
93,2016-10-16,56,64
94,2016-10-23,22,36
95,2016-10-30,15,26
96,2016-11-06,10,31
97,2016-11-13,28,43
98,2016-11-20,27,68
99,2016-11-27,24,50
100,2016-12-04,38,80
101,2016-12-11,50,43
102,2016-12-18,64,51
103,2016-12-25,0,13
104,2017-01-01,0,57
105,2017-01-08,18,31
106,2017-01-15,10,29
107,2017-01-22,0,26
108,2017-01-29,16,48
109,2017-02-05,34,38
110,2017-02-12,100,41
111,2017-02-19,46,51
112,2017-02-26,28,66
113,2017-03-05,15,54
114,2017-03-12,0,23
115,2017-03-19,22,44
116,2017-03-26,26,65
117,2017-04-02,40,37
118,2017-04-09,19,46
119,2017-04-16,16,61
120,2017-04-23,12,48
121,2017-04-30,39,39
122,2017-05-07,16,37
123,2017-05-14,55,13
124,2017-05-21,0,57
125,2017-05-28,29,0
126,2017-06-04,0,64
127,2017-06-11,14,64
128,2017-06-18,42,18
129,2017-06-25,0,12
130,2017-07-02,10,35
131,2017-07-09,0,50
132,2017-07-16,0,76
133,2017-07-23,20,40
134,2017-07-30,28,28
135,2017-08-06,0,53
136,2017-08-13,12,24
137,2017-08-20,12,36
138,2017-08-27,0,53
139,2017-09-03,25,52
140,2017-09-10,26,56
141,2017-09-17,0,44
142,2017-09-24,24,62
143,2017-10-01,12,29
144,2017-10-08,0,41
145,2017-10-15,21,59
146,2017-10-22,0,72
147,2017-10-29,18,58
148,2017-11-05,24,20
149,2017-11-12,12,53
150,2017-11-19,9,32
151,2017-11-26,38,79
152,2017-12-03,0,40
153,2017-12-10,12,41
154,2017-12-17,22,60
155,2017-12-24,34,30
156,2017-12-31,63,39
157,2018-01-07,23,53
158,2018-01-14,0,78
159,2018-01-21,32,50
160,2018-01-28,73,62
161,2018-02-04,38,61
162,2018-02-11,0,50
163,2018-02-18,29,63
164,2018-02-25,29,39
165,2018-03-04,0,47
166,2018-03-11,53,17
167,2018-03-18,20,56
168,2018-03-25,10,44
169,2018-04-01,0,16
170,2018-04-08,0,37
171,2018-04-15,15,21
172,2018-04-22,24,24
173,2018-04-29,28,74
174,2018-05-06,16,46
175,2018-05-13,45,51
176,2018-05-20,25,63
177,2018-05-27,23,50
178,2018-06-03,17,33
179,2018-06-10,25,35
180,2018-06-17,43,21
181,2018-06-24,0,39
182,2018-07-01,10,28
183,2018-07-08,18,24
184,2018-07-15,0,14
185,2018-07-22,0,43
186,2018-07-29,27,43
187,2018-08-05,34,29
188,2018-08-12,0,40
189,2018-08-19,12,59
190,2018-08-26,17,44
191,2018-09-02,0,73
192,2018-09-09,18,56
193,2018-09-16,22,74
194,2018-09-23,28,43
195,2018-09-30,0,46
196,2018-10-07,14,61
197,2018-10-14,23,50
198,2018-10-21,11,25
199,2018-10-28,17,44
200,2018-11-04,34,49
201,2018-11-11,21,69
202,2018-11-18,14,34
203,2018-11-25,0,26
204,2018-12-02,28,73
205,2018-12-09,0,51
206,2018-12-16,11,60
207,2018-12-23,27,38
208,2018-12-30,0,51
209,2019-01-06,0,43
210,2019-01-13,12,61
211,2019-01-20,0,46
212,2019-01-27,13,21
213,2019-02-03,0,24
214,2019-02-10,26,79
215,2019-02-17,15,63
216,2019-02-24,0,49
217,2019-03-03,10,71
218,2019-03-10,16,45
219,2019-03-17,0,62
220,2019-03-24,18,40
221,2019-03-31,23,26
222,2019-04-07,0,42
223,2019-04-14,19,43
224,2019-04-21,0,48
225,2019-04-28,10,41
226,2019-05-05,0,32
227,2019-05-12,54,38
228,2019-05-19,0,43
229,2019-05-26,11,15
230,2019-06-02,11,15
231,2019-06-09,17,30
232,2019-06-16,0,43
233,2019-06-23,0,37
234,2019-06-30,11,28
235,2019-07-07,0,35
236,2019-07-14,18,47
237,2019-07-21,0,60
238,2019-07-28,17,39
239,2019-08-04,22,16
240,2019-08-11,0,35
241,2019-08-18,37,69
242,2019-08-25,0,37
243,2019-09-01,13,56
244,2019-09-08,9,47
245,2019-09-15,18,72
246,2019-09-22,0,15
247,2019-09-29,0,54
248,2019-10-06,0,40
249,2019-10-13,0,0
250,2019-10-20,0,36
251,2019-10-27,0,55
252,2019-11-03,13,53
253,2019-11-10,34,59
254,2019-11-17,10,37
255,2019-11-24,9,45
256,2019-12-01,11,31
257,2019-12-08,0,69
258,2019-12-15,11,53
259,2019-12-22,0,0
260,2019-12-29,20,25
