,date,Coldplay,Alphabet
0,2015-01-04,15,30
1,2015-01-11,0,32
2,2015-01-18,0,11
3,2015-01-25,16,17
4,2015-02-01,0,27
5,2015-02-08,0,35
6,2015-02-15,14,34
7,2015-02-22,0,30
8,2015-03-01,0,33
9,2015-03-08,0,12
10,2015-03-15,25,17
11,2015-03-22,26,19
12,2015-03-29,7,18
13,2015-04-05,0,31
14,2015-04-12,0,37
15,2015-04-19,14,27
16,2015-04-26,10,36
17,2015-05-03,0,26
18,2015-05-10,16,18
19,2015-05-17,34,46
20,2015-05-24,0,15
21,2015-05-31,0,15
22,2015-06-07,0,22
23,2015-06-14,12,0
24,2015-06-21,7,20
25,2015-06-28,8,23
26,2015-07-05,0,0
27,2015-07-12,0,13
28,2015-07-19,11,42
29,2015-07-26,0,12
30,2015-08-02,0,21
31,2015-08-09,0,23
32,2015-08-16,0,24
33,2015-08-23,0,31
34,2015-08-30,0,36
35,2015-09-06,0,22
36,2015-09-13,0,39
37,2015-09-20,0,23
38,2015-09-27,9,15
39,2015-10-04,6,44
40,2015-10-11,27,30
41,2015-10-18,14,37
42,2015-10-25,0,23
43,2015-11-01,0,28
44,2015-11-08,18,38
45,2015-11-15,6,19
46,2015-11-22,14,25
47,2015-11-29,18,28
48,2015-12-06,15,29
49,2015-12-13,0,35
50,2015-12-20,0,11
51,2015-12-27,0,44
52,2016-01-03,7,28
53,2016-01-10,0,38
54,2016-01-17,0,35
55,2016-01-24,0,21
56,2016-01-31,16,35
57,2016-02-07,100,13
58,2016-02-14,22,14
59,2016-02-21,8,18
60,2016-02-28,0,25
61,2016-03-06,0,22
62,2016-03-13,9,7
63,2016-03-20,0,22
64,2016-03-27,0,18
65,2016-04-03,19,11
66,2016-04-10,0,24
67,2016-04-17,0,25
68,2016-04-24,6,27
69,2016-05-01,0,29
70,2016-05-08,0,27
71,2016-05-15,0,22
72,2016-05-22,9,22
73,2016-05-29,7,18
74,2016-06-05,0,24
75,2016-06-12,6,20
76,2016-06-19,0,27
77,2016-06-26,8,28
78,2016-07-03,8,19
79,2016-07-10,0,16
80,2016-07-17,10,17
81,2016-07-24,0,17
82,2016-07-31,0,26
83,2016-08-07,7,17
84,2016-08-14,9,7
85,2016-08-21,19,21
86,2016-08-28,0,44
87,2016-09-04,24,26
88,2016-09-11,0,15
89,2016-09-18,7,22
90,2016-09-25,8,24
91,2016-10-02,0,18
92,2016-10-09,29,24
93,2016-10-16,0,36
94,2016-10-23,0,21
95,2016-10-30,12,15
96,2016-11-06,0,18
97,2016-11-13,0,25
98,2016-11-20,5,39
99,2016-11-27,0,29
100,2016-12-04,5,46
101,2016-12-11,0,25
102,2016-12-18,6,29
103,2016-12-25,6,8
104,2017-01-01,0,33
105,2017-01-08,13,18
106,2017-01-15,0,16
107,2017-01-22,6,15
108,2017-01-29,0,28
109,2017-02-05,6,22
110,2017-02-12,24,23
111,2017-02-19,0,29
112,2017-02-26,0,38
113,2017-03-05,13,31
114,2017-03-12,10,13
115,2017-03-19,9,25
116,2017-03-26,0,37
117,2017-04-02,14,21
118,2017-04-09,0,27
119,2017-04-16,0,35
120,2017-04-23,0,28
121,2017-04-30,0,22
122,2017-05-07,0,21
123,2017-05-14,0,7
124,2017-05-21,13,33
125,2017-05-28,0,0
126,2017-06-04,0,36
127,2017-06-11,0,36
128,2017-06-18,9,10
129,2017-06-25,0,7
130,2017-07-02,0,20
131,2017-07-09,7,28
132,2017-07-16,0,43
133,2017-07-23,0,23
134,2017-07-30,0,16
135,2017-08-06,8,30
136,2017-08-13,8,14
137,2017-08-20,11,20
138,2017-08-27,8,31
139,2017-09-03,10,30
140,2017-09-10,8,32
141,2017-09-17,18,25
142,2017-09-24,6,35
143,2017-10-01,0,17
144,2017-10-08,0,24
145,2017-10-15,13,34
146,2017-10-22,0,41
147,2017-10-29,0,33
148,2017-11-05,0,11
149,2017-11-12,8,30
150,2017-11-19,0,18
151,2017-11-26,0,45
152,2017-12-03,6,23
153,2017-12-10,12,23
154,2017-12-17,6,34
155,2017-12-24,9,17
156,2017-12-31,0,23
157,2018-01-07,0,30
158,2018-01-14,16,44
159,2018-01-21,7,28
160,2018-01-28,0,36
161,2018-02-04,0,35
162,2018-02-11,0,29
163,2018-02-18,0,36
164,2018-02-25,11,22
165,2018-03-04,0,27
166,2018-03-11,0,10
167,2018-03-18,12,32
168,2018-03-25,0,25
169,2018-04-01,9,9
170,2018-04-08,0,21
171,2018-04-15,0,12
172,2018-04-22,8,14
173,2018-04-29,7,42
174,2018-05-06,0,26
175,2018-05-13,0,29
176,2018-05-20,0,36
177,2018-05-27,0,29
178,2018-06-03,0,19
179,2018-06-10,0,20
180,2018-06-17,0,12
181,2018-06-24,0,22
182,2018-07-01,13,16
183,2018-07-08,0,14
184,2018-07-15,11,8
185,2018-07-22,10,25
186,2018-07-29,0,25
187,2018-08-05,0,17
188,2018-08-12,0,23
189,2018-08-19,0,34
190,2018-08-26,8,25
191,2018-09-02,0,42
192,2018-09-09,0,32
193,2018-09-16,14,42
194,2018-09-23,0,25
195,2018-09-30,11,26
196,2018-10-07,0,35
197,2018-10-14,6,29
198,2018-10-21,6,14
199,2018-10-28,0,25
200,2018-11-04,0,28
201,2018-11-11,6,39
202,2018-11-18,0,19
203,2018-11-25,0,15
204,2018-12-02,6,42
205,2018-12-09,9,29
206,2018-12-16,6,34
207,2018-12-23,0,22
208,2018-12-30,0,29
209,2019-01-06,0,25
210,2019-01-13,0,35
211,2019-01-20,0,26
212,2019-01-27,0,12
213,2019-02-03,0,14
214,2019-02-10,0,45
215,2019-02-17,16,36
216,2019-02-24,13,28
217,2019-03-03,0,40
218,2019-03-10,0,26
219,2019-03-17,0,35
220,2019-03-24,0,23
221,2019-03-31,0,15
222,2019-04-07,0,24
223,2019-04-14,7,25
224,2019-04-21,0,28
225,2019-04-28,9,23
226,2019-05-05,0,18
227,2019-05-12,0,22
