,date,Metallica,Alphabet
0,2015-01-04,22,56
1,2015-01-11,0,60
2,2015-01-18,17,20
3,2015-01-25,0,32
4,2015-02-01,47,49
5,2015-02-08,0,65
6,2015-02-15,0,63
7,2015-02-22,0,56
8,2015-03-01,20,61
9,2015-03-08,0,22
10,2015-03-15,0,31
11,2015-03-22,13,34
12,2015-03-29,0,34
13,2015-04-05,12,57
14,2015-04-12,30,68
15,2015-04-19,0,49
16,2015-04-26,0,66
17,2015-05-03,0,47
18,2015-05-10,24,32
19,2015-05-17,15,86
20,2015-05-24,0,29
21,2015-05-31,0,28
22,2015-06-07,0,40
23,2015-06-14,31,0
24,2015-06-21,20,37
25,2015-06-28,0,42
26,2015-07-05,0,0
27,2015-07-12,0,23
28,2015-07-19,0,78
29,2015-07-26,42,21
30,2015-08-02,18,39
31,2015-08-09,0,42
32,2015-08-16,0,45
33,2015-08-23,23,57
34,2015-08-30,0,66
35,2015-09-06,0,41
36,2015-09-13,0,72
37,2015-09-20,11,42
38,2015-09-27,62,27
39,2015-10-04,48,81
40,2015-10-11,0,56
41,2015-10-18,25,68
42,2015-10-25,0,43
43,2015-11-01,23,52
44,2015-11-08,14,70
45,2015-11-15,20,35
46,2015-11-22,0,46
47,2015-11-29,0,51
48,2015-12-06,0,54
49,2015-12-13,0,64
50,2015-12-20,0,20
51,2015-12-27,28,81
52,2016-01-03,0,52
53,2016-01-10,15,70
54,2016-01-17,12,65
55,2016-01-24,0,38
56,2016-01-31,37,64
57,2016-02-07,0,24
58,2016-02-14,33,25
59,2016-02-21,22,33
60,2016-02-28,0,46
61,2016-03-06,33,40
62,2016-03-13,0,14
63,2016-03-20,31,41
64,2016-03-27,17,33
65,2016-04-03,30,20
66,2016-04-10,23,44
67,2016-04-17,16,45
68,2016-04-24,23,49
69,2016-05-01,0,54
70,2016-05-08,20,51
71,2016-05-15,15,41
72,2016-05-22,0,41
73,2016-05-29,16,33
74,2016-06-05,21,44
75,2016-06-12,23,38
76,2016-06-19,16,49
77,2016-06-26,16,51
78,2016-07-03,12,36
79,2016-07-10,15,29
80,2016-07-17,0,30
81,2016-07-24,29,31
82,2016-07-31,24,49
83,2016-08-07,0,31
84,2016-08-14,40,12
85,2016-08-21,30,38
86,2016-08-28,12,81
87,2016-09-04,29,48
88,2016-09-11,18,28
89,2016-09-18,10,41
90,2016-09-25,24,44
91,2016-10-02,0,34
92,2016-10-09,22,45
93,2016-10-16,0,67
94,2016-10-23,28,38
95,2016-10-30,28,27
96,2016-11-06,0,33
97,2016-11-13,79,46
98,2016-11-20,43,71
99,2016-11-27,50,53
100,2016-12-04,13,85
101,2016-12-11,0,46
102,2016-12-18,42,54
103,2016-12-25,33,14
104,2017-01-01,22,61
105,2017-01-08,21,33
106,2017-01-15,21,30
107,2017-01-22,0,27
108,2017-01-29,0,51
109,2017-02-05,30,41
110,2017-02-12,74,43
111,2017-02-19,31,54
112,2017-02-26,24,70
113,2017-03-05,45,57
114,2017-03-12,25,24
115,2017-03-19,0,46
116,2017-03-26,0,68
117,2017-04-02,33,39
118,2017-04-09,26,49
119,2017-04-16,26,65
120,2017-04-23,36,51
121,2017-04-30,16,41
122,2017-05-07,21,39
123,2017-05-14,26,14
124,2017-05-21,0,61
125,2017-05-28,19,0
126,2017-06-04,19,67
127,2017-06-11,14,67
128,2017-06-18,0,19
129,2017-06-25,19,12
130,2017-07-02,0,37
131,2017-07-09,23,52
132,2017-07-16,52,80
133,2017-07-23,15,42
134,2017-07-30,0,29
135,2017-08-06,52,56
136,2017-08-13,100,25
137,2017-08-20,0,38
138,2017-08-27,40,56
139,2017-09-03,13,54
140,2017-09-10,0,59
141,2017-09-17,16,47
142,2017-09-24,0,65
143,2017-10-01,23,31
144,2017-10-08,15,44
145,2017-10-15,0,62
146,2017-10-22,0,76
147,2017-10-29,17,61
148,2017-11-05,37,21
149,2017-11-12,0,56
150,2017-11-19,21,34
151,2017-11-26,15,83
152,2017-12-03,57,43
153,2017-12-10,9,43
154,2017-12-17,36,63
155,2017-12-24,0,32
156,2017-12-31,16,42
157,2018-01-07,18,55
158,2018-01-14,11,82
159,2018-01-21,31,52
160,2018-01-28,14,66
161,2018-02-04,28,64
162,2018-02-11,0,53
163,2018-02-18,14,67
164,2018-02-25,0,41
165,2018-03-04,0,49
166,2018-03-11,21,18
167,2018-03-18,22,60
168,2018-03-25,12,47
169,2018-04-01,33,17
170,2018-04-08,21,39
171,2018-04-15,25,22
172,2018-04-22,14,26
173,2018-04-29,29,78
174,2018-05-06,28,49
175,2018-05-13,18,54
176,2018-05-20,0,67
177,2018-05-27,36,53
178,2018-06-03,0,35
179,2018-06-10,11,37
180,2018-06-17,35,22
181,2018-06-24,23,41
182,2018-07-01,16,30
183,2018-07-08,10,25
184,2018-07-15,31,15
185,2018-07-22,10,46
186,2018-07-29,0,46
187,2018-08-05,21,31
188,2018-08-12,19,42
189,2018-08-19,22,63
190,2018-08-26,0,46
191,2018-09-02,31,77
192,2018-09-09,15,59
193,2018-09-16,0,78
194,2018-09-23,19,45
195,2018-09-30,22,48
196,2018-10-07,20,65
197,2018-10-14,9,53
198,2018-10-21,37,27
199,2018-10-28,26,47
200,2018-11-04,20,52
201,2018-11-11,22,73
202,2018-11-18,15,35
203,2018-11-25,38,28
204,2018-12-02,11,77
205,2018-12-09,35,54
206,2018-12-16,13,63
207,2018-12-23,22,40
208,2018-12-30,0,54
209,2019-01-06,59,46
210,2019-01-13,0,64
211,2019-01-20,23,49
212,2019-01-27,30,22
213,2019-02-03,10,26
214,2019-02-10,0,84
215,2019-02-17,0,67
216,2019-02-24,0,51
217,2019-03-03,0,75
218,2019-03-10,14,47
219,2019-03-17,0,65
220,2019-03-24,23,42
221,2019-03-31,26,28
222,2019-04-07,0,45
223,2019-04-14,0,46
224,2019-04-21,0,51
225,2019-04-28,14,43
226,2019-05-05,21,33
227,2019-05-12,24,40
228,2019-05-19,44,45
229,2019-05-26,24,16
230,2019-06-02,0,16
231,2019-06-09,18,32
232,2019-06-16,20,46
233,2019-06-23,0,39
234,2019-06-30,11,29
235,2019-07-07,13,37
236,2019-07-14,12,50
237,2019-07-21,21,63
238,2019-07-28,0,42
239,2019-08-04,17,17
240,2019-08-11,19,37
241,2019-08-18,19,73
242,2019-08-25,23,39
243,2019-09-01,0,59
244,2019-09-08,28,50
245,2019-09-15,0,76
246,2019-09-22,21,16
247,2019-09-29,20,57
248,2019-10-06,27,42
249,2019-10-13,18,0
250,2019-10-20,25,38
251,2019-10-27,0,58
252,2019-11-03,10,56
253,2019-11-10,8,62
254,2019-11-17,16,39
255,2019-11-24,12,48
256,2019-12-01,0,32
257,2019-12-08,28,72
258,2019-12-15,23,56
259,2019-12-22,0,0
260,2019-12-29,21,26
