,date,The Rolling Stones,Alphabet
0,2015-01-04,0,65
1,2015-01-11,0,70
2,2015-01-18,18,24
3,2015-01-25,14,37
4,2015-02-01,36,58
5,2015-02-08,14,76
6,2015-02-15,58,73
7,2015-02-22,51,65
8,2015-03-01,0,71
9,2015-03-08,49,25
10,2015-03-15,16,36
11,2015-03-22,0,40
12,2015-03-29,19,39
13,2015-04-05,61,66
14,2015-04-12,26,79
15,2015-04-19,0,57
16,2015-04-26,22,77
17,2015-05-03,15,55
18,2015-05-10,0,38
19,2015-05-17,15,100
20,2015-05-24,39,33
21,2015-05-31,31,33
22,2015-06-07,49,47
23,2015-06-14,0,0
24,2015-06-21,18,44
25,2015-06-28,14,49
26,2015-07-05,31,0
27,2015-07-12,0,27
28,2015-07-19,0,91
29,2015-07-26,26,25
30,2015-08-02,0,45
31,2015-08-09,0,49
32,2015-08-16,0,52
33,2015-08-23,0,66
34,2015-08-30,0,77
35,2015-09-06,18,48
36,2015-09-13,0,84
37,2015-09-20,0,49
38,2015-09-27,0,31
39,2015-10-04,0,95
40,2015-10-11,0,66
41,2015-10-18,0,79
42,2015-10-25,43,50
43,2015-11-01,15,60
44,2015-11-08,26,81
45,2015-11-15,0,41
46,2015-11-22,26,54
47,2015-11-29,0,59
48,2015-12-06,19,63
49,2015-12-13,15,75
50,2015-12-20,17,23
51,2015-12-27,23,95
52,2016-01-03,15,61
53,2016-01-10,0,82
54,2016-01-17,14,76
55,2016-01-24,0,45
56,2016-01-31,0,75
57,2016-02-07,0,28
58,2016-02-14,34,29
59,2016-02-21,31,38
60,2016-02-28,0,54
61,2016-03-06,0,46
62,2016-03-13,56,16
63,2016-03-20,0,47
64,2016-03-27,18,38
65,2016-04-03,0,23
66,2016-04-10,0,52
67,2016-04-17,0,53
68,2016-04-24,11,57
69,2016-05-01,63,62
70,2016-05-08,0,59
71,2016-05-15,0,47
72,2016-05-22,0,48
73,2016-05-29,25,39
74,2016-06-05,0,52
75,2016-06-12,0,44
76,2016-06-19,0,58
77,2016-06-26,0,60
78,2016-07-03,13,41
79,2016-07-10,0,34
80,2016-07-17,13,36
81,2016-07-24,0,36
82,2016-07-31,0,57
83,2016-08-07,0,36
84,2016-08-14,0,14
85,2016-08-21,0,44
86,2016-08-28,41,95
87,2016-09-04,12,56
88,2016-09-11,18,33
89,2016-09-18,22,48
90,2016-09-25,27,51
91,2016-10-02,13,39
92,2016-10-09,13,52
93,2016-10-16,23,78
94,2016-10-23,0,44
95,2016-10-30,17,32
96,2016-11-06,31,38
97,2016-11-13,18,53
98,2016-11-20,22,83
99,2016-11-27,0,61
100,2016-12-04,0,99
101,2016-12-11,0,53
102,2016-12-18,17,62
103,2016-12-25,0,16
104,2017-01-01,23,71
105,2017-01-08,0,38
106,2017-01-15,36,35
107,2017-01-22,0,32
108,2017-01-29,0,59
109,2017-02-05,0,47
110,2017-02-12,26,50
111,2017-02-19,17,63
112,2017-02-26,0,81
113,2017-03-05,0,66
114,2017-03-12,10,28
115,2017-03-19,25,54
116,2017-03-26,21,80
117,2017-04-02,18,45
118,2017-04-09,0,57
119,2017-04-16,0,75
120,2017-04-23,25,59
121,2017-04-30,0,48
122,2017-05-07,0,46
123,2017-05-14,0,16
124,2017-05-21,47,71
125,2017-05-28,58,0
126,2017-06-04,17,78
127,2017-06-11,0,78
128,2017-06-18,0,22
129,2017-06-25,0,14
130,2017-07-02,0,43
131,2017-07-09,0,61
132,2017-07-16,17,93
133,2017-07-23,0,49
134,2017-07-30,0,34
135,2017-08-06,19,65
136,2017-08-13,20,29
137,2017-08-20,0,44
138,2017-08-27,0,66
139,2017-09-03,0,63
140,2017-09-10,25,69
141,2017-09-17,0,55
142,2017-09-24,0,76
143,2017-10-01,0,36
144,2017-10-08,0,51
145,2017-10-15,0,73
146,2017-10-22,0,88
147,2017-10-29,21,71
148,2017-11-05,18,24
149,2017-11-12,28,65
150,2017-11-19,0,39
151,2017-11-26,13,97
152,2017-12-03,18,50
153,2017-12-10,0,50
154,2017-12-17,33,74
155,2017-12-24,0,37
156,2017-12-31,27,48
157,2018-01-07,0,65
158,2018-01-14,0,96
159,2018-01-21,16,61
160,2018-01-28,25,77
161,2018-02-04,0,75
162,2018-02-11,0,62
163,2018-02-18,32,78
164,2018-02-25,0,48
165,2018-03-04,23,58
166,2018-03-11,45,21
167,2018-03-18,40,69
168,2018-03-25,18,54
169,2018-04-01,20,19
170,2018-04-08,18,45
171,2018-04-15,11,26
172,2018-04-22,0,30
173,2018-04-29,0,91
174,2018-05-06,16,57
175,2018-05-13,42,63
176,2018-05-20,0,78
177,2018-05-27,0,61
178,2018-06-03,20,41
179,2018-06-10,35,43
180,2018-06-17,0,26
181,2018-06-24,0,48
182,2018-07-01,0,35
183,2018-07-08,30,29
184,2018-07-15,0,18
185,2018-07-22,18,53
186,2018-07-29,18,53
187,2018-08-05,23,36
188,2018-08-12,0,49
189,2018-08-19,0,73
190,2018-08-26,0,54
191,2018-09-02,19,90
192,2018-09-09,0,69
193,2018-09-16,0,91
194,2018-09-23,0,53
195,2018-09-30,0,56
196,2018-10-07,0,75
197,2018-10-14,25,62
198,2018-10-21,12,31
199,2018-10-28,16,55
200,2018-11-04,12,61
201,2018-11-11,15,85
202,2018-11-18,31,41
203,2018-11-25,25,32
204,2018-12-02,13,90
205,2018-12-09,0,63
206,2018-12-16,22,74
207,2018-12-23,24,47
208,2018-12-30,0,63
209,2019-01-06,32,53
210,2019-01-13,0,75
211,2019-01-20,15,57
212,2019-01-27,49,26
213,2019-02-03,0,30
214,2019-02-10,0,98
215,2019-02-17,21,78
216,2019-02-24,0,60
217,2019-03-03,21,87
218,2019-03-10,0,55
219,2019-03-17,19,76
220,2019-03-24,0,49
221,2019-03-31,30,32
222,2019-04-07,59,52
223,2019-04-14,0,53
224,2019-04-21,0,60
225,2019-04-28,37,50
226,2019-05-05,0,39
227,2019-05-12,18,46
228,2019-05-19,37,53
229,2019-05-26,15,18
230,2019-06-02,0,18
231,2019-06-09,0,37
232,2019-06-16,26,53
233,2019-06-23,11,46
234,2019-06-30,19,34
235,2019-07-07,36,44
236,2019-07-14,15,58
237,2019-07-21,29,73
238,2019-07-28,26,48
239,2019-08-04,29,20
240,2019-08-11,28,43
241,2019-08-18,23,85
242,2019-08-25,21,45
243,2019-09-01,24,68
244,2019-09-08,0,58
245,2019-09-15,22,89
246,2019-09-22,11,19
247,2019-09-29,0,66
248,2019-10-06,54,49
249,2019-10-13,33,0
250,2019-10-20,24,45
251,2019-10-27,12,67
252,2019-11-03,25,65
253,2019-11-10,10,72
254,2019-11-17,0,45
255,2019-11-24,14,55
256,2019-12-01,12,38
257,2019-12-08,15,84
258,2019-12-15,23,65
259,2019-12-22,30,0
260,2019-12-29,0,30
