,date,U2,Alphabet
0,2015-01-04,8,71
1,2015-01-11,10,40
2,2015-01-18,11,66
3,2015-01-25,6,57
4,2015-02-01,9,39
5,2015-02-08,8,72
6,2015-02-15,11,58
7,2015-02-22,8,45
8,2015-03-01,8,59
9,2015-03-08,10,58
10,2015-03-15,9,44
11,2015-03-22,15,44
12,2015-03-29,10,49
13,2015-04-05,10,48
14,2015-04-12,9,58
15,2015-04-19,9,40
16,2015-04-26,6,47
17,2015-05-03,31,48
18,2015-05-10,23,54
19,2015-05-17,20,41
20,2015-05-24,29,42
21,2015-05-31,12,36
22,2015-06-07,8,30
23,2015-06-14,8,31
24,2015-06-21,18,53
25,2015-06-28,13,41
26,2015-07-05,15,32
27,2015-07-12,11,46
28,2015-07-19,8,55
29,2015-07-26,0,26
30,2015-08-02,10,47
31,2015-08-09,0,100
32,2015-08-16,6,95
33,2015-08-23,18,81
34,2015-08-30,0,59
35,2015-09-06,18,61
36,2015-09-13,4,78
37,2015-09-20,0,79
38,2015-09-27,11,62
39,2015-10-04,6,50
40,2015-10-11,6,52
41,2015-10-18,0,72
42,2015-10-25,14,59
43,2015-11-01,0,70
44,2015-11-08,4,57
45,2015-11-15,13,74
46,2015-11-22,10,52
47,2015-11-29,7,50
48,2015-12-06,11,52
49,2015-12-13,9,53
50,2015-12-20,11,45
51,2015-12-27,9,41
52,2016-01-03,3,41
53,2016-01-10,8,47
54,2016-01-17,9,40
55,2016-01-24,5,47
56,2016-01-31,5,48
57,2016-02-07,7,44
58,2016-02-14,4,55
59,2016-02-21,4,43
60,2016-02-28,9,38
61,2016-03-06,5,45
62,2016-03-13,5,39
63,2016-03-20,10,42
64,2016-03-27,0,38
65,2016-04-03,12,49
66,2016-04-10,4,43
67,2016-04-17,8,54
68,2016-04-24,7,40
69,2016-05-01,15,43
70,2016-05-08,8,45
71,2016-05-15,8,45
72,2016-05-22,4,44
73,2016-05-29,8,42
74,2016-06-05,4,41
75,2016-06-12,10,31
76,2016-06-19,5,30
77,2016-06-26,5,43
78,2016-07-03,7,23
79,2016-07-10,11,29
80,2016-07-17,5,38
81,2016-07-24,7,40
82,2016-07-31,8,55
83,2016-08-07,5,74
84,2016-08-14,0,77
85,2016-08-21,8,93
86,2016-08-28,10,62
87,2016-09-04,11,50
88,2016-09-11,4,67
89,2016-09-18,9,65
90,2016-09-25,17,42
91,2016-10-02,9,48
92,2016-10-09,9,43
93,2016-10-16,0,41
94,2016-10-23,7,54
95,2016-10-30,9,55
96,2016-11-06,0,39
97,2016-11-13,4,54
98,2016-11-20,10,32
99,2016-11-27,4,50
100,2016-12-04,9,52
101,2016-12-11,5,54
102,2016-12-18,0,30
103,2016-12-25,8,30
104,2017-01-01,6,35
105,2017-01-08,42,57
106,2017-01-15,20,36
107,2017-01-22,13,43
108,2017-01-29,10,40
109,2017-02-05,4,44
110,2017-02-12,12,43
111,2017-02-19,8,42
112,2017-02-26,12,43
113,2017-03-05,13,63
114,2017-03-12,13,39
115,2017-03-19,12,43
116,2017-03-26,7,39
117,2017-04-02,4,44
118,2017-04-09,11,45
119,2017-04-16,12,46
120,2017-04-23,7,51
121,2017-04-30,14,35
122,2017-05-07,8,45
123,2017-05-14,14,38
124,2017-05-21,13,41
125,2017-05-28,20,37
126,2017-06-04,25,42
127,2017-06-11,33,45
128,2017-06-18,19,41
129,2017-06-25,11,39
130,2017-07-02,13,35
131,2017-07-09,14,40
132,2017-07-16,13,40
133,2017-07-23,6,40
134,2017-07-30,7,32
135,2017-08-06,8,49
136,2017-08-13,11,61
137,2017-08-20,3,61
138,2017-08-27,13,70
139,2017-09-03,10,54
140,2017-09-10,29,62
141,2017-09-17,10,52
142,2017-09-24,9,41
143,2017-10-01,7,50
144,2017-10-08,8,62
145,2017-10-15,7,60
146,2017-10-22,8,52
147,2017-10-29,6,54
148,2017-11-05,5,47
149,2017-11-12,0,54
150,2017-11-19,7,32
151,2017-11-26,12,37
152,2017-12-03,16,59
153,2017-12-10,7,47
154,2017-12-17,2,43
155,2017-12-24,15,35
156,2017-12-31,10,43
157,2018-01-07,6,53
158,2018-01-14,10,42
159,2018-01-21,4,57
160,2018-01-28,21,56
161,2018-02-04,6,54
162,2018-02-11,6,54
163,2018-02-18,6,49
164,2018-02-25,11,58
165,2018-03-04,7,61
166,2018-03-11,8,54
167,2018-03-18,7,46
168,2018-03-25,11,37
169,2018-04-01,16,55
170,2018-04-08,8,43
171,2018-04-15,6,52
172,2018-04-22,8,59
173,2018-04-29,14,51
174,2018-05-06,12,44
175,2018-05-13,9,51
176,2018-05-20,21,34
177,2018-05-27,21,42
178,2018-06-03,9,43
179,2018-06-10,11,39
180,2018-06-17,9,43
181,2018-06-24,10,42
182,2018-07-01,10,41
183,2018-07-08,6,33
184,2018-07-15,11,34
185,2018-07-22,0,33
186,2018-07-29,6,47
187,2018-08-05,4,49
188,2018-08-12,0,56
189,2018-08-19,5,73
190,2018-08-26,5,61
191,2018-09-02,6,52
192,2018-09-09,6,65
193,2018-09-16,4,55
194,2018-09-23,6,56
195,2018-09-30,5,47
196,2018-10-07,4,46
197,2018-10-14,14,73
198,2018-10-21,6,49
199,2018-10-28,5,51
200,2018-11-04,0,49
201,2018-11-11,4,41
202,2018-11-18,2,41
203,2018-11-25,3,42
204,2018-12-02,2,46
205,2018-12-09,6,47
206,2018-12-16,5,48
207,2018-12-23,7,29
208,2018-12-30,11,40
209,2019-01-06,5,42
210,2019-01-13,4,44
211,2019-01-20,10,47
212,2019-01-27,3,49
213,2019-02-03,0,62
214,2019-02-10,5,52
215,2019-02-17,5,52
216,2019-02-24,4,59
217,2019-03-03,5,41
218,2019-03-10,13,53
219,2019-03-17,7,46
220,2019-03-24,6,40
221,2019-03-31,7,40
222,2019-04-07,3,46
223,2019-04-14,7,42
224,2019-04-21,5,40
225,2019-04-28,7,33
226,2019-05-05,6,43
227,2019-05-12,8,43
228,2019-05-19,6,35
229,2019-05-26,3,37
230,2019-06-02,8,29
231,2019-06-09,3,31
232,2019-06-16,5,27
233,2019-06-23,9,40
234,2019-06-30,9,34
235,2019-07-07,8,28
236,2019-07-14,7,38
237,2019-07-21,11,40
238,2019-07-28,6,44
239,2019-08-04,8,43
240,2019-08-11,0,64
241,2019-08-18,4,54
242,2019-08-25,3,73
243,2019-09-01,0,59
244,2019-09-08,3,64
245,2019-09-15,5,65
246,2019-09-22,16,59
247,2019-09-29,7,48
248,2019-10-06,3,51
249,2019-10-13,5,55
250,2019-10-20,2,58
251,2019-10-27,4,57
252,2019-11-03,0,60
253,2019-11-10,3,60
254,2019-11-17,3,43
255,2019-11-24,4,36
256,2019-12-01,8,50
257,2019-12-08,14,48
258,2019-12-15,2,44
259,2019-12-22,4,45
260,2019-12-29,11,34
