,date,Bruno Mars,Alphabet
0,2015-01-04,21,31
1,2015-01-11,33,23
2,2015-01-18,21,24
3,2015-01-25,27,26
4,2015-02-01,28,32
5,2015-02-08,16,38
6,2015-02-15,17,21
7,2015-02-22,26,23
8,2015-03-01,21,23
9,2015-03-08,22,35
10,2015-03-15,22,25
11,2015-03-22,12,23
12,2015-03-29,15,29
13,2015-04-05,21,25
14,2015-04-12,13,28
15,2015-04-19,5,12
16,2015-04-26,14,15
17,2015-05-03,0,33
18,2015-05-10,14,25
19,2015-05-17,19,27
20,2015-05-24,16,22
21,2015-05-31,13,26
22,2015-06-07,0,23
23,2015-06-14,16,29
24,2015-06-21,12,18
25,2015-06-28,6,11
26,2015-07-05,16,12
27,2015-07-12,0,16
28,2015-07-19,18,13
29,2015-07-26,11,16
30,2015-08-02,7,23
31,2015-08-09,0,47
32,2015-08-16,9,46
33,2015-08-23,0,43
34,2015-08-30,4,40
35,2015-09-06,0,39
36,2015-09-13,17,42
37,2015-09-20,4,34
38,2015-09-27,4,38
39,2015-10-04,9,38
40,2015-10-11,14,26
41,2015-10-18,11,30
42,2015-10-25,7,23
43,2015-11-01,7,17
44,2015-11-08,3,34
45,2015-11-15,9,33
46,2015-11-22,8,22
47,2015-11-29,5,27
48,2015-12-06,0,24
49,2015-12-13,9,23
50,2015-12-20,7,25
51,2015-12-27,14,14
52,2016-01-03,2,26
53,2016-01-10,4,22
54,2016-01-17,8,23
55,2016-01-24,8,21
56,2016-01-31,23,29
57,2016-02-07,56,20
58,2016-02-14,17,30
59,2016-02-21,9,23
60,2016-02-28,11,25
61,2016-03-06,5,27
62,2016-03-13,10,22
63,2016-03-20,7,22
64,2016-03-27,6,22
65,2016-04-03,7,28
66,2016-04-10,2,17
67,2016-04-17,9,25
68,2016-04-24,7,25
69,2016-05-01,8,20
70,2016-05-08,7,19
71,2016-05-15,5,26
72,2016-05-22,5,17
73,2016-05-29,7,15
74,2016-06-05,5,21
75,2016-06-12,6,15
76,2016-06-19,7,14
77,2016-06-26,0,11
78,2016-07-03,5,14
79,2016-07-10,3,19
80,2016-07-17,3,14
81,2016-07-24,2,15
82,2016-07-31,4,6
83,2016-08-07,9,17
84,2016-08-14,9,20
85,2016-08-21,3,28
86,2016-08-28,4,33
87,2016-09-04,5,29
88,2016-09-11,2,25
89,2016-09-18,0,30
90,2016-09-25,0,32
91,2016-10-02,16,28
92,2016-10-09,12,27
93,2016-10-16,15,26
94,2016-10-23,9,29
95,2016-10-30,11,30
96,2016-11-06,10,28
97,2016-11-13,33,27
98,2016-11-20,44,21
99,2016-11-27,17,25
100,2016-12-04,23,22
101,2016-12-11,48,30
102,2016-12-18,35,23
103,2016-12-25,32,20
104,2017-01-01,31,33
105,2017-01-08,24,20
106,2017-01-15,14,29
107,2017-01-22,18,29
108,2017-01-29,19,33
109,2017-02-05,26,28
110,2017-02-12,97,20
111,2017-02-19,33,24
112,2017-02-26,31,28
113,2017-03-05,46,34
114,2017-03-12,30,26
115,2017-03-19,36,20
116,2017-03-26,33,30
117,2017-04-02,32,21
118,2017-04-09,27,27
119,2017-04-16,30,24
120,2017-04-23,32,33
121,2017-04-30,24,24
122,2017-05-07,39,18
123,2017-05-14,36,23
124,2017-05-21,42,23
125,2017-05-28,37,24
126,2017-06-04,22,17
127,2017-06-11,28,22
128,2017-06-18,25,20
129,2017-06-25,41,22
130,2017-07-02,28,20
131,2017-07-09,24,15
132,2017-07-16,34,12
133,2017-07-23,21,15
134,2017-07-30,25,18
135,2017-08-06,44,19
136,2017-08-13,33,32
137,2017-08-20,22,26
138,2017-08-27,19,33
139,2017-09-03,24,27
140,2017-09-10,32,30
141,2017-09-17,17,16
142,2017-09-24,18,31
143,2017-10-01,20,40
144,2017-10-08,28,20
145,2017-10-15,41,17
146,2017-10-22,100,27
147,2017-10-29,15,26
148,2017-11-05,9,23
149,2017-11-12,15,30
150,2017-11-19,14,29
151,2017-11-26,25,23
152,2017-12-03,18,30
153,2017-12-10,8,18
154,2017-12-17,16,21
155,2017-12-24,18,13
156,2017-12-31,28,17
157,2018-01-07,16,33
158,2018-01-14,22,23
159,2018-01-21,33,26
160,2018-01-28,63,33
161,2018-02-04,34,18
162,2018-02-11,29,28
163,2018-02-18,24,28
164,2018-02-25,15,25
165,2018-03-04,16,26
166,2018-03-11,20,22
167,2018-03-18,22,27
168,2018-03-25,20,25
169,2018-04-01,13,18
170,2018-04-08,20,24
171,2018-04-15,15,18
172,2018-04-22,14,22
173,2018-04-29,10,18
174,2018-05-06,11,16
175,2018-05-13,14,18
176,2018-05-20,12,16
177,2018-05-27,9,14
178,2018-06-03,14,17
179,2018-06-10,10,21
180,2018-06-17,5,13
181,2018-06-24,10,15
182,2018-07-01,12,24
183,2018-07-08,9,20
184,2018-07-15,15,24
185,2018-07-22,9,19
186,2018-07-29,11,19
187,2018-08-05,12,22
188,2018-08-12,16,25
189,2018-08-19,5,37
190,2018-08-26,16,34
191,2018-09-02,14,27
192,2018-09-09,12,26
193,2018-09-16,14,23
194,2018-09-23,9,28
195,2018-09-30,13,29
196,2018-10-07,23,34
197,2018-10-14,9,24
198,2018-10-21,13,24
199,2018-10-28,8,29
200,2018-11-04,11,26
201,2018-11-11,13,22
202,2018-11-18,9,19
203,2018-11-25,8,24
204,2018-12-02,5,31
205,2018-12-09,8,21
206,2018-12-16,7,19
207,2018-12-23,2,16
208,2018-12-30,8,22
209,2019-01-06,11,25
210,2019-01-13,14,28
211,2019-01-20,6,27
212,2019-01-27,8,22
213,2019-02-03,8,29
214,2019-02-10,16,25
215,2019-02-17,15,20
216,2019-02-24,22,24
217,2019-03-03,16,27
218,2019-03-10,15,21
219,2019-03-17,9,21
220,2019-03-24,12,28
221,2019-03-31,8,28
222,2019-04-07,12,25
223,2019-04-14,6,18
224,2019-04-21,9,28
225,2019-04-28,6,28
226,2019-05-05,9,14
227,2019-05-12,10,21
228,2019-05-19,0,16
229,2019-05-26,7,19
230,2019-06-02,10,17
231,2019-06-09,3,24
232,2019-06-16,5,25
233,2019-06-23,5,19
234,2019-06-30,7,18
235,2019-07-07,8,12
236,2019-07-14,7,18
237,2019-07-21,7,17
238,2019-07-28,6,17
239,2019-08-04,5,23
240,2019-08-11,7,32
241,2019-08-18,6,30
242,2019-08-25,5,26
243,2019-09-01,5,28
244,2019-09-08,4,25
245,2019-09-15,3,29
246,2019-09-22,6,30
247,2019-09-29,7,31
248,2019-10-06,7,30
249,2019-10-13,9,24
250,2019-10-20,5,26
251,2019-10-27,5,27
252,2019-11-03,4,34
253,2019-11-10,4,37
254,2019-11-17,4,20
255,2019-11-24,6,21
256,2019-12-01,6,25
257,2019-12-08,3,20
258,2019-12-15,4,27
259,2019-12-22,5,20
260,2019-12-29,11,23
