,date,Ed Sheeran,Alphabet
0,2015-01-04,44,35
1,2015-01-11,30,26
2,2015-01-18,27,27
3,2015-01-25,55,31
4,2015-02-01,50,36
5,2015-02-08,100,42
6,2015-02-15,60,24
7,2015-02-22,49,26
8,2015-03-01,32,26
9,2015-03-08,39,38
10,2015-03-15,36,28
11,2015-03-22,36,25
12,2015-03-29,32,32
13,2015-04-05,36,28
14,2015-04-12,20,31
15,2015-04-19,37,13
16,2015-04-26,19,16
17,2015-05-03,33,37
18,2015-05-10,40,27
19,2015-05-17,38,30
20,2015-05-24,24,24
21,2015-05-31,22,29
22,2015-06-07,18,26
23,2015-06-14,32,32
24,2015-06-21,16,20
25,2015-06-28,33,12
26,2015-07-05,25,14
27,2015-07-12,30,18
28,2015-07-19,26,14
29,2015-07-26,22,18
30,2015-08-02,30,26
31,2015-08-09,25,52
32,2015-08-16,26,51
33,2015-08-23,33,47
34,2015-08-30,19,45
35,2015-09-06,24,43
36,2015-09-13,16,46
37,2015-09-20,15,37
38,2015-09-27,18,42
39,2015-10-04,25,42
40,2015-10-11,8,29
41,2015-10-18,18,33
42,2015-10-25,8,26
43,2015-11-01,5,19
44,2015-11-08,24,38
45,2015-11-15,9,36
46,2015-11-22,18,24
47,2015-11-29,15,30
48,2015-12-06,10,27
49,2015-12-13,21,26
50,2015-12-20,14,28
51,2015-12-27,0,15
52,2016-01-03,10,29
53,2016-01-10,9,24
54,2016-01-17,9,25
55,2016-01-24,10,23
56,2016-01-31,10,32
57,2016-02-07,12,22
58,2016-02-14,16,34
59,2016-02-21,12,26
60,2016-02-28,8,27
61,2016-03-06,11,30
62,2016-03-13,18,24
63,2016-03-20,9,25
64,2016-03-27,9,25
65,2016-04-03,8,31
66,2016-04-10,9,19
67,2016-04-17,16,28
68,2016-04-24,7,27
69,2016-05-01,6,23
70,2016-05-08,11,21
71,2016-05-15,7,28
72,2016-05-22,5,19
73,2016-05-29,12,17
74,2016-06-05,0,23
75,2016-06-12,6,16
76,2016-06-19,4,15
77,2016-06-26,3,12
78,2016-07-03,10,16
79,2016-07-10,7,21
80,2016-07-17,9,15
81,2016-07-24,6,17
82,2016-07-31,0,7
83,2016-08-07,12,19
84,2016-08-14,3,23
85,2016-08-21,8,31
86,2016-08-28,7,36
