,date,Guns N' Roses,Alphabet
0,2015-01-04,0,19
1,2015-01-11,6,15
2,2015-01-18,0,15
3,2015-01-25,3,16
4,2015-02-01,3,20
5,2015-02-08,0,24
6,2015-02-15,5,13
7,2015-02-22,0,14
8,2015-03-01,0,14
9,2015-03-08,3,21
10,2015-03-15,3,16
11,2015-03-22,3,14
12,2015-03-29,13,18
13,2015-04-05,2,15
14,2015-04-12,0,17
15,2015-04-19,5,7
16,2015-04-26,4,9
17,2015-05-03,0,21
18,2015-05-10,6,15
19,2015-05-17,3,17
20,2015-05-24,5,13
21,2015-05-31,7,16
22,2015-06-07,5,14
23,2015-06-14,6,18
24,2015-06-21,0,11
25,2015-06-28,7,7
26,2015-07-05,0,8
27,2015-07-12,0,10
28,2015-07-19,7,8
29,2015-07-26,0,10
30,2015-08-02,0,14
31,2015-08-09,0,29
32,2015-08-16,4,29
33,2015-08-23,3,27
34,2015-08-30,4,25
35,2015-09-06,0,24
36,2015-09-13,3,26
37,2015-09-20,0,21
38,2015-09-27,5,23
39,2015-10-04,2,23
40,2015-10-11,2,16
41,2015-10-18,3,19
42,2015-10-25,3,14
43,2015-11-01,3,10
44,2015-11-08,5,21
45,2015-11-15,0,20
46,2015-11-22,3,14
47,2015-11-29,5,17
48,2015-12-06,5,15
49,2015-12-13,2,14
50,2015-12-20,0,16
51,2015-12-27,9,9
52,2016-01-03,10,16
53,2016-01-10,9,13
54,2016-01-17,6,14
55,2016-01-24,2,13
56,2016-01-31,6,18
57,2016-02-07,8,12
58,2016-02-14,3,19
59,2016-02-21,5,15
60,2016-02-28,6,15
61,2016-03-06,4,17
62,2016-03-13,4,13
63,2016-03-20,8,14
64,2016-03-27,11,14
65,2016-04-03,20,17
66,2016-04-10,13,10
67,2016-04-17,12,16
68,2016-04-24,12,15
69,2016-05-01,7,13
70,2016-05-08,6,12
71,2016-05-15,7,16
72,2016-05-22,7,10
73,2016-05-29,8,9
74,2016-06-05,5,13
75,2016-06-12,10,9
76,2016-06-19,7,9
77,2016-06-26,12,7
78,2016-07-03,13,9
79,2016-07-10,7,12
80,2016-07-17,6,9
81,2016-07-24,10,9
82,2016-07-31,9,4
83,2016-08-07,5,11
84,2016-08-14,3,13
85,2016-08-21,2,17
86,2016-08-28,3,20
87,2016-09-04,5,18
88,2016-09-11,3,16
89,2016-09-18,3,19
90,2016-09-25,2,20
91,2016-10-02,2,17
92,2016-10-09,2,16
