,date,U2,Alphabet
0,2015-01-04,0,66
1,2015-01-11,10,50
2,2015-01-18,19,53
3,2015-01-25,16,56
4,2015-02-01,0,69
5,2015-02-08,0,82
6,2015-02-15,15,46
7,2015-02-22,13,50
8,2015-03-01,10,49
9,2015-03-08,20,74
10,2015-03-15,29,54
11,2015-03-22,0,49
12,2015-03-29,30,62
13,2015-04-05,29,53
14,2015-04-12,0,59
15,2015-04-19,12,26
16,2015-04-26,14,31
17,2015-05-03,20,71
18,2015-05-10,40,53
19,2015-05-17,32,59
20,2015-05-24,21,47
21,2015-05-31,14,56
22,2015-06-07,19,50
23,2015-06-14,35,62
24,2015-06-21,23,39
25,2015-06-28,15,23
26,2015-07-05,9,27
27,2015-07-12,37,34
28,2015-07-19,7,28
29,2015-07-26,24,34
30,2015-08-02,16,50
31,2015-08-09,21,100
32,2015-08-16,0,99
33,2015-08-23,14,92
34,2015-08-30,6,87
35,2015-09-06,21,84
36,2015-09-13,11,89
37,2015-09-20,8,72
38,2015-09-27,7,81
39,2015-10-04,34,81
40,2015-10-11,17,57
41,2015-10-18,0,65
42,2015-10-25,0,49
43,2015-11-01,0,36
44,2015-11-08,15,73
45,2015-11-15,11,70
46,2015-11-22,30,47
47,2015-11-29,7,57
48,2015-12-06,13,52
49,2015-12-13,11,50
50,2015-12-20,8,54
51,2015-12-27,5,30
52,2016-01-03,0,55
53,2016-01-10,0,46
54,2016-01-17,14,49
55,2016-01-24,0,44
56,2016-01-31,11,61
57,2016-02-07,0,42
58,2016-02-14,0,65
59,2016-02-21,11,50
60,2016-02-28,0,53
61,2016-03-06,6,59
62,2016-03-13,0,47
63,2016-03-20,8,48
64,2016-03-27,17,48
65,2016-04-03,8,60
66,2016-04-10,0,36
67,2016-04-17,7,54
68,2016-04-24,8,53
69,2016-05-01,0,44
70,2016-05-08,5,42
71,2016-05-15,0,55
72,2016-05-22,8,36
73,2016-05-29,7,32
74,2016-06-05,15,45
75,2016-06-12,7,32
76,2016-06-19,10,30
77,2016-06-26,5,24
78,2016-07-03,0,31
79,2016-07-10,9,41
80,2016-07-17,4,29
81,2016-07-24,22,33
82,2016-07-31,8,14
83,2016-08-07,6,37
84,2016-08-14,15,44
85,2016-08-21,4,60
86,2016-08-28,0,70
87,2016-09-04,10,63
88,2016-09-11,11,54
89,2016-09-18,7,65
90,2016-09-25,8,68
91,2016-10-02,8,60
92,2016-10-09,4,57
93,2016-10-16,0,55
94,2016-10-23,6,63
95,2016-10-30,9,63
96,2016-11-06,0,60
97,2016-11-13,17,58
98,2016-11-20,15,45
99,2016-11-27,0,54
100,2016-12-04,5,47
101,2016-12-11,0,64
102,2016-12-18,7,50
103,2016-12-25,8,43
104,2017-01-01,11,71
105,2017-01-08,45,43
106,2017-01-15,23,61
107,2017-01-22,6,63
108,2017-01-29,3,70
109,2017-02-05,11,60
110,2017-02-12,7,44
111,2017-02-19,11,52
112,2017-02-26,7,60
113,2017-03-05,0,73
114,2017-03-12,9,56
115,2017-03-19,0,44
116,2017-03-26,9,65
117,2017-04-02,15,46
118,2017-04-09,12,59
119,2017-04-16,14,52
120,2017-04-23,13,70
121,2017-04-30,11,52
122,2017-05-07,20,38
123,2017-05-14,20,49
124,2017-05-21,50,50
125,2017-05-28,18,52
126,2017-06-04,28,37
127,2017-06-11,17,47
128,2017-06-18,10,43
129,2017-06-25,7,48
130,2017-07-02,7,43
131,2017-07-09,27,32
132,2017-07-16,0,26
133,2017-07-23,10,33
134,2017-07-30,0,38
135,2017-08-06,10,41
136,2017-08-13,13,69
137,2017-08-20,6,56
138,2017-08-27,6,72
139,2017-09-03,10,57
140,2017-09-10,25,65
141,2017-09-17,9,33
