,date,Bruno Mars,Alphabet
0,2015-01-04,21,29
1,2015-01-11,26,25
2,2015-01-18,30,27
3,2015-01-25,24,28
4,2015-02-01,31,24
5,2015-02-08,24,31
6,2015-02-15,22,23
7,2015-02-22,26,26
8,2015-03-01,21,22
9,2015-03-08,19,26
10,2015-03-15,18,27
11,2015-03-22,14,28
12,2015-03-29,15,23
13,2015-04-05,19,24
14,2015-04-12,18,28
15,2015-04-19,16,24
16,2015-04-26,14,21
17,2015-05-03,12,22
18,2015-05-10,14,17
19,2015-05-17,18,16
20,2015-05-24,15,21
21,2015-05-31,12,19
22,2015-06-07,9,18
23,2015-06-14,10,21
24,2015-06-21,9,22
25,2015-06-28,14,20
26,2015-07-05,13,22
27,2015-07-12,12,20
28,2015-07-19,12,23
29,2015-07-26,14,20
30,2015-08-02,11,25
31,2015-08-09,11,55
32,2015-08-16,10,35
33,2015-08-23,12,31
34,2015-08-30,12,36
35,2015-09-06,14,29
36,2015-09-13,12,31
37,2015-09-20,11,30
38,2015-09-27,6,31
39,2015-10-04,10,31
40,2015-10-11,11,27
41,2015-10-18,11,35
42,2015-10-25,7,34
43,2015-11-01,9,29
44,2015-11-08,10,28
45,2015-11-15,11,23
46,2015-11-22,9,23
47,2015-11-29,8,23
48,2015-12-06,8,25
49,2015-12-13,8,23
50,2015-12-20,7,20
51,2015-12-27,13,19
52,2016-01-03,8,25
53,2016-01-10,11,25
54,2016-01-17,9,19
55,2016-01-24,6,25
56,2016-01-31,11,31
57,2016-02-07,78,28
58,2016-02-14,20,26
59,2016-02-21,11,22
60,2016-02-28,7,27
61,2016-03-06,7,19
62,2016-03-13,8,22
63,2016-03-20,8,22
64,2016-03-27,9,21
65,2016-04-03,6,24
66,2016-04-10,6,29
67,2016-04-17,10,20
68,2016-04-24,7,22
69,2016-05-01,7,22
70,2016-05-08,6,22
71,2016-05-15,8,26
72,2016-05-22,11,22
73,2016-05-29,9,18
74,2016-06-05,8,24
75,2016-06-12,8,19
76,2016-06-19,6,20
77,2016-06-26,5,20
78,2016-07-03,7,19
79,2016-07-10,4,18
80,2016-07-17,7,19
81,2016-07-24,6,18
82,2016-07-31,8,22
83,2016-08-07,9,28
84,2016-08-14,6,31
85,2016-08-21,5,30
86,2016-08-28,5,31
87,2016-09-04,7,30
88,2016-09-11,4,21
89,2016-09-18,8,25
90,2016-09-25,8,28
91,2016-10-02,13,23
92,2016-10-09,20,23
93,2016-10-16,24,22
94,2016-10-23,18,24
95,2016-10-30,19,19
96,2016-11-06,14,21
97,2016-11-13,40,23
98,2016-11-20,62,21
99,2016-11-27,26,28
100,2016-12-04,25,23
101,2016-12-11,55,25
102,2016-12-18,30,25
103,2016-12-25,23,17
104,2017-01-01,26,23
105,2017-01-08,17,25
106,2017-01-15,18,22
107,2017-01-22,19,29
108,2017-01-29,16,25
109,2017-02-05,26,26
110,2017-02-12,100,24
111,2017-02-19,32,22
112,2017-02-26,38,23
113,2017-03-05,36,23
114,2017-03-12,35,19
115,2017-03-19,29,24
116,2017-03-26,27,21
117,2017-04-02,25,25
118,2017-04-09,25,25
119,2017-04-16,21,22
120,2017-04-23,27,27
121,2017-04-30,27,23
122,2017-05-07,24,23
123,2017-05-14,21,23
124,2017-05-21,33,22
125,2017-05-28,30,24
126,2017-06-04,22,21
127,2017-06-11,24,20
128,2017-06-18,25,17
129,2017-06-25,34,22
130,2017-07-02,22,19
131,2017-07-09,25,20
132,2017-07-16,20,17
133,2017-07-23,20,22
134,2017-07-30,17,23
135,2017-08-06,22,28
136,2017-08-13,29,29
137,2017-08-20,20,26
138,2017-08-27,17,29
139,2017-09-03,18,27
140,2017-09-10,16,25
141,2017-09-17,16,26
142,2017-09-24,16,29
143,2017-10-01,16,23
144,2017-10-08,18,27
145,2017-10-15,19,28
146,2017-10-22,24,29
147,2017-10-29,33,23
148,2017-11-05,57,24
149,2017-11-12,14,26
150,2017-11-19,12,21
151,2017-11-26,30,23
152,2017-12-03,15,24
153,2017-12-10,16,23
154,2017-12-17,11,23
155,2017-12-24,16,18
156,2017-12-31,28,17
157,2018-01-07,21,25
158,2018-01-14,21,23
159,2018-01-21,29,26
160,2018-01-28,75,25
161,2018-02-04,27,26
162,2018-02-11,22,26
163,2018-02-18,14,23
164,2018-02-25,14,31
165,2018-03-04,18,23
166,2018-03-11,21,23
167,2018-03-18,21,28
168,2018-03-25,19,21
169,2018-04-01,15,21
170,2018-04-08,14,27
171,2018-04-15,13,23
172,2018-04-22,15,27
173,2018-04-29,15,24
174,2018-05-06,15,28
175,2018-05-13,16,25
176,2018-05-20,15,24
177,2018-05-27,15,20
178,2018-06-03,14,20
179,2018-06-10,10,19
180,2018-06-17,11,21
181,2018-06-24,12,21
182,2018-07-01,12,18
183,2018-07-08,9,20
184,2018-07-15,12,20
185,2018-07-22,13,23
186,2018-07-29,11,25
187,2018-08-05,9,28
188,2018-08-12,13,27
189,2018-08-19,12,32
190,2018-08-26,12,29
191,2018-09-02,11,29
192,2018-09-09,9,26
193,2018-09-16,14,28
194,2018-09-23,11,30
195,2018-09-30,8,24
196,2018-10-07,12,22
197,2018-10-14,9,24
198,2018-10-21,7,25
199,2018-10-28,10,23
200,2018-11-04,10,22
201,2018-11-11,10,23
202,2018-11-18,12,17
203,2018-11-25,9,21
204,2018-12-02,10,22
205,2018-12-09,8,25
206,2018-12-16,9,22
207,2018-12-23,8,17
208,2018-12-30,11,20
209,2019-01-06,7,27
210,2019-01-13,8,27
211,2019-01-20,8,25
212,2019-01-27,7,27
213,2019-02-03,15,22
214,2019-02-10,15,26
215,2019-02-17,12,22
216,2019-02-24,18,23
217,2019-03-03,19,22
218,2019-03-10,14,20
219,2019-03-17,12,24
220,2019-03-24,11,26
221,2019-03-31,11,22
222,2019-04-07,7,21
223,2019-04-14,10,23
224,2019-04-21,10,25
225,2019-04-28,10,24
226,2019-05-05,9,25
227,2019-05-12,8,27
228,2019-05-19,8,16
229,2019-05-26,9,22
230,2019-06-02,8,21
231,2019-06-09,8,19
232,2019-06-16,9,19
233,2019-06-23,6,23
234,2019-06-30,8,16
235,2019-07-07,8,18
236,2019-07-14,7,22
237,2019-07-21,5,22
238,2019-07-28,8,20
239,2019-08-04,8,26
240,2019-08-11,7,25
241,2019-08-18,6,29
242,2019-08-25,8,26
243,2019-09-01,10,29
244,2019-09-08,8,26
245,2019-09-15,7,26
246,2019-09-22,9,30
247,2019-09-29,8,30
248,2019-10-06,9,24
249,2019-10-13,7,23
250,2019-10-20,6,25
251,2019-10-27,8,30
252,2019-11-03,7,30
253,2019-11-10,5,26
254,2019-11-17,7,25
255,2019-11-24,7,27
256,2019-12-01,6,27
257,2019-12-08,7,24
258,2019-12-15,5,22
259,2019-12-22,6,18
260,2019-12-29,5,20
