,date,Coldplay,Alphabet
0,2015-01-04,6,27
1,2015-01-11,6,22
2,2015-01-18,6,24
3,2015-01-25,5,25
4,2015-02-01,6,22
5,2015-02-08,7,28
6,2015-02-15,6,21
7,2015-02-22,9,23
8,2015-03-01,4,20
9,2015-03-08,6,23
10,2015-03-15,7,24
11,2015-03-22,6,25
12,2015-03-29,4,21
13,2015-04-05,5,21
14,2015-04-12,4,26
15,2015-04-19,2,21
16,2015-04-26,4,19
17,2015-05-03,5,20
18,2015-05-10,8,15
19,2015-05-17,5,14
20,2015-05-24,9,19
21,2015-05-31,8,17
22,2015-06-07,5,17
23,2015-06-14,8,19
24,2015-06-21,4,19
25,2015-06-28,4,18
26,2015-07-05,5,20
27,2015-07-12,5,18
28,2015-07-19,4,21
29,2015-07-26,6,18
30,2015-08-02,5,22
31,2015-08-09,4,49
32,2015-08-16,5,32
33,2015-08-23,4,28
34,2015-08-30,3,32
35,2015-09-06,5,26
36,2015-09-13,6,28
37,2015-09-20,4,27
38,2015-09-27,5,28
39,2015-10-04,5,28
40,2015-10-11,5,24
41,2015-10-18,4,32
42,2015-10-25,2,31
43,2015-11-01,8,26
44,2015-11-08,12,25
45,2015-11-15,7,20
46,2015-11-22,19,21
47,2015-11-29,21,21
48,2015-12-06,13,22
49,2015-12-13,17,21
50,2015-12-20,12,18
51,2015-12-27,9,17
52,2016-01-03,9,22
53,2016-01-10,8,22
54,2016-01-17,7,17
55,2016-01-24,16,22
56,2016-01-31,20,28
57,2016-02-07,100,25
58,2016-02-14,13,23
59,2016-02-21,9,20
60,2016-02-28,8,24
61,2016-03-06,7,17
62,2016-03-13,10,20
63,2016-03-20,6,20
64,2016-03-27,6,19
65,2016-04-03,11,21
66,2016-04-10,26,26
67,2016-04-17,9,18
68,2016-04-24,11,20
69,2016-05-01,9,20
70,2016-05-08,9,20
71,2016-05-15,8,24
72,2016-05-22,10,20
73,2016-05-29,7,16
74,2016-06-05,7,21
75,2016-06-12,9,17
76,2016-06-19,8,18
77,2016-06-26,8,18
78,2016-07-03,8,17
79,2016-07-10,5,16
80,2016-07-17,12,17
81,2016-07-24,14,16
82,2016-07-31,10,19
83,2016-08-07,11,25
84,2016-08-14,15,28
85,2016-08-21,59,27
86,2016-08-28,11,28
87,2016-09-04,11,27
88,2016-09-11,6,19
89,2016-09-18,8,23
90,2016-09-25,4,26
91,2016-10-02,6,21
92,2016-10-09,6,21
93,2016-10-16,7,20
94,2016-10-23,5,22
95,2016-10-30,4,17
96,2016-11-06,5,19
97,2016-11-13,7,21
98,2016-11-20,7,19
99,2016-11-27,5,25
100,2016-12-04,5,21
101,2016-12-11,4,22
102,2016-12-18,5,22
