,date,Ed Sheeran,Alphabet
0,2015-01-04,35,37
1,2015-01-11,43,31
2,2015-01-18,40,33
3,2015-01-25,54,34
4,2015-02-01,49,30
5,2015-02-08,87,38
6,2015-02-15,53,28
7,2015-02-22,44,32
8,2015-03-01,38,27
9,2015-03-08,35,32
10,2015-03-15,31,34
11,2015-03-22,37,35
12,2015-03-29,25,29
13,2015-04-05,29,29
14,2015-04-12,21,35
15,2015-04-19,21,29
16,2015-04-26,16,26
17,2015-05-03,25,28
18,2015-05-10,19,21
19,2015-05-17,33,20
20,2015-05-24,23,27
21,2015-05-31,35,24
22,2015-06-07,29,23
23,2015-06-14,33,27
24,2015-06-21,25,27
25,2015-06-28,26,25
26,2015-07-05,30,27
27,2015-07-12,24,25
28,2015-07-19,26,28
29,2015-07-26,24,25
30,2015-08-02,31,30
31,2015-08-09,30,68
32,2015-08-16,31,44
33,2015-08-23,28,39
34,2015-08-30,20,45
35,2015-09-06,22,36
36,2015-09-13,23,39
37,2015-09-20,23,37
38,2015-09-27,22,38
39,2015-10-04,15,38
40,2015-10-11,24,33
41,2015-10-18,15,44
42,2015-10-25,12,42
43,2015-11-01,15,36
44,2015-11-08,22,34
45,2015-11-15,18,28
46,2015-11-22,16,29
47,2015-11-29,13,29
48,2015-12-06,12,31
49,2015-12-13,16,29
50,2015-12-20,14,25
51,2015-12-27,14,23
52,2016-01-03,12,31
53,2016-01-10,12,31
54,2016-01-17,12,24
55,2016-01-24,10,31
56,2016-01-31,15,38
57,2016-02-07,9,35
58,2016-02-14,21,32
59,2016-02-21,9,27
60,2016-02-28,16,33
61,2016-03-06,10,24
62,2016-03-13,8,27
63,2016-03-20,6,27
64,2016-03-27,8,26
65,2016-04-03,8,29
66,2016-04-10,8,35
67,2016-04-17,8,25
68,2016-04-24,9,27
69,2016-05-01,8,28
70,2016-05-08,5,27
71,2016-05-15,8,33
72,2016-05-22,8,27
73,2016-05-29,7,22
74,2016-06-05,11,29
75,2016-06-12,13,24
76,2016-06-19,5,25
77,2016-06-26,8,24
78,2016-07-03,10,24
79,2016-07-10,9,22
80,2016-07-17,7,24
81,2016-07-24,6,22
82,2016-07-31,6,27
83,2016-08-07,8,35
84,2016-08-14,5,39
85,2016-08-21,6,37
86,2016-08-28,6,39
87,2016-09-04,6,37
88,2016-09-11,8,27
89,2016-09-18,4,31
90,2016-09-25,4,35
91,2016-10-02,8,28
92,2016-10-09,6,28
93,2016-10-16,7,28
94,2016-10-23,5,30
95,2016-10-30,6,24
96,2016-11-06,7,26
97,2016-11-13,8,28
98,2016-11-20,8,26
99,2016-11-27,6,35
100,2016-12-04,5,29
101,2016-12-11,9,31
102,2016-12-18,7,31
103,2016-12-25,8,21
104,2017-01-01,32,28
105,2017-01-08,31,31
106,2017-01-15,18,27
107,2017-01-22,24,36
108,2017-01-29,24,30
109,2017-02-05,22,32
110,2017-02-12,49,30
111,2017-02-19,34,27
112,2017-02-26,44,29
113,2017-03-05,100,29
