,date,Guns N' Roses,Alphabet
0,2015-01-04,2,20
1,2015-01-11,2,17
2,2015-01-18,2,18
3,2015-01-25,2,19
4,2015-02-01,1,16
5,2015-02-08,2,21
6,2015-02-15,3,15
7,2015-02-22,2,18
8,2015-03-01,3,15
9,2015-03-08,5,18
10,2015-03-15,3,18
11,2015-03-22,0,19
12,2015-03-29,2,16
13,2015-04-05,3,16
14,2015-04-12,2,19
15,2015-04-19,2,16
16,2015-04-26,3,14
17,2015-05-03,3,15
18,2015-05-10,4,11
19,2015-05-17,4,11
20,2015-05-24,3,14
21,2015-05-31,3,13
22,2015-06-07,3,12
23,2015-06-14,2,14
24,2015-06-21,1,15
25,2015-06-28,2,14
26,2015-07-05,2,15
27,2015-07-12,3,14
28,2015-07-19,3,16
29,2015-07-26,4,14
30,2015-08-02,3,17
31,2015-08-09,1,37
32,2015-08-16,4,24
33,2015-08-23,4,21
34,2015-08-30,4,24
35,2015-09-06,3,20
36,2015-09-13,2,21
37,2015-09-20,3,20
38,2015-09-27,4,21
39,2015-10-04,2,21
40,2015-10-11,3,18
41,2015-10-18,3,24
42,2015-10-25,3,23
43,2015-11-01,2,20
44,2015-11-08,5,19
45,2015-11-15,4,15
46,2015-11-22,4,16
47,2015-11-29,2,16
48,2015-12-06,4,17
49,2015-12-13,2,16
50,2015-12-20,3,14
51,2015-12-27,11,13
52,2016-01-03,15,17
53,2016-01-10,9,17
54,2016-01-17,11,13
55,2016-01-24,6,17
56,2016-01-31,5,21
57,2016-02-07,4,19
58,2016-02-14,3,18
59,2016-02-21,4,15
60,2016-02-28,5,18
61,2016-03-06,4,13
62,2016-03-13,5,15
63,2016-03-20,10,15
64,2016-03-27,24,14
65,2016-04-03,54,16
66,2016-04-10,31,19
67,2016-04-17,22,14
68,2016-04-24,9,15
69,2016-05-01,11,15
70,2016-05-08,7,15
71,2016-05-15,5,18
72,2016-05-22,7,15
73,2016-05-29,7,12
74,2016-06-05,7,16
75,2016-06-12,8,13
76,2016-06-19,8,14
77,2016-06-26,10,13
78,2016-07-03,11,13
79,2016-07-10,12,12
80,2016-07-17,13,13
81,2016-07-24,13,12
82,2016-07-31,20,15
83,2016-08-07,28,19
84,2016-08-14,100,21
85,2016-08-21,6,20
86,2016-08-28,3,21
87,2016-09-04,4,20
88,2016-09-11,4,15
89,2016-09-18,3,17
90,2016-09-25,5,19
91,2016-10-02,2,16
92,2016-10-09,3,16
93,2016-10-16,2,15
94,2016-10-23,3,17
95,2016-10-30,3,13
96,2016-11-06,3,14
97,2016-11-13,3,15
98,2016-11-20,2,14
99,2016-11-27,3,19
100,2016-12-04,4,16
101,2016-12-11,5,17
102,2016-12-18,5,17
103,2016-12-25,2,12
104,2017-01-01,6,15
105,2017-01-08,3,17
106,2017-01-15,3,15
107,2017-01-22,5,20
108,2017-01-29,3,17
109,2017-02-05,4,17
110,2017-02-12,4,16
