,date,Metallica,Alphabet
0,2015-01-04,6,17
1,2015-01-11,7,15
2,2015-01-18,6,16
3,2015-01-25,6,16
4,2015-02-01,3,14
5,2015-02-08,5,18
6,2015-02-15,3,14
7,2015-02-22,4,15
8,2015-03-01,5,13
9,2015-03-08,5,15
10,2015-03-15,6,16
11,2015-03-22,5,17
12,2015-03-29,5,14
13,2015-04-05,5,14
14,2015-04-12,6,17
15,2015-04-19,6,14
16,2015-04-26,6,12
17,2015-05-03,6,13
18,2015-05-10,7,10
19,2015-05-17,8,9
20,2015-05-24,8,13
21,2015-05-31,5,11
22,2015-06-07,5,11
23,2015-06-14,6,13
24,2015-06-21,7,13
25,2015-06-28,4,12
26,2015-07-05,4,13
27,2015-07-12,2,12
28,2015-07-19,5,14
29,2015-07-26,6,12
30,2015-08-02,5,15
31,2015-08-09,4,32
32,2015-08-16,4,21
33,2015-08-23,7,18
34,2015-08-30,6,21
35,2015-09-06,5,17
36,2015-09-13,5,18
37,2015-09-20,6,18
38,2015-09-27,4,18
39,2015-10-04,5,18
40,2015-10-11,4,16
41,2015-10-18,3,21
42,2015-10-25,6,20
43,2015-11-01,7,17
44,2015-11-08,4,16
45,2015-11-15,5,13
46,2015-11-22,6,14
47,2015-11-29,5,14
48,2015-12-06,6,15
49,2015-12-13,6,14
50,2015-12-20,7,12
51,2015-12-27,7,11
52,2016-01-03,6,15
53,2016-01-10,6,15
54,2016-01-17,5,11
55,2016-01-24,5,15
56,2016-01-31,5,18
57,2016-02-07,11,17
58,2016-02-14,5,15
59,2016-02-21,5,13
60,2016-02-28,7,16
61,2016-03-06,4,11
62,2016-03-13,4,13
63,2016-03-20,5,13
64,2016-03-27,5,13
65,2016-04-03,5,14
66,2016-04-10,7,17
67,2016-04-17,7,12
68,2016-04-24,4,13
69,2016-05-01,5,13
70,2016-05-08,5,13
71,2016-05-15,5,16
72,2016-05-22,7,13
73,2016-05-29,5,10
74,2016-06-05,4,14
75,2016-06-12,3,11
76,2016-06-19,3,12
77,2016-06-26,4,12
