,date,Pink,Alphabet
0,2015-01-04,10,47
1,2015-01-11,9,39
2,2015-01-18,4,42
3,2015-01-25,6,44
4,2015-02-01,10,38
5,2015-02-08,10,49
6,2015-02-15,7,36
7,2015-02-22,8,41
8,2015-03-01,6,35
9,2015-03-08,10,41
10,2015-03-15,3,43
11,2015-03-22,10,44
12,2015-03-29,4,37
13,2015-04-05,11,38
14,2015-04-12,17,45
15,2015-04-19,5,37
16,2015-04-26,10,33
17,2015-05-03,7,35
18,2015-05-10,7,27
19,2015-05-17,7,25
20,2015-05-24,7,34
21,2015-05-31,9,30
22,2015-06-07,6,29
23,2015-06-14,3,34
24,2015-06-21,10,34
25,2015-06-28,9,32
26,2015-07-05,5,35
27,2015-07-12,8,32
28,2015-07-19,5,36
29,2015-07-26,7,32
30,2015-08-02,11,39
31,2015-08-09,8,87
32,2015-08-16,10,56
33,2015-08-23,6,49
34,2015-08-30,10,57
35,2015-09-06,12,47
36,2015-09-13,8,50
37,2015-09-20,9,47
38,2015-09-27,8,49
39,2015-10-04,12,49
40,2015-10-11,5,42
41,2015-10-18,4,56
42,2015-10-25,6,54
43,2015-11-01,8,47
44,2015-11-08,6,44
45,2015-11-15,6,36
46,2015-11-22,9,37
47,2015-11-29,7,37
48,2015-12-06,6,39
49,2015-12-13,7,37
50,2015-12-20,4,32
51,2015-12-27,6,30
52,2016-01-03,7,39
53,2016-01-10,1,39
54,2016-01-17,8,31
55,2016-01-24,4,39
56,2016-01-31,13,49
57,2016-02-07,9,44
58,2016-02-14,6,41
59,2016-02-21,7,34
60,2016-02-28,6,42
61,2016-03-06,12,30
62,2016-03-13,6,35
63,2016-03-20,8,35
64,2016-03-27,9,34
65,2016-04-03,7,37
66,2016-04-10,10,45
67,2016-04-17,7,33
68,2016-04-24,10,35
69,2016-05-01,10,35
70,2016-05-08,11,34
71,2016-05-15,16,42
72,2016-05-22,25,35
73,2016-05-29,18,28
74,2016-06-05,14,38
75,2016-06-12,13,31
76,2016-06-19,10,33
77,2016-06-26,7,31
78,2016-07-03,8,31
79,2016-07-10,9,29
80,2016-07-17,16,31
81,2016-07-24,12,29
82,2016-07-31,7,34
83,2016-08-07,10,45
84,2016-08-14,10,50
85,2016-08-21,9,48
86,2016-08-28,9,50
87,2016-09-04,9,47
88,2016-09-11,4,34
89,2016-09-18,9,40
90,2016-09-25,6,45
91,2016-10-02,9,36
92,2016-10-09,5,36
93,2016-10-16,9,35
94,2016-10-23,7,39
95,2016-10-30,6,31
96,2016-11-06,11,34
97,2016-11-13,16,36
98,2016-11-20,12,33
99,2016-11-27,8,44
100,2016-12-04,7,37
101,2016-12-11,8,40
102,2016-12-18,5,40
103,2016-12-25,13,27
104,2017-01-01,12,36
105,2017-01-08,7,40
106,2017-01-15,11,35
107,2017-01-22,10,46
108,2017-01-29,9,39
109,2017-02-05,9,41
110,2017-02-12,9,38
111,2017-02-19,10,34
112,2017-02-26,7,37
113,2017-03-05,6,37
114,2017-03-12,6,31
115,2017-03-19,5,38
116,2017-03-26,10,33
117,2017-04-02,10,40
118,2017-04-09,10,39
119,2017-04-16,7,35
120,2017-04-23,9,42
121,2017-04-30,7,37
122,2017-05-07,6,37
123,2017-05-14,6,37
124,2017-05-21,5,35
125,2017-05-28,9,38
126,2017-06-04,12,33
127,2017-06-11,8,31
128,2017-06-18,9,27
129,2017-06-25,8,34
130,2017-07-02,8,31
131,2017-07-09,7,31
132,2017-07-16,10,26
133,2017-07-23,7,35
134,2017-07-30,7,37
135,2017-08-06,15,45
136,2017-08-13,13,46
137,2017-08-20,13,41
138,2017-08-27,39,47
139,2017-09-03,17,43
140,2017-09-10,11,40
141,2017-09-17,10,41
142,2017-09-24,16,46
143,2017-10-01,30,37
144,2017-10-08,69,42
145,2017-10-15,47,44
146,2017-10-22,27,46
147,2017-10-29,22,36
148,2017-11-05,31,39
149,2017-11-12,20,41
150,2017-11-19,44,34
151,2017-11-26,15,37
152,2017-12-03,20,39
153,2017-12-10,14,37
154,2017-12-17,13,36
155,2017-12-24,24,28
156,2017-12-31,17,27
157,2018-01-07,16,40
158,2018-01-14,16,37
159,2018-01-21,17,42
160,2018-01-28,43,39
161,2018-02-04,77,42
162,2018-02-11,18,42
163,2018-02-18,36,36
164,2018-02-25,100,49
165,2018-03-04,34,36
166,2018-03-11,21,36
167,2018-03-18,20,45
168,2018-03-25,24,34
169,2018-04-01,22,34
170,2018-04-08,15,44
171,2018-04-15,23,36
172,2018-04-22,36,43
173,2018-04-29,38,37
174,2018-05-06,39,44
175,2018-05-13,26,40
176,2018-05-20,21,38
177,2018-05-27,16,32
178,2018-06-03,16,32
179,2018-06-10,13,30
180,2018-06-17,9,33
181,2018-06-24,17,34
182,2018-07-01,17,28
183,2018-07-08,20,32
184,2018-07-15,12,31
185,2018-07-22,17,36
186,2018-07-29,16,40
187,2018-08-05,11,45
188,2018-08-12,11,43
189,2018-08-19,13,51
190,2018-08-26,10,45
191,2018-09-02,12,45
192,2018-09-09,9,42
193,2018-09-16,9,44
194,2018-09-23,7,47
195,2018-09-30,11,39
196,2018-10-07,11,35
197,2018-10-14,10,39
198,2018-10-21,11,39
199,2018-10-28,11,36
200,2018-11-04,10,36
201,2018-11-11,12,37
202,2018-11-18,11,26
203,2018-11-25,8,34
204,2018-12-02,13,35
205,2018-12-09,14,39
206,2018-12-16,8,34
207,2018-12-23,14,28
208,2018-12-30,10,31
209,2019-01-06,7,43
210,2019-01-13,18,43
211,2019-01-20,22,40
212,2019-01-27,9,43
213,2019-02-03,14,34
214,2019-02-10,19,41
215,2019-02-17,13,35
216,2019-02-24,16,36
217,2019-03-03,22,34
218,2019-03-10,21,32
219,2019-03-17,26,38
220,2019-03-24,58,42
221,2019-03-31,44,35
222,2019-04-07,13,34
223,2019-04-14,13,36
224,2019-04-21,25,40
225,2019-04-28,18,38
226,2019-05-05,18,40
227,2019-05-12,14,43
228,2019-05-19,20,26
229,2019-05-26,26,34
230,2019-06-02,27,34
231,2019-06-09,21,30
232,2019-06-16,29,30
233,2019-06-23,20,36
234,2019-06-30,9,26
235,2019-07-07,12,28
236,2019-07-14,16,35
237,2019-07-21,25,35
238,2019-07-28,18,32
239,2019-08-04,19,42
240,2019-08-11,24,40
241,2019-08-18,11,47
242,2019-08-25,16,41
243,2019-09-01,23,46
244,2019-09-08,25,42
245,2019-09-15,16,41
246,2019-09-22,14,48
247,2019-09-29,22,47
248,2019-10-06,20,38
249,2019-10-13,12,37
250,2019-10-20,9,40
251,2019-10-27,7,47
252,2019-11-03,17,47
253,2019-11-10,32,42
254,2019-11-17,12,39
255,2019-11-24,16,42
256,2019-12-01,20,43
257,2019-12-08,18,37
258,2019-12-15,6,36
259,2019-12-22,10,29
260,2019-12-29,7,32
