,date,The Rolling Stones,Alphabet
0,2015-01-04,4,19
1,2015-01-11,5,16
2,2015-01-18,6,17
3,2015-01-25,5,18
4,2015-02-01,4,16
5,2015-02-08,5,20
6,2015-02-15,3,15
7,2015-02-22,5,17
8,2015-03-01,5,14
9,2015-03-08,5,17
10,2015-03-15,10,17
11,2015-03-22,5,18
12,2015-03-29,11,15
13,2015-04-05,10,15
14,2015-04-12,9,18
15,2015-04-19,5,15
16,2015-04-26,5,13
17,2015-05-03,3,14
18,2015-05-10,7,11
19,2015-05-17,9,10
20,2015-05-24,8,14
21,2015-05-31,7,12
22,2015-06-07,7,12
23,2015-06-14,5,14
24,2015-06-21,6,14
25,2015-06-28,4,13
26,2015-07-05,6,14
27,2015-07-12,3,13
28,2015-07-19,4,15
29,2015-07-26,5,13
30,2015-08-02,4,16
31,2015-08-09,4,35
32,2015-08-16,3,23
33,2015-08-23,4,20
34,2015-08-30,5,23
35,2015-09-06,4,19
36,2015-09-13,4,20
37,2015-09-20,4,19
38,2015-09-27,4,20
39,2015-10-04,5,20
40,2015-10-11,4,17
41,2015-10-18,5,23
42,2015-10-25,5,22
43,2015-11-01,6,19
44,2015-11-08,3,18
45,2015-11-15,6,14
46,2015-11-22,5,15
47,2015-11-29,5,15
48,2015-12-06,1,16
49,2015-12-13,3,15
50,2015-12-20,7,13
51,2015-12-27,5,12
52,2016-01-03,3,16
53,2016-01-10,7,16
54,2016-01-17,3,12
55,2016-01-24,3,16
56,2016-01-31,5,20
57,2016-02-07,5,18
58,2016-02-14,4,17
59,2016-02-21,4,14
60,2016-02-28,4,17
61,2016-03-06,5,12
62,2016-03-13,6,14
63,2016-03-20,6,14
64,2016-03-27,4,14
65,2016-04-03,4,15
66,2016-04-10,3,18
67,2016-04-17,5,13
68,2016-04-24,3,14
69,2016-05-01,9,14
70,2016-05-08,8,14
71,2016-05-15,3,17
72,2016-05-22,4,14
73,2016-05-29,4,11
74,2016-06-05,2,15
75,2016-06-12,4,12
76,2016-06-19,6,13
77,2016-06-26,2,13
78,2016-07-03,3,12
79,2016-07-10,3,12
80,2016-07-17,4,12
81,2016-07-24,4,12
82,2016-07-31,3,14
83,2016-08-07,2,18
84,2016-08-14,4,20
85,2016-08-21,4,19
86,2016-08-28,5,20
87,2016-09-04,5,19
88,2016-09-11,4,14
89,2016-09-18,5,16
90,2016-09-25,5,18
91,2016-10-02,6,15
92,2016-10-09,9,15
93,2016-10-16,9,14
94,2016-10-23,6,16
95,2016-10-30,4,12
96,2016-11-06,4,14
97,2016-11-13,4,15
98,2016-11-20,4,13
99,2016-11-27,6,18
100,2016-12-04,7,15
101,2016-12-11,3,16
102,2016-12-18,2,16
103,2016-12-25,4,11
104,2017-01-01,5,15
105,2017-01-08,4,16
106,2017-01-15,4,14
107,2017-01-22,4,19
108,2017-01-29,3,16
109,2017-02-05,4,16
110,2017-02-12,5,16
111,2017-02-19,2,14
112,2017-02-26,4,15
113,2017-03-05,3,15
114,2017-03-12,4,12
115,2017-03-19,3,16
116,2017-03-26,5,13
117,2017-04-02,4,16
118,2017-04-09,4,16
119,2017-04-16,4,14
120,2017-04-23,5,17
121,2017-04-30,5,15
122,2017-05-07,3,15
123,2017-05-14,2,15
124,2017-05-21,3,14
125,2017-05-28,3,15
126,2017-06-04,4,14
127,2017-06-11,4,13
128,2017-06-18,4,11
129,2017-06-25,3,14
130,2017-07-02,3,13
131,2017-07-09,5,13
132,2017-07-16,5,11
133,2017-07-23,3,14
