,date,Bruno Mars,Alphabet
0,2015-01-04,22,22
1,2015-01-11,29,24
2,2015-01-18,29,23
3,2015-01-25,28,23
4,2015-02-01,33,22
5,2015-02-08,25,23
6,2015-02-15,24,22
7,2015-02-22,22,23
8,2015-03-01,21,23
9,2015-03-08,19,21
10,2015-03-15,21,23
11,2015-03-22,19,21
12,2015-03-29,19,20
13,2015-04-05,17,20
14,2015-04-12,16,23
15,2015-04-19,14,22
16,2015-04-26,15,21
17,2015-05-03,15,22
18,2015-05-10,14,22
19,2015-05-17,15,21
20,2015-05-24,14,22
21,2015-05-31,13,23
22,2015-06-07,12,18
23,2015-06-14,12,18
24,2015-06-21,11,19
25,2015-06-28,13,19
26,2015-07-05,11,21
27,2015-07-12,9,19
28,2015-07-19,13,19
29,2015-07-26,9,18
30,2015-08-02,10,19
31,2015-08-09,9,63
32,2015-08-16,10,33
33,2015-08-23,10,32
34,2015-08-30,12,34
35,2015-09-06,10,29
36,2015-09-13,10,28
37,2015-09-20,9,29
38,2015-09-27,9,29
39,2015-10-04,10,30
40,2015-10-11,9,27
41,2015-10-18,8,29
42,2015-10-25,9,26
43,2015-11-01,9,25
44,2015-11-08,11,25
45,2015-11-15,8,25
46,2015-11-22,9,20
47,2015-11-29,9,24
48,2015-12-06,7,24
49,2015-12-13,8,24
50,2015-12-20,9,19
51,2015-12-27,10,18
52,2016-01-03,8,23
53,2016-01-10,8,22
54,2016-01-17,8,21
55,2016-01-24,9,24
56,2016-01-31,12,31
57,2016-02-07,66,24
58,2016-02-14,24,25
59,2016-02-21,12,23
60,2016-02-28,9,23
61,2016-03-06,9,23
62,2016-03-13,10,23
63,2016-03-20,9,22
64,2016-03-27,9,23
65,2016-04-03,8,23
66,2016-04-10,8,22
67,2016-04-17,9,23
68,2016-04-24,9,24
69,2016-05-01,8,23
70,2016-05-08,7,23
71,2016-05-15,12,24
72,2016-05-22,13,23
73,2016-05-29,10,22
74,2016-06-05,9,22
75,2016-06-12,8,19
76,2016-06-19,7,19
77,2016-06-26,8,20
78,2016-07-03,8,18
79,2016-07-10,8,19
80,2016-07-17,8,19
81,2016-07-24,8,20
82,2016-07-31,8,25
83,2016-08-07,7,22
84,2016-08-14,7,25
85,2016-08-21,7,28
86,2016-08-28,7,30
