,date,Ed Sheeran,Alphabet
0,2015-01-04,47,29
1,2015-01-11,45,32
2,2015-01-18,44,30
3,2015-01-25,51,30
4,2015-02-01,44,29
5,2015-02-08,86,32
6,2015-02-15,70,29
7,2015-02-22,57,30
8,2015-03-01,41,31
9,2015-03-08,35,28
10,2015-03-15,30,29
11,2015-03-22,34,28
12,2015-03-29,29,27
13,2015-04-05,28,25
14,2015-04-12,25,30
15,2015-04-19,23,29
16,2015-04-26,22,28
17,2015-05-03,25,29
18,2015-05-10,29,30
19,2015-05-17,32,27
20,2015-05-24,32,29
21,2015-05-31,32,30
22,2015-06-07,31,23
23,2015-06-14,41,24
24,2015-06-21,61,25
25,2015-06-28,30,25
26,2015-07-05,30,27
27,2015-07-12,22,25
28,2015-07-19,29,25
29,2015-07-26,25,24
30,2015-08-02,25,25
31,2015-08-09,34,83
32,2015-08-16,31,43
33,2015-08-23,28,42
34,2015-08-30,25,45
35,2015-09-06,23,38
36,2015-09-13,21,37
37,2015-09-20,22,38
38,2015-09-27,23,38
39,2015-10-04,19,40
40,2015-10-11,20,35
41,2015-10-18,19,37
42,2015-10-25,20,34
43,2015-11-01,18,33
44,2015-11-08,18,33
45,2015-11-15,17,33
46,2015-11-22,18,27
47,2015-11-29,13,31
48,2015-12-06,14,32
49,2015-12-13,16,33
50,2015-12-20,14,26
51,2015-12-27,14,24
52,2016-01-03,13,30
53,2016-01-10,11,29
54,2016-01-17,13,29
55,2016-01-24,11,31
56,2016-01-31,13,40
57,2016-02-07,11,32
58,2016-02-14,25,33
59,2016-02-21,12,30
60,2016-02-28,12,31
61,2016-03-06,10,30
62,2016-03-13,8,30
63,2016-03-20,9,29
64,2016-03-27,11,30
65,2016-04-03,9,30
66,2016-04-10,9,29
67,2016-04-17,9,31
68,2016-04-24,8,32
69,2016-05-01,8,30
70,2016-05-08,8,30
71,2016-05-15,9,32
72,2016-05-22,9,30
73,2016-05-29,8,29
74,2016-06-05,13,29
75,2016-06-12,10,25
76,2016-06-19,9,25
77,2016-06-26,8,26
78,2016-07-03,11,23
79,2016-07-10,8,25
80,2016-07-17,7,24
81,2016-07-24,8,26
82,2016-07-31,8,32
83,2016-08-07,8,29
84,2016-08-14,6,33
85,2016-08-21,7,37
86,2016-08-28,7,40
87,2016-09-04,7,34
88,2016-09-11,7,34
89,2016-09-18,7,33
90,2016-09-25,8,35
91,2016-10-02,6,30
92,2016-10-09,7,28
93,2016-10-16,8,32
94,2016-10-23,7,31
95,2016-10-30,6,31
96,2016-11-06,7,30
97,2016-11-13,7,31
98,2016-11-20,8,23
99,2016-11-27,8,28
100,2016-12-04,7,32
101,2016-12-11,8,30
102,2016-12-18,8,26
103,2016-12-25,7,23
104,2017-01-01,32,27
105,2017-01-08,30,32
106,2017-01-15,22,30
107,2017-01-22,25,32
108,2017-01-29,28,31
109,2017-02-05,24,32
110,2017-02-12,51,31
111,2017-02-19,38,28
112,2017-02-26,47,31
113,2017-03-05,100,31
114,2017-03-12,94,32
115,2017-03-19,52,31
116,2017-03-26,37,31
117,2017-04-02,36,30
118,2017-04-09,29,27
119,2017-04-16,30,29
120,2017-04-23,27,33
121,2017-04-30,27,30
122,2017-05-07,27,33
123,2017-05-14,24,34
124,2017-05-21,24,31
125,2017-05-28,24,31
126,2017-06-04,30,32
127,2017-06-11,25,30
128,2017-06-18,22,24
129,2017-06-25,23,26
130,2017-07-02,28,24
131,2017-07-09,23,26
132,2017-07-16,94,25
133,2017-07-23,37,29
134,2017-07-30,48,24
135,2017-08-06,46,28
136,2017-08-13,30,32
137,2017-08-20,20,36
138,2017-08-27,26,35
139,2017-09-03,19,35
140,2017-09-10,18,36
141,2017-09-17,18,34
142,2017-09-24,20,36
143,2017-10-01,19,33
144,2017-10-08,20,33
145,2017-10-15,34,37
146,2017-10-22,23,37
147,2017-10-29,19,32
148,2017-11-05,27,33
149,2017-11-12,23,35
150,2017-11-19,18,28
151,2017-11-26,28,30
152,2017-12-03,37,32
153,2017-12-10,41,34
154,2017-12-17,43,27
155,2017-12-24,41,25
156,2017-12-31,38,24
157,2018-01-07,38,30
158,2018-01-14,44,30
159,2018-01-21,52,34
160,2018-01-28,46,35
161,2018-02-04,37,38
162,2018-02-11,43,33
163,2018-02-18,32,32
164,2018-02-25,32,32
165,2018-03-04,30,32
166,2018-03-11,26,33
167,2018-03-18,23,32
168,2018-03-25,22,29
169,2018-04-01,22,33
170,2018-04-08,22,35
171,2018-04-15,20,30
172,2018-04-22,18,35
173,2018-04-29,19,32
174,2018-05-06,19,33
175,2018-05-13,19,30
176,2018-05-20,26,30
177,2018-05-27,18,30
178,2018-06-03,18,27
179,2018-06-10,15,27
180,2018-06-17,17,28
181,2018-06-24,20,26
182,2018-07-01,20,24
183,2018-07-08,19,24
184,2018-07-15,19,24
185,2018-07-22,17,29
186,2018-07-29,19,29
187,2018-08-05,19,28
188,2018-08-12,31,31
189,2018-08-19,49,37
190,2018-08-26,21,37
191,2018-09-02,16,35
192,2018-09-09,15,35
193,2018-09-16,15,36
194,2018-09-23,14,34
195,2018-09-30,13,36
196,2018-10-07,14,35
197,2018-10-14,14,34
198,2018-10-21,13,36
199,2018-10-28,14,31
200,2018-11-04,11,30
201,2018-11-11,12,30
202,2018-11-18,12,28
203,2018-11-25,11,33
204,2018-12-02,13,34
205,2018-12-09,11,33
206,2018-12-16,11,29
207,2018-12-23,13,25
208,2018-12-30,13,26
209,2019-01-06,12,32
210,2019-01-13,11,30
211,2019-01-20,11,31
212,2019-01-27,13,35
213,2019-02-03,11,36
214,2019-02-10,12,34
215,2019-02-17,13,31
216,2019-02-24,11,33
217,2019-03-03,12,33
218,2019-03-10,10,31
219,2019-03-17,11,32
220,2019-03-24,10,31
221,2019-03-31,10,30
222,2019-04-07,11,30
223,2019-04-14,12,31
224,2019-04-21,12,32
225,2019-04-28,12,33
226,2019-05-05,17,33
227,2019-05-12,16,32
228,2019-05-19,17,31
229,2019-05-26,16,32
230,2019-06-02,15,32
231,2019-06-09,12,26
232,2019-06-16,16,28
233,2019-06-23,16,26
234,2019-06-30,20,21
235,2019-07-07,33,26
236,2019-07-14,32,28
237,2019-07-21,21,30
238,2019-07-28,20,28
239,2019-08-04,17,28
240,2019-08-11,14,34
241,2019-08-18,13,37
242,2019-08-25,15,39
243,2019-09-01,14,34
244,2019-09-08,13,37
245,2019-09-15,12,33
246,2019-09-22,12,37
247,2019-09-29,15,35
248,2019-10-06,14,34
