,date,Pink,Alphabet
0,2015-01-04,6,35
1,2015-01-11,6,38
2,2015-01-18,7,36
3,2015-01-25,7,36
4,2015-02-01,7,35
5,2015-02-08,8,36
6,2015-02-15,5,34
7,2015-02-22,7,37
8,2015-03-01,7,37
9,2015-03-08,6,33
10,2015-03-15,8,36
11,2015-03-22,9,33
12,2015-03-29,7,31
13,2015-04-05,8,31
14,2015-04-12,15,36
15,2015-04-19,6,35
16,2015-04-26,7,33
17,2015-05-03,6,35
18,2015-05-10,7,35
19,2015-05-17,6,33
20,2015-05-24,6,35
21,2015-05-31,6,36
22,2015-06-07,6,28
23,2015-06-14,6,29
24,2015-06-21,6,30
25,2015-06-28,6,30
26,2015-07-05,7,32
27,2015-07-12,6,30
28,2015-07-19,7,30
29,2015-07-26,6,29
30,2015-08-02,7,30
31,2015-08-09,7,100
32,2015-08-16,6,52
33,2015-08-23,6,50
34,2015-08-30,9,54
35,2015-09-06,11,45
36,2015-09-13,6,44
37,2015-09-20,6,45
38,2015-09-27,6,46
39,2015-10-04,5,48
40,2015-10-11,5,42
41,2015-10-18,6,45
42,2015-10-25,5,41
43,2015-11-01,5,40
44,2015-11-08,5,40
45,2015-11-15,7,40
46,2015-11-22,6,32
47,2015-11-29,7,38
48,2015-12-06,6,37
49,2015-12-13,5,38
50,2015-12-20,5,30
51,2015-12-27,7,29
52,2016-01-03,8,36
53,2016-01-10,5,35
54,2016-01-17,6,33
55,2016-01-24,5,38
56,2016-01-31,7,49
57,2016-02-07,7,38
58,2016-02-14,7,39
59,2016-02-21,6,36
60,2016-02-28,5,37
61,2016-03-06,10,36
62,2016-03-13,6,37
63,2016-03-20,5,35
64,2016-03-27,6,37
65,2016-04-03,7,36
66,2016-04-10,7,35
67,2016-04-17,7,37
68,2016-04-24,10,38
69,2016-05-01,10,36
70,2016-05-08,9,36
71,2016-05-15,12,38
72,2016-05-22,21,36
73,2016-05-29,12,35
74,2016-06-05,10,35
75,2016-06-12,10,30
76,2016-06-19,8,30
77,2016-06-26,8,32
