,date,The Rolling Stones,Alphabet
0,2015-01-04,11,34
1,2015-01-11,9,36
2,2015-01-18,10,34
3,2015-01-25,10,35
4,2015-02-01,9,33
5,2015-02-08,10,35
6,2015-02-15,12,33
7,2015-02-22,10,35
8,2015-03-01,9,35
9,2015-03-08,14,32
10,2015-03-15,20,34
11,2015-03-22,14,32
12,2015-03-29,38,30
13,2015-04-05,46,30
14,2015-04-12,31,35
15,2015-04-19,17,33
16,2015-04-26,15,32
17,2015-05-03,15,33
18,2015-05-10,17,34
19,2015-05-17,47,31
20,2015-05-24,56,34
21,2015-05-31,24,35
22,2015-06-07,17,27
23,2015-06-14,18,28
24,2015-06-21,17,29
25,2015-06-28,14,29
26,2015-07-05,11,31
27,2015-07-12,11,29
28,2015-07-19,11,29
29,2015-07-26,10,27
30,2015-08-02,11,29
31,2015-08-09,10,96
32,2015-08-16,11,49
33,2015-08-23,12,48
34,2015-08-30,11,52
35,2015-09-06,10,43
36,2015-09-13,10,43
37,2015-09-20,11,43
38,2015-09-27,10,44
39,2015-10-04,9,46
40,2015-10-11,8,41
41,2015-10-18,10,43
42,2015-10-25,8,39
43,2015-11-01,11,38
44,2015-11-08,10,39
45,2015-11-15,8,38
46,2015-11-22,10,31
47,2015-11-29,8,36
48,2015-12-06,9,36
49,2015-12-13,9,37
50,2015-12-20,10,29
51,2015-12-27,11,28
52,2016-01-03,9,34
53,2016-01-10,21,33
54,2016-01-17,10,32
55,2016-01-24,11,37
56,2016-01-31,11,47
57,2016-02-07,12,37
58,2016-02-14,11,38
59,2016-02-21,9,34
60,2016-02-28,10,35
61,2016-03-06,12,35
62,2016-03-13,9,35
63,2016-03-20,14,34
64,2016-03-27,12,35
65,2016-04-03,11,35
66,2016-04-10,10,34
67,2016-04-17,16,35
68,2016-04-24,12,37
69,2016-05-01,23,34
70,2016-05-08,19,34
71,2016-05-15,12,37
72,2016-05-22,11,34
73,2016-05-29,10,34
74,2016-06-05,11,33
75,2016-06-12,15,29
76,2016-06-19,11,29
77,2016-06-26,10,30
78,2016-07-03,10,27
79,2016-07-10,10,29
80,2016-07-17,10,28
81,2016-07-24,11,30
82,2016-07-31,10,37
83,2016-08-07,10,33
84,2016-08-14,9,38
85,2016-08-21,10,43
86,2016-08-28,10,46
87,2016-09-04,11,39
88,2016-09-11,14,40
89,2016-09-18,11,38
90,2016-09-25,13,40
91,2016-10-02,23,34
92,2016-10-09,24,32
93,2016-10-16,22,37
94,2016-10-23,13,36
95,2016-10-30,9,35
96,2016-11-06,10,34
97,2016-11-13,10,36
98,2016-11-20,11,26
99,2016-11-27,14,33
100,2016-12-04,17,37
101,2016-12-11,11,34
102,2016-12-18,10,30
103,2016-12-25,10,26
104,2017-01-01,10,31
105,2017-01-08,9,36
106,2017-01-15,11,34
107,2017-01-22,11,37
108,2017-01-29,10,36
109,2017-02-05,10,36
110,2017-02-12,11,35
111,2017-02-19,9,32
112,2017-02-26,10,35
113,2017-03-05,10,35
114,2017-03-12,9,36
115,2017-03-19,10,36
116,2017-03-26,9,36
117,2017-04-02,8,35
118,2017-04-09,10,32
119,2017-04-16,12,34
120,2017-04-23,10,38
121,2017-04-30,10,35
122,2017-05-07,10,38
123,2017-05-14,10,39
124,2017-05-21,10,36
125,2017-05-28,9,36
126,2017-06-04,8,37
127,2017-06-11,9,35
128,2017-06-18,8,28
129,2017-06-25,9,30
130,2017-07-02,10,28
131,2017-07-09,9,30
132,2017-07-16,9,28
133,2017-07-23,10,34
134,2017-07-30,10,28
135,2017-08-06,9,32
136,2017-08-13,9,37
137,2017-08-20,9,41
138,2017-08-27,9,40
139,2017-09-03,10,40
140,2017-09-10,10,42
141,2017-09-17,10,39
142,2017-09-24,10,41
143,2017-10-01,9,38
144,2017-10-08,8,38
145,2017-10-15,9,42
146,2017-10-22,9,43
147,2017-10-29,8,35
148,2017-11-05,10,37
149,2017-11-12,8,39
150,2017-11-19,8,33
151,2017-11-26,8,34
152,2017-12-03,8,35
153,2017-12-10,8,38
154,2017-12-17,8,30
155,2017-12-24,9,28
156,2017-12-31,8,28
157,2018-01-07,8,34
158,2018-01-14,8,34
159,2018-01-21,9,39
160,2018-01-28,9,41
161,2018-02-04,8,44
162,2018-02-11,9,40
163,2018-02-18,9,37
164,2018-02-25,9,37
165,2018-03-04,11,37
166,2018-03-11,9,38
167,2018-03-18,9,37
168,2018-03-25,10,33
169,2018-04-01,9,38
170,2018-04-08,10,40
171,2018-04-15,9,37
172,2018-04-22,10,39
173,2018-04-29,9,37
174,2018-05-06,10,38
175,2018-05-13,12,34
176,2018-05-20,11,35
177,2018-05-27,9,34
178,2018-06-03,11,31
179,2018-06-10,11,31
180,2018-06-17,10,33
181,2018-06-24,9,30
182,2018-07-01,11,28
183,2018-07-08,10,28
184,2018-07-15,9,28
185,2018-07-22,10,33
186,2018-07-29,9,34
187,2018-08-05,10,32
188,2018-08-12,9,36
189,2018-08-19,9,42
190,2018-08-26,9,43
191,2018-09-02,9,42
192,2018-09-09,9,41
193,2018-09-16,9,41
194,2018-09-23,9,39
195,2018-09-30,7,42
196,2018-10-07,9,40
197,2018-10-14,8,39
198,2018-10-21,9,42
199,2018-10-28,7,36
200,2018-11-04,9,35
201,2018-11-11,9,35
202,2018-11-18,29,32
203,2018-11-25,45,38
204,2018-12-02,19,39
205,2018-12-09,16,38
206,2018-12-16,13,33
207,2018-12-23,14,28
208,2018-12-30,11,29
209,2019-01-06,12,37
210,2019-01-13,13,34
211,2019-01-20,11,35
212,2019-01-27,11,40
213,2019-02-03,11,42
214,2019-02-10,12,40
215,2019-02-17,12,35
216,2019-02-24,10,38
217,2019-03-03,11,38
218,2019-03-10,11,36
219,2019-03-17,11,37
220,2019-03-24,20,36
221,2019-03-31,22,35
222,2019-04-07,12,35
223,2019-04-14,12,36
224,2019-04-21,12,37
225,2019-04-28,13,38
226,2019-05-05,13,38
227,2019-05-12,19,37
228,2019-05-19,14,36
229,2019-05-26,12,37
230,2019-06-02,12,36
231,2019-06-09,10,30
