,date,Bruno Mars,Alphabet
0,2015-01-04,23,26
1,2015-01-11,30,28
2,2015-01-18,26,26
3,2015-01-25,25,32
4,2015-02-01,35,25
5,2015-02-08,24,25
6,2015-02-15,23,26
7,2015-02-22,20,20
8,2015-03-01,20,26
9,2015-03-08,15,23
10,2015-03-15,19,24
11,2015-03-22,21,20
12,2015-03-29,16,25
13,2015-04-05,16,27
14,2015-04-12,13,30
15,2015-04-19,14,24
16,2015-04-26,17,20
17,2015-05-03,19,24
18,2015-05-10,12,28
19,2015-05-17,12,23
20,2015-05-24,13,21
21,2015-05-31,11,24
22,2015-06-07,14,26
23,2015-06-14,12,25
24,2015-06-21,7,23
25,2015-06-28,11,23
26,2015-07-05,11,21
27,2015-07-12,8,17
28,2015-07-19,11,23
29,2015-07-26,7,22
30,2015-08-02,8,23
31,2015-08-09,7,49
32,2015-08-16,7,39
33,2015-08-23,6,35
34,2015-08-30,11,33
35,2015-09-06,12,33
36,2015-09-13,5,33
37,2015-09-20,5,29
38,2015-09-27,7,36
39,2015-10-04,7,32
40,2015-10-11,9,37
41,2015-10-18,5,33
42,2015-10-25,5,34
43,2015-11-01,7,28
44,2015-11-08,9,25
45,2015-11-15,5,30
46,2015-11-22,8,23
47,2015-11-29,5,24
48,2015-12-06,4,30
49,2015-12-13,6,26
50,2015-12-20,9,25
51,2015-12-27,7,19
52,2016-01-03,8,28
53,2016-01-10,6,21
54,2016-01-17,8,23
55,2016-01-24,6,24
56,2016-01-31,10,28
57,2016-02-07,84,29
58,2016-02-14,22,23
59,2016-02-21,10,24
60,2016-02-28,9,25
61,2016-03-06,7,25
62,2016-03-13,10,24
63,2016-03-20,10,21
64,2016-03-27,8,26
65,2016-04-03,7,25
66,2016-04-10,6,26
67,2016-04-17,9,25
68,2016-04-24,8,22
69,2016-05-01,6,26
70,2016-05-08,7,24
71,2016-05-15,11,25
72,2016-05-22,8,20
73,2016-05-29,6,21
74,2016-06-05,6,18
75,2016-06-12,6,19
76,2016-06-19,8,19
77,2016-06-26,5,18
78,2016-07-03,7,24
79,2016-07-10,6,22
80,2016-07-17,4,14
81,2016-07-24,6,20
82,2016-07-31,4,22
83,2016-08-07,4,22
84,2016-08-14,8,20
85,2016-08-21,7,32
86,2016-08-28,6,30
87,2016-09-04,6,26
88,2016-09-11,5,28
89,2016-09-18,6,28
90,2016-09-25,4,25
91,2016-10-02,14,26
92,2016-10-09,19,22
93,2016-10-16,25,27
94,2016-10-23,14,21
95,2016-10-30,15,21
96,2016-11-06,12,24
97,2016-11-13,40,24
98,2016-11-20,68,20
99,2016-11-27,21,24
100,2016-12-04,27,27
101,2016-12-11,50,21
102,2016-12-18,28,27
103,2016-12-25,24,23
104,2017-01-01,24,22
105,2017-01-08,18,27
106,2017-01-15,17,25
107,2017-01-22,12,27
108,2017-01-29,21,25
109,2017-02-05,27,24
110,2017-02-12,100,23
111,2017-02-19,30,24
112,2017-02-26,27,24
113,2017-03-05,39,28
114,2017-03-12,26,25
115,2017-03-19,25,23
116,2017-03-26,26,20
117,2017-04-02,19,26
118,2017-04-09,21,26
119,2017-04-16,17,24
120,2017-04-23,26,25
121,2017-04-30,21,29
122,2017-05-07,19,30
123,2017-05-14,17,23
124,2017-05-21,29,21
125,2017-05-28,27,21
126,2017-06-04,15,23
127,2017-06-11,22,20
128,2017-06-18,19,21
129,2017-06-25,27,21
130,2017-07-02,21,18
131,2017-07-09,20,20
132,2017-07-16,24,21
133,2017-07-23,17,19
134,2017-07-30,21,20
135,2017-08-06,17,23
136,2017-08-13,22,20
137,2017-08-20,17,26
138,2017-08-27,17,28
139,2017-09-03,16,24
140,2017-09-10,13,29
141,2017-09-17,17,24
142,2017-09-24,12,32
143,2017-10-01,15,28
144,2017-10-08,18,25
145,2017-10-15,20,31
146,2017-10-22,19,26
147,2017-10-29,55,26
148,2017-11-05,16,26
149,2017-11-12,12,31
150,2017-11-19,12,22
151,2017-11-26,28,27
152,2017-12-03,17,30
153,2017-12-10,13,26
