,date,Coldplay,Alphabet
0,2015-01-04,5,21
1,2015-01-11,5,23
2,2015-01-18,5,21
3,2015-01-25,8,26
4,2015-02-01,7,20
5,2015-02-08,7,20
6,2015-02-15,5,21
7,2015-02-22,5,16
8,2015-03-01,7,21
9,2015-03-08,5,19
10,2015-03-15,6,19
11,2015-03-22,5,16
12,2015-03-29,4,20
13,2015-04-05,3,22
14,2015-04-12,5,24
15,2015-04-19,4,19
16,2015-04-26,6,16
17,2015-05-03,4,20
18,2015-05-10,5,22
19,2015-05-17,9,18
20,2015-05-24,5,17
21,2015-05-31,6,19
22,2015-06-07,6,21
23,2015-06-14,5,20
24,2015-06-21,5,19
25,2015-06-28,4,18
26,2015-07-05,4,17
27,2015-07-12,3,14
28,2015-07-19,5,19
29,2015-07-26,5,18
30,2015-08-02,6,18
31,2015-08-09,5,39
32,2015-08-16,8,32
33,2015-08-23,5,28
34,2015-08-30,3,27
35,2015-09-06,5,26
36,2015-09-13,4,27
37,2015-09-20,6,23
38,2015-09-27,4,29
39,2015-10-04,4,25
40,2015-10-11,5,30
41,2015-10-18,3,26
42,2015-10-25,1,27
43,2015-11-01,8,23
44,2015-11-08,11,20
45,2015-11-15,6,24
46,2015-11-22,12,19
47,2015-11-29,18,19
48,2015-12-06,13,24
49,2015-12-13,15,21
50,2015-12-20,12,20
51,2015-12-27,8,15
52,2016-01-03,8,22
53,2016-01-10,8,17
54,2016-01-17,10,19
55,2016-01-24,16,20
56,2016-01-31,28,23
57,2016-02-07,100,23
58,2016-02-14,12,19
59,2016-02-21,8,19
60,2016-02-28,5,20
61,2016-03-06,8,20
62,2016-03-13,10,20
63,2016-03-20,6,17
64,2016-03-27,7,21
65,2016-04-03,10,20
66,2016-04-10,21,21
67,2016-04-17,9,20
68,2016-04-24,8,18
69,2016-05-01,7,21
70,2016-05-08,6,19
71,2016-05-15,9,20
72,2016-05-22,8,16
73,2016-05-29,8,17
74,2016-06-05,8,14
75,2016-06-12,8,15
76,2016-06-19,8,16
77,2016-06-26,6,14
78,2016-07-03,8,19
79,2016-07-10,9,18
80,2016-07-17,12,11
81,2016-07-24,10,16
82,2016-07-31,8,18
83,2016-08-07,9,17
84,2016-08-14,11,16
85,2016-08-21,19,26
86,2016-08-28,44,24
87,2016-09-04,10,21
88,2016-09-11,5,23
89,2016-09-18,5,23
90,2016-09-25,6,20
91,2016-10-02,6,21
92,2016-10-09,6,18
93,2016-10-16,6,22
94,2016-10-23,4,17
95,2016-10-30,5,17
96,2016-11-06,4,19
97,2016-11-13,6,20
98,2016-11-20,6,16
99,2016-11-27,3,20
100,2016-12-04,3,22
101,2016-12-11,4,17
102,2016-12-18,4,22
103,2016-12-25,3,18
104,2017-01-01,5,18
105,2017-01-08,4,22
106,2017-01-15,4,20
107,2017-01-22,5,22
108,2017-01-29,4,20
109,2017-02-05,5,20
110,2017-02-12,6,19
111,2017-02-19,8,19
112,2017-02-26,6,19
113,2017-03-05,7,22
114,2017-03-12,6,20
115,2017-03-19,5,18
116,2017-03-26,7,17
117,2017-04-02,4,21
118,2017-04-09,4,21
119,2017-04-16,6,19
120,2017-04-23,4,20
121,2017-04-30,5,23
122,2017-05-07,6,24
123,2017-05-14,5,18
124,2017-05-21,5,17
125,2017-05-28,6,17
126,2017-06-04,7,19
127,2017-06-11,7,16
128,2017-06-18,5,17
129,2017-06-25,6,17
130,2017-07-02,3,14
131,2017-07-09,7,16
132,2017-07-16,6,17
133,2017-07-23,7,15
134,2017-07-30,7,16
135,2017-08-06,6,19
136,2017-08-13,7,16
137,2017-08-20,6,21
138,2017-08-27,7,23
139,2017-09-03,4,20
140,2017-09-10,4,23
141,2017-09-17,5,20
142,2017-09-24,6,26
143,2017-10-01,6,23
144,2017-10-08,4,20
145,2017-10-15,3,25
146,2017-10-22,3,21
147,2017-10-29,6,21
148,2017-11-05,5,21
149,2017-11-12,3,25
150,2017-11-19,4,18
151,2017-11-26,2,21
152,2017-12-03,5,24
153,2017-12-10,5,21
154,2017-12-17,5,18
155,2017-12-24,5,14
156,2017-12-31,4,14
157,2018-01-07,4,21
158,2018-01-14,2,21
159,2018-01-21,3,21
160,2018-01-28,5,20
161,2018-02-04,4,24
162,2018-02-11,11,24
163,2018-02-18,4,24
164,2018-02-25,5,24
165,2018-03-04,4,20
166,2018-03-11,3,20
167,2018-03-18,5,19
168,2018-03-25,3,18
169,2018-04-01,5,18
170,2018-04-08,3,21
171,2018-04-15,5,18
172,2018-04-22,3,18
173,2018-04-29,4,17
174,2018-05-06,3,22
175,2018-05-13,1,21
176,2018-05-20,3,17
177,2018-05-27,4,16
178,2018-06-03,2,15
179,2018-06-10,3,15
180,2018-06-17,2,15
181,2018-06-24,0,16
182,2018-07-01,2,16
183,2018-07-08,3,16
184,2018-07-15,4,16
185,2018-07-22,4,19
186,2018-07-29,5,18
187,2018-08-05,3,16
188,2018-08-12,2,21
189,2018-08-19,4,25
190,2018-08-26,4,24
191,2018-09-02,2,21
192,2018-09-09,4,22
