,date,Metallica,Alphabet
0,2015-01-04,4,13
1,2015-01-11,3,14
2,2015-01-18,2,13
3,2015-01-25,4,16
4,2015-02-01,3,12
5,2015-02-08,3,12
6,2015-02-15,3,13
7,2015-02-22,5,10
8,2015-03-01,3,13
9,2015-03-08,3,11
10,2015-03-15,6,12
11,2015-03-22,5,10
12,2015-03-29,2,12
13,2015-04-05,3,13
14,2015-04-12,4,15
15,2015-04-19,4,12
16,2015-04-26,3,10
17,2015-05-03,3,12
18,2015-05-10,4,14
19,2015-05-17,5,11
20,2015-05-24,5,11
21,2015-05-31,4,12
22,2015-06-07,3,13
23,2015-06-14,5,13
24,2015-06-21,4,11
25,2015-06-28,5,11
26,2015-07-05,4,11
27,2015-07-12,3,9
28,2015-07-19,4,12
29,2015-07-26,3,11
30,2015-08-02,4,11
31,2015-08-09,5,24
32,2015-08-16,4,20
33,2015-08-23,5,17
34,2015-08-30,4,17
35,2015-09-06,4,16
36,2015-09-13,3,16
37,2015-09-20,4,14
38,2015-09-27,4,18
39,2015-10-04,3,16
40,2015-10-11,5,18
41,2015-10-18,4,16
42,2015-10-25,3,17
43,2015-11-01,5,14
44,2015-11-08,5,12
45,2015-11-15,4,15
46,2015-11-22,5,12
47,2015-11-29,4,12
48,2015-12-06,4,15
49,2015-12-13,3,13
50,2015-12-20,4,13
51,2015-12-27,6,9
52,2016-01-03,3,14
53,2016-01-10,3,10
54,2016-01-17,4,11
55,2016-01-24,4,12
56,2016-01-31,6,14
57,2016-02-07,9,14
58,2016-02-14,6,12
59,2016-02-21,4,12
60,2016-02-28,3,13
61,2016-03-06,4,12
62,2016-03-13,4,12
63,2016-03-20,4,10
64,2016-03-27,5,13
65,2016-04-03,5,12
66,2016-04-10,4,13
67,2016-04-17,5,12
68,2016-04-24,3,11
69,2016-05-01,3,13
70,2016-05-08,4,12
71,2016-05-15,3,12
72,2016-05-22,4,10
73,2016-05-29,3,11
74,2016-06-05,6,9
75,2016-06-12,4,9
76,2016-06-19,3,10
77,2016-06-26,4,9
78,2016-07-03,4,12
79,2016-07-10,3,11
80,2016-07-17,5,7
81,2016-07-24,3,10
82,2016-07-31,2,11
83,2016-08-07,2,11
84,2016-08-14,9,10
85,2016-08-21,10,16
86,2016-08-28,5,15
87,2016-09-04,6,13
88,2016-09-11,4,14
89,2016-09-18,5,14
90,2016-09-25,10,12
91,2016-10-02,5,13
92,2016-10-09,6,11
93,2016-10-16,7,13
94,2016-10-23,6,11
95,2016-10-30,7,11
96,2016-11-06,6,12
97,2016-11-13,19,12
98,2016-11-20,14,10
99,2016-11-27,7,12
100,2016-12-04,7,14
101,2016-12-11,6,10
102,2016-12-18,8,13
103,2016-12-25,5,11
104,2017-01-01,5,11
105,2017-01-08,6,14
106,2017-01-15,6,12
107,2017-01-22,5,13
108,2017-01-29,4,12
109,2017-02-05,5,12
110,2017-02-12,68,11
111,2017-02-19,19,12
112,2017-02-26,14,12
113,2017-03-05,10,14
114,2017-03-12,10,12
115,2017-03-19,9,11
116,2017-03-26,8,10
117,2017-04-02,8,13
118,2017-04-09,8,13
119,2017-04-16,7,12
120,2017-04-23,10,12
121,2017-04-30,9,14
122,2017-05-07,10,15
123,2017-05-14,11,11
124,2017-05-21,14,10
125,2017-05-28,18,10
126,2017-06-04,100,12
127,2017-06-11,15,10
128,2017-06-18,7,10
129,2017-06-25,6,10
130,2017-07-02,6,9
131,2017-07-09,5,10
132,2017-07-16,6,10
133,2017-07-23,6,10
134,2017-07-30,7,10
