,date,Bruno Mars,Alphabet
0,2015-01-04,13,23
1,2015-01-11,26,23
2,2015-01-18,23,22
3,2015-01-25,21,18
4,2015-02-01,26,21
5,2015-02-08,13,24
6,2015-02-15,17,26
7,2015-02-22,12,21
8,2015-03-01,21,22
9,2015-03-08,16,27
10,2015-03-15,13,22
11,2015-03-22,12,18
12,2015-03-29,15,24
13,2015-04-05,14,27
14,2015-04-12,3,24
15,2015-04-19,11,28
16,2015-04-26,7,25
17,2015-05-03,11,21
18,2015-05-10,9,26
19,2015-05-17,10,19
20,2015-05-24,10,23
21,2015-05-31,9,18
22,2015-06-07,10,15
23,2015-06-14,8,17
24,2015-06-21,5,17
25,2015-06-28,9,13
26,2015-07-05,9,18
27,2015-07-12,11,15
28,2015-07-19,10,24
29,2015-07-26,3,16
30,2015-08-02,7,14
31,2015-08-09,9,46
32,2015-08-16,5,24
33,2015-08-23,7,26
34,2015-08-30,10,34
35,2015-09-06,5,35
36,2015-09-13,6,32
37,2015-09-20,6,26
38,2015-09-27,5,31
39,2015-10-04,7,33
40,2015-10-11,6,30
41,2015-10-18,6,26
42,2015-10-25,4,25
43,2015-11-01,7,25
44,2015-11-08,5,29
45,2015-11-15,8,25
46,2015-11-22,12,25
47,2015-11-29,7,27
48,2015-12-06,3,26
49,2015-12-13,7,26
50,2015-12-20,9,19
51,2015-12-27,7,20
52,2016-01-03,5,19
53,2016-01-10,5,25
54,2016-01-17,8,18
55,2016-01-24,8,25
56,2016-01-31,13,29
57,2016-02-07,66,27
58,2016-02-14,22,19
59,2016-02-21,10,24
60,2016-02-28,7,23
61,2016-03-06,5,23
62,2016-03-13,8,25
63,2016-03-20,7,18
64,2016-03-27,6,23
65,2016-04-03,5,27
66,2016-04-10,7,20
67,2016-04-17,7,26
68,2016-04-24,8,25
69,2016-05-01,7,19
70,2016-05-08,4,21
71,2016-05-15,10,19
72,2016-05-22,9,24
73,2016-05-29,12,28
74,2016-06-05,8,21
75,2016-06-12,7,11
76,2016-06-19,0,23
77,2016-06-26,7,21
78,2016-07-03,7,20
79,2016-07-10,9,18
80,2016-07-17,17,20
81,2016-07-24,11,19
82,2016-07-31,8,25
83,2016-08-07,7,13
84,2016-08-14,6,17
85,2016-08-21,6,19
86,2016-08-28,5,28
87,2016-09-04,7,30
88,2016-09-11,6,26
89,2016-09-18,6,25
90,2016-09-25,8,20
91,2016-10-02,38,27
92,2016-10-09,18,21
93,2016-10-16,27,28
94,2016-10-23,12,27
95,2016-10-30,17,21
96,2016-11-06,13,21
97,2016-11-13,25,25
98,2016-11-20,50,18
99,2016-11-27,15,21
100,2016-12-04,21,27
101,2016-12-11,54,26
102,2016-12-18,22,23
103,2016-12-25,23,14
104,2017-01-01,20,23
105,2017-01-08,17,23
106,2017-01-15,13,23
107,2017-01-22,11,24
108,2017-01-29,16,24
109,2017-02-05,21,23
110,2017-02-12,100,22
111,2017-02-19,28,25
112,2017-02-26,27,20
113,2017-03-05,32,22
114,2017-03-12,22,25
115,2017-03-19,25,20
116,2017-03-26,18,29
117,2017-04-02,22,25
118,2017-04-09,18,19
119,2017-04-16,22,21
120,2017-04-23,22,22
121,2017-04-30,17,23
122,2017-05-07,19,23
123,2017-05-14,21,26
124,2017-05-21,35,23
125,2017-05-28,27,22
126,2017-06-04,16,24
127,2017-06-11,22,19
128,2017-06-18,14,19
129,2017-06-25,39,15
130,2017-07-02,18,18
131,2017-07-09,18,19
132,2017-07-16,19,15
133,2017-07-23,16,19
134,2017-07-30,11,16
135,2017-08-06,18,15
136,2017-08-13,24,14
137,2017-08-20,21,18
138,2017-08-27,16,22
139,2017-09-03,17,29
140,2017-09-10,17,24
141,2017-09-17,14,32
142,2017-09-24,16,23
143,2017-10-01,24,28
144,2017-10-08,17,24
145,2017-10-15,12,28
146,2017-10-22,11,25
147,2017-10-29,12,24
148,2017-11-05,8,27
149,2017-11-12,8,20
150,2017-11-19,11,19
151,2017-11-26,19,29
152,2017-12-03,15,20
153,2017-12-10,10,22
154,2017-12-17,11,22
155,2017-12-24,12,20
156,2017-12-31,32,21
157,2018-01-07,18,25
158,2018-01-14,16,14
159,2018-01-21,24,29
160,2018-01-28,89,28
161,2018-02-04,29,29
162,2018-02-11,26,24
163,2018-02-18,18,22
164,2018-02-25,18,21
165,2018-03-04,17,22
166,2018-03-11,21,21
167,2018-03-18,17,27
168,2018-03-25,18,21
169,2018-04-01,13,24
170,2018-04-08,15,24
