,date,Guns N' Roses,Alphabet
0,2015-01-04,4,37
1,2015-01-11,6,37
2,2015-01-18,5,35
3,2015-01-25,10,30
4,2015-02-01,9,34
5,2015-02-08,10,39
6,2015-02-15,4,42
7,2015-02-22,8,34
8,2015-03-01,5,36
9,2015-03-08,9,43
10,2015-03-15,4,35
11,2015-03-22,6,28
12,2015-03-29,11,39
13,2015-04-05,5,43
14,2015-04-12,7,39
15,2015-04-19,4,45
16,2015-04-26,3,41
17,2015-05-03,0,33
18,2015-05-10,13,41
19,2015-05-17,10,30
20,2015-05-24,5,38
21,2015-05-31,13,28
22,2015-06-07,6,24
23,2015-06-14,5,28
24,2015-06-21,3,27
25,2015-06-28,19,20
26,2015-07-05,3,28
27,2015-07-12,8,24
28,2015-07-19,8,39
29,2015-07-26,9,25
30,2015-08-02,6,22
31,2015-08-09,6,73
32,2015-08-16,7,38
33,2015-08-23,0,42
34,2015-08-30,5,55
35,2015-09-06,8,56
36,2015-09-13,0,51
37,2015-09-20,8,41
38,2015-09-27,5,51
39,2015-10-04,7,53
40,2015-10-11,4,48
41,2015-10-18,0,41
42,2015-10-25,4,39
43,2015-11-01,0,41
44,2015-11-08,9,46
45,2015-11-15,11,41
46,2015-11-22,6,40
47,2015-11-29,2,43
48,2015-12-06,0,42
49,2015-12-13,3,42
50,2015-12-20,11,30
51,2015-12-27,31,32
52,2016-01-03,42,30
53,2016-01-10,15,40
54,2016-01-17,22,30
55,2016-01-24,16,40
56,2016-01-31,15,46
57,2016-02-07,17,43
58,2016-02-14,12,30
59,2016-02-21,12,38
60,2016-02-28,12,37
61,2016-03-06,11,36
62,2016-03-13,13,40
63,2016-03-20,19,29
64,2016-03-27,31,37
65,2016-04-03,78,43
66,2016-04-10,36,32
67,2016-04-17,36,41
68,2016-04-24,29,40
69,2016-05-01,15,31
70,2016-05-08,12,34
71,2016-05-15,16,31
72,2016-05-22,11,38
73,2016-05-29,8,45
74,2016-06-05,14,33
75,2016-06-12,15,18
76,2016-06-19,23,37
77,2016-06-26,23,33
78,2016-07-03,22,32
79,2016-07-10,33,28
80,2016-07-17,100,32
81,2016-07-24,43,31
82,2016-07-31,23,40
83,2016-08-07,12,20
84,2016-08-14,7,27
85,2016-08-21,15,30
86,2016-08-28,11,46
87,2016-09-04,11,48
88,2016-09-11,10,41
89,2016-09-18,9,40
90,2016-09-25,3,32
91,2016-10-02,11,43
92,2016-10-09,6,33
93,2016-10-16,14,45
94,2016-10-23,9,44
95,2016-10-30,5,34
96,2016-11-06,8,34
97,2016-11-13,6,39
98,2016-11-20,10,28
99,2016-11-27,7,34
100,2016-12-04,17,43
101,2016-12-11,10,41
102,2016-12-18,7,36
103,2016-12-25,10,23
104,2017-01-01,9,38
105,2017-01-08,9,36
106,2017-01-15,7,36
107,2017-01-22,8,39
108,2017-01-29,9,39
109,2017-02-05,12,37
110,2017-02-12,13,35
111,2017-02-19,7,39
112,2017-02-26,6,31
113,2017-03-05,8,35
114,2017-03-12,5,39
115,2017-03-19,5,32
116,2017-03-26,7,47
117,2017-04-02,9,39
118,2017-04-09,6,30
119,2017-04-16,8,33
120,2017-04-23,7,35
121,2017-04-30,8,37
122,2017-05-07,13,37
123,2017-05-14,7,41
124,2017-05-21,13,37
125,2017-05-28,12,35
126,2017-06-04,7,38
127,2017-06-11,12,31
128,2017-06-18,16,30
129,2017-06-25,8,24
130,2017-07-02,7,28
131,2017-07-09,17,30
132,2017-07-16,42,23
133,2017-07-23,61,30
134,2017-07-30,29,25
135,2017-08-06,20,25
136,2017-08-13,21,23
137,2017-08-20,16,29
138,2017-08-27,16,35
139,2017-09-03,15,46
140,2017-09-10,10,39
141,2017-09-17,14,52
142,2017-09-24,15,37
143,2017-10-01,18,44
144,2017-10-08,37,38
145,2017-10-15,40,45
146,2017-10-22,99,41
147,2017-10-29,14,39
148,2017-11-05,9,43
149,2017-11-12,7,33
150,2017-11-19,5,30
151,2017-11-26,5,46
152,2017-12-03,5,33
153,2017-12-10,4,35
154,2017-12-17,4,35
155,2017-12-24,4,32
156,2017-12-31,10,33
157,2018-01-07,8,40
158,2018-01-14,4,22
159,2018-01-21,6,46
160,2018-01-28,5,45
161,2018-02-04,11,46
162,2018-02-11,11,39
163,2018-02-18,2,35
164,2018-02-25,12,34
165,2018-03-04,3,35
166,2018-03-11,0,33
167,2018-03-18,11,43
168,2018-03-25,6,34
169,2018-04-01,5,38
170,2018-04-08,9,39
171,2018-04-15,7,37
172,2018-04-22,6,33
173,2018-04-29,11,32
174,2018-05-06,13,39
175,2018-05-13,5,31
176,2018-05-20,8,30
177,2018-05-27,6,31
178,2018-06-03,7,47
179,2018-06-10,8,42
180,2018-06-17,6,33
181,2018-06-24,12,31
182,2018-07-01,7,29
183,2018-07-08,6,26
184,2018-07-15,12,25
185,2018-07-22,11,31
186,2018-07-29,8,27
187,2018-08-05,8,23
188,2018-08-12,4,28
189,2018-08-19,5,27
190,2018-08-26,8,36
191,2018-09-02,5,50
192,2018-09-09,3,42
193,2018-09-16,5,49
194,2018-09-23,4,48
195,2018-09-30,6,37
196,2018-10-07,10,40
197,2018-10-14,7,51
198,2018-10-21,11,48
199,2018-10-28,8,38
200,2018-11-04,5,38
201,2018-11-11,6,37
202,2018-11-18,10,32
203,2018-11-25,5,32
204,2018-12-02,5,40
205,2018-12-09,5,46
206,2018-12-16,5,25
207,2018-12-23,8,27
208,2018-12-30,7,37
209,2019-01-06,7,40
210,2019-01-13,4,32
211,2019-01-20,8,39
212,2019-01-27,7,43
213,2019-02-03,6,44
214,2019-02-10,9,37
215,2019-02-17,6,34
216,2019-02-24,9,34
217,2019-03-03,3,37
218,2019-03-10,9,37
219,2019-03-17,6,39
220,2019-03-24,4,38
221,2019-03-31,10,34
222,2019-04-07,8,33
223,2019-04-14,7,27
224,2019-04-21,7,36
225,2019-04-28,7,34
226,2019-05-05,5,31
227,2019-05-12,6,32
228,2019-05-19,7,33
229,2019-05-26,4,31
230,2019-06-02,6,30
231,2019-06-09,4,28
232,2019-06-16,7,27
233,2019-06-23,10,23
234,2019-06-30,6,21
235,2019-07-07,7,30
236,2019-07-14,8,14
237,2019-07-21,1,33
238,2019-07-28,6,29
239,2019-08-04,7,28
240,2019-08-11,4,25
241,2019-08-18,11,32
242,2019-08-25,3,40
243,2019-09-01,8,43
244,2019-09-08,5,51
245,2019-09-15,9,46
246,2019-09-22,5,46
247,2019-09-29,6,44
248,2019-10-06,5,42
249,2019-10-13,7,36
250,2019-10-20,8,33
251,2019-10-27,10,53
252,2019-11-03,5,45
253,2019-11-10,8,41
254,2019-11-17,5,36
255,2019-11-24,5,31
256,2019-12-01,5,38
257,2019-12-08,6,37
258,2019-12-15,4,34
259,2019-12-22,3,23
260,2019-12-29,2,37
