,date,Pink,Alphabet
0,2015-01-04,11,44
1,2015-01-11,13,44
2,2015-01-18,4,42
3,2015-01-25,8,35
4,2015-02-01,0,41
5,2015-02-08,5,47
6,2015-02-15,3,51
7,2015-02-22,8,41
8,2015-03-01,6,43
9,2015-03-08,7,52
10,2015-03-15,3,42
11,2015-03-22,5,34
12,2015-03-29,12,46
13,2015-04-05,0,52
14,2015-04-12,25,46
15,2015-04-19,15,54
16,2015-04-26,9,49
17,2015-05-03,6,40
18,2015-05-10,12,49
19,2015-05-17,4,36
20,2015-05-24,0,45
21,2015-05-31,7,34
22,2015-06-07,10,29
23,2015-06-14,5,33
24,2015-06-21,6,32
25,2015-06-28,8,24
26,2015-07-05,4,34
27,2015-07-12,12,29
28,2015-07-19,11,47
29,2015-07-26,12,30
30,2015-08-02,9,27
31,2015-08-09,9,88
32,2015-08-16,10,45
33,2015-08-23,5,50
34,2015-08-30,9,66
35,2015-09-06,8,67
36,2015-09-13,0,62
37,2015-09-20,7,49
38,2015-09-27,7,60
39,2015-10-04,7,63
40,2015-10-11,0,58
41,2015-10-18,16,49
42,2015-10-25,4,47
43,2015-11-01,7,48
44,2015-11-08,4,55
45,2015-11-15,4,49
46,2015-11-22,6,48
47,2015-11-29,0,51
48,2015-12-06,13,50
49,2015-12-13,8,50
50,2015-12-20,3,36
51,2015-12-27,12,38
52,2016-01-03,8,36
53,2016-01-10,8,48
54,2016-01-17,5,35
55,2016-01-24,10,47
56,2016-01-31,11,55
57,2016-02-07,3,51
58,2016-02-14,11,36
59,2016-02-21,12,45
60,2016-02-28,8,44
61,2016-03-06,6,43
62,2016-03-13,7,47
63,2016-03-20,5,34
64,2016-03-27,5,44
65,2016-04-03,5,51
66,2016-04-10,8,39
67,2016-04-17,8,49
68,2016-04-24,14,47
69,2016-05-01,16,37
70,2016-05-08,17,40
71,2016-05-15,18,37
72,2016-05-22,31,46
73,2016-05-29,21,54
74,2016-06-05,5,40
75,2016-06-12,18,22
76,2016-06-19,16,44
77,2016-06-26,11,39
78,2016-07-03,11,38
79,2016-07-10,15,34
80,2016-07-17,9,39
81,2016-07-24,10,37
82,2016-07-31,11,47
83,2016-08-07,17,24
84,2016-08-14,7,32
85,2016-08-21,6,36
86,2016-08-28,6,55
87,2016-09-04,10,57
88,2016-09-11,13,49
89,2016-09-18,5,47
90,2016-09-25,9,39
91,2016-10-02,9,51
92,2016-10-09,12,40
93,2016-10-16,9,53
94,2016-10-23,0,52
95,2016-10-30,7,41
96,2016-11-06,14,41
97,2016-11-13,14,47
98,2016-11-20,10,34
99,2016-11-27,12,40
100,2016-12-04,12,51
101,2016-12-11,4,50
102,2016-12-18,2,43
103,2016-12-25,14,28
104,2017-01-01,13,45
105,2017-01-08,7,43
106,2017-01-15,7,43
107,2017-01-22,8,47
108,2017-01-29,13,46
109,2017-02-05,8,44
110,2017-02-12,8,42
111,2017-02-19,11,47
112,2017-02-26,4,37
113,2017-03-05,7,42
114,2017-03-12,2,47
115,2017-03-19,7,38
116,2017-03-26,7,56
117,2017-04-02,3,47
118,2017-04-09,11,36
119,2017-04-16,7,40
120,2017-04-23,8,42
121,2017-04-30,3,44
122,2017-05-07,11,44
123,2017-05-14,7,49
124,2017-05-21,7,44
125,2017-05-28,6,42
126,2017-06-04,7,46
127,2017-06-11,7,37
128,2017-06-18,4,36
129,2017-06-25,0,29
130,2017-07-02,12,34
131,2017-07-09,12,36
132,2017-07-16,9,28
133,2017-07-23,13,36
134,2017-07-30,5,30
135,2017-08-06,14,29
136,2017-08-13,20,27
137,2017-08-20,15,34
138,2017-08-27,53,42
139,2017-09-03,14,56
140,2017-09-10,15,47
141,2017-09-17,17,62
142,2017-09-24,10,44
143,2017-10-01,24,53
144,2017-10-08,57,45
