,date,The Rolling Stones,Alphabet
0,2015-01-04,7,51
1,2015-01-11,6,50
2,2015-01-18,23,47
3,2015-01-25,11,40
4,2015-02-01,11,47
5,2015-02-08,21,54
6,2015-02-15,30,58
7,2015-02-22,8,47
8,2015-03-01,17,49
9,2015-03-08,13,59
10,2015-03-15,26,47
11,2015-03-22,14,39
12,2015-03-29,49,53
13,2015-04-05,34,59
14,2015-04-12,52,53
15,2015-04-19,13,61
16,2015-04-26,21,55
17,2015-05-03,17,46
18,2015-05-10,14,56
19,2015-05-17,20,41
20,2015-05-24,34,51
21,2015-05-31,16,38
22,2015-06-07,30,33
23,2015-06-14,21,38
24,2015-06-21,15,37
25,2015-06-28,34,28
26,2015-07-05,21,38
27,2015-07-12,26,33
28,2015-07-19,19,53
29,2015-07-26,17,35
30,2015-08-02,16,30
31,2015-08-09,16,100
32,2015-08-16,17,52
33,2015-08-23,25,57
34,2015-08-30,12,75
35,2015-09-06,14,77
36,2015-09-13,20,70
37,2015-09-20,19,56
38,2015-09-27,13,69
39,2015-10-04,14,73
40,2015-10-11,10,66
41,2015-10-18,14,56
42,2015-10-25,13,54
43,2015-11-01,12,55
44,2015-11-08,18,63
45,2015-11-15,15,56
46,2015-11-22,15,55
47,2015-11-29,15,58
48,2015-12-06,12,57
49,2015-12-13,23,57
50,2015-12-20,22,42
51,2015-12-27,18,43
52,2016-01-03,12,41
53,2016-01-10,15,54
54,2016-01-17,23,40
55,2016-01-24,15,54
56,2016-01-31,24,63
57,2016-02-07,22,58
58,2016-02-14,21,41
59,2016-02-21,20,52
60,2016-02-28,22,50
61,2016-03-06,12,50
62,2016-03-13,21,54
63,2016-03-20,22,39
64,2016-03-27,18,50
65,2016-04-03,10,59
66,2016-04-10,18,44
67,2016-04-17,9,56
68,2016-04-24,14,54
69,2016-05-01,36,42
70,2016-05-08,17,46
71,2016-05-15,17,42
72,2016-05-22,21,52
73,2016-05-29,19,62
74,2016-06-05,14,45
75,2016-06-12,19,25
76,2016-06-19,13,50
77,2016-06-26,21,45
78,2016-07-03,19,43
79,2016-07-10,21,38
80,2016-07-17,14,44
81,2016-07-24,18,42
82,2016-07-31,11,54
83,2016-08-07,13,28
84,2016-08-14,24,37
85,2016-08-21,20,41
86,2016-08-28,13,62
87,2016-09-04,13,65
88,2016-09-11,10,56
89,2016-09-18,15,54
90,2016-09-25,14,44
91,2016-10-02,22,59
92,2016-10-09,17,45
93,2016-10-16,10,61
94,2016-10-23,22,59
95,2016-10-30,22,46
96,2016-11-06,15,46
97,2016-11-13,16,54
98,2016-11-20,24,38
99,2016-11-27,27,46
100,2016-12-04,34,59
101,2016-12-11,16,57
102,2016-12-18,24,49
103,2016-12-25,20,32
104,2017-01-01,17,51
105,2017-01-08,26,50
106,2017-01-15,23,50
107,2017-01-22,18,53
108,2017-01-29,12,53
109,2017-02-05,19,51
110,2017-02-12,13,47
111,2017-02-19,18,54
112,2017-02-26,16,43
113,2017-03-05,15,48
114,2017-03-12,17,54
115,2017-03-19,16,43
116,2017-03-26,16,64
117,2017-04-02,22,54
118,2017-04-09,17,41
119,2017-04-16,15,45
120,2017-04-23,17,48
121,2017-04-30,9,50
122,2017-05-07,11,51
123,2017-05-14,15,56
124,2017-05-21,25,50
125,2017-05-28,15,48
126,2017-06-04,10,52
127,2017-06-11,16,42
128,2017-06-18,19,41
129,2017-06-25,18,33
130,2017-07-02,22,38
131,2017-07-09,18,41
132,2017-07-16,9,32
133,2017-07-23,21,41
134,2017-07-30,15,34
135,2017-08-06,11,34
136,2017-08-13,14,31
137,2017-08-20,20,39
138,2017-08-27,17,48
139,2017-09-03,16,63
140,2017-09-10,16,54
141,2017-09-17,13,71
142,2017-09-24,15,51
143,2017-10-01,11,61
144,2017-10-08,21,52
145,2017-10-15,16,62
146,2017-10-22,21,55
147,2017-10-29,19,53
148,2017-11-05,19,59
149,2017-11-12,13,44
