,date,Coldplay,Alphabet
0,2015-01-04,13,22
1,2015-01-11,10,20
2,2015-01-18,18,23
3,2015-01-25,8,13
4,2015-02-01,0,30
5,2015-02-08,0,12
6,2015-02-15,11,29
7,2015-02-22,10,27
8,2015-03-01,0,37
9,2015-03-08,0,14
10,2015-03-15,8,18
11,2015-03-22,6,30
12,2015-03-29,0,0
13,2015-04-05,12,10
14,2015-04-12,0,14
15,2015-04-19,12,23
16,2015-04-26,0,31
17,2015-05-03,0,17
18,2015-05-10,0,10
19,2015-05-17,17,14
20,2015-05-24,0,17
21,2015-05-31,13,14
22,2015-06-07,21,23
23,2015-06-14,10,16
24,2015-06-21,0,11
25,2015-06-28,6,32
26,2015-07-05,0,0
27,2015-07-12,14,17
28,2015-07-19,6,21
29,2015-07-26,0,17
30,2015-08-02,0,8
31,2015-08-09,0,33
32,2015-08-16,0,23
33,2015-08-23,0,0
34,2015-08-30,0,16
35,2015-09-06,6,34
36,2015-09-13,6,37
37,2015-09-20,7,22
38,2015-09-27,0,31
39,2015-10-04,0,50
40,2015-10-11,0,28
41,2015-10-18,14,24
42,2015-10-25,10,18
43,2015-11-01,0,27
44,2015-11-08,5,20
45,2015-11-15,11,28
46,2015-11-22,0,26
47,2015-11-29,25,20
48,2015-12-06,23,7
49,2015-12-13,17,18
50,2015-12-20,0,8
51,2015-12-27,20,28
52,2016-01-03,0,16
53,2016-01-10,9,11
54,2016-01-17,0,10
55,2016-01-24,25,10
56,2016-01-31,46,28
57,2016-02-07,100,16
58,2016-02-14,11,21
59,2016-02-21,8,9
60,2016-02-28,8,22
61,2016-03-06,0,28
62,2016-03-13,8,19
63,2016-03-20,5,23
64,2016-03-27,0,10
65,2016-04-03,10,18
66,2016-04-10,0,13
67,2016-04-17,0,13
68,2016-04-24,14,30
69,2016-05-01,0,4
70,2016-05-08,0,19
71,2016-05-15,12,16
72,2016-05-22,7,10
73,2016-05-29,9,23
74,2016-06-05,0,10
75,2016-06-12,4,25
76,2016-06-19,0,12
77,2016-06-26,11,22
78,2016-07-03,13,19
79,2016-07-10,4,8
80,2016-07-17,14,11
81,2016-07-24,9,9
82,2016-07-31,33,14
83,2016-08-07,13,14
84,2016-08-14,14,18
85,2016-08-21,17,33
86,2016-08-28,9,16
87,2016-09-04,8,18
88,2016-09-11,8,24
89,2016-09-18,5,19
90,2016-09-25,0,27
91,2016-10-02,4,32
92,2016-10-09,8,0
93,2016-10-16,8,30
94,2016-10-23,12,21
95,2016-10-30,0,22
96,2016-11-06,4,19
97,2016-11-13,0,20
98,2016-11-20,7,12
99,2016-11-27,5,13
100,2016-12-04,10,23
101,2016-12-11,0,22
102,2016-12-18,8,11
103,2016-12-25,11,14
104,2017-01-01,0,22
105,2017-01-08,0,21
106,2017-01-15,0,25
107,2017-01-22,13,21
108,2017-01-29,5,19
109,2017-02-05,8,15
110,2017-02-12,5,21
111,2017-02-19,5,21
112,2017-02-26,9,30
113,2017-03-05,5,31
114,2017-03-12,11,29
115,2017-03-19,0,21
116,2017-03-26,4,27
117,2017-04-02,13,24
118,2017-04-09,8,16
119,2017-04-16,0,23
120,2017-04-23,0,19
121,2017-04-30,5,19
122,2017-05-07,11,25
123,2017-05-14,5,19
124,2017-05-21,8,22
125,2017-05-28,0,4
126,2017-06-04,4,11
127,2017-06-11,6,18
128,2017-06-18,7,13
129,2017-06-25,0,10
130,2017-07-02,9,13
131,2017-07-09,5,9
132,2017-07-16,0,22
133,2017-07-23,9,26
134,2017-07-30,19,23
135,2017-08-06,11,19
136,2017-08-13,9,10
137,2017-08-20,10,7
138,2017-08-27,7,20
139,2017-09-03,12,20
140,2017-09-10,0,30
141,2017-09-17,0,28
142,2017-09-24,0,42
143,2017-10-01,0,27
144,2017-10-08,0,20
145,2017-10-15,0,14
146,2017-10-22,8,18
147,2017-10-29,4,22
148,2017-11-05,16,20
149,2017-11-12,0,30
150,2017-11-19,4,24
151,2017-11-26,0,15
152,2017-12-03,0,22
153,2017-12-10,0,12
154,2017-12-17,5,15
155,2017-12-24,8,15
156,2017-12-31,5,14
157,2018-01-07,0,17
158,2018-01-14,0,23
159,2018-01-21,4,25
160,2018-01-28,0,20
161,2018-02-04,0,21
162,2018-02-11,8,12
163,2018-02-18,0,14
164,2018-02-25,0,18
165,2018-03-04,5,25
166,2018-03-11,10,23
167,2018-03-18,4,17
168,2018-03-25,5,14
169,2018-04-01,0,20
170,2018-04-08,0,16
171,2018-04-15,5,16
172,2018-04-22,11,14
173,2018-04-29,4,21
174,2018-05-06,0,32
175,2018-05-13,4,31
176,2018-05-20,9,18
177,2018-05-27,0,16
178,2018-06-03,11,15
179,2018-06-10,0,14
180,2018-06-17,9,16
181,2018-06-24,4,20
182,2018-07-01,8,16
183,2018-07-08,3,15
184,2018-07-15,14,5
185,2018-07-22,6,13
186,2018-07-29,0,18
187,2018-08-05,0,15
188,2018-08-12,0,16
189,2018-08-19,5,13
190,2018-08-26,0,9
191,2018-09-02,0,13
192,2018-09-09,4,18
193,2018-09-16,0,16
194,2018-09-23,3,13
195,2018-09-30,0,17
196,2018-10-07,5,27
197,2018-10-14,7,29
198,2018-10-21,3,18
199,2018-10-28,0,23
200,2018-11-04,8,16
201,2018-11-11,3,28
202,2018-11-18,0,12
203,2018-11-25,8,12
204,2018-12-02,0,16
205,2018-12-09,3,16
206,2018-12-16,4,16
207,2018-12-23,0,8
208,2018-12-30,0,26
209,2019-01-06,0,0
210,2019-01-13,0,0
211,2019-01-20,0,0
212,2019-01-27,7,24
213,2019-02-03,0,0
214,2019-02-10,0,0
215,2019-02-17,0,0
216,2019-02-24,0,16
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,5,18
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,4,27
223,2019-04-14,0,0
224,2019-04-21,0,26
225,2019-04-28,5,32
226,2019-05-05,0,0
227,2019-05-12,0,0
228,2019-05-19,0,0
229,2019-05-26,0,0
230,2019-06-02,0,16
231,2019-06-09,0,9
232,2019-06-16,0,0
233,2019-06-23,10,19
234,2019-06-30,0,0
235,2019-07-07,0,0
236,2019-07-14,0,0
237,2019-07-21,0,0
238,2019-07-28,0,0
239,2019-08-04,0,0
240,2019-08-11,0,0
241,2019-08-18,0,0
242,2019-08-25,0,0
243,2019-09-01,0,0
244,2019-09-08,0,0
245,2019-09-15,0,0
246,2019-09-22,0,0
247,2019-09-29,0,0
248,2019-10-06,0,0
249,2019-10-13,0,23
250,2019-10-20,0,0
251,2019-10-27,0,0
252,2019-11-03,0,0
253,2019-11-10,0,0
254,2019-11-17,0,0
255,2019-11-24,0,0
256,2019-12-01,0,0
257,2019-12-08,0,0
258,2019-12-15,0,0
259,2019-12-22,7,15
260,2019-12-29,4,30
