,date,Ed Sheeran,Alphabet
0,2015-01-04,35,23
1,2015-01-11,85,21
2,2015-01-18,38,24
3,2015-01-25,37,14
4,2015-02-01,36,32
5,2015-02-08,67,12
6,2015-02-15,33,30
7,2015-02-22,41,28
8,2015-03-01,30,39
9,2015-03-08,24,15
10,2015-03-15,21,18
11,2015-03-22,21,32
12,2015-03-29,0,0
13,2015-04-05,16,10
14,2015-04-12,14,15
15,2015-04-19,16,24
16,2015-04-26,11,32
17,2015-05-03,20,18
18,2015-05-10,8,11
19,2015-05-17,15,14
20,2015-05-24,12,18
21,2015-05-31,21,15
22,2015-06-07,0,24
23,2015-06-14,7,17
24,2015-06-21,16,12
25,2015-06-28,23,33
26,2015-07-05,19,0
27,2015-07-12,15,17
28,2015-07-19,11,22
29,2015-07-26,24,18
30,2015-08-02,12,8
31,2015-08-09,18,34
32,2015-08-16,18,23
33,2015-08-23,12,0
34,2015-08-30,28,17
35,2015-09-06,18,36
36,2015-09-13,14,39
37,2015-09-20,18,24
38,2015-09-27,27,33
39,2015-10-04,23,53
40,2015-10-11,24,30
41,2015-10-18,0,24
42,2015-10-25,13,19
43,2015-11-01,6,28
44,2015-11-08,9,21
45,2015-11-15,7,28
46,2015-11-22,9,27
47,2015-11-29,13,21
48,2015-12-06,0,7
49,2015-12-13,13,19
50,2015-12-20,13,9
51,2015-12-27,0,30
52,2016-01-03,8,17
53,2016-01-10,0,12
54,2016-01-17,12,10
55,2016-01-24,5,10
56,2016-01-31,11,29
57,2016-02-07,13,17
58,2016-02-14,22,22
59,2016-02-21,10,10
60,2016-02-28,0,23
61,2016-03-06,0,30
62,2016-03-13,5,20
63,2016-03-20,4,24
64,2016-03-27,8,10
65,2016-04-03,4,17
66,2016-04-10,6,14
67,2016-04-17,5,14
68,2016-04-24,6,32
69,2016-05-01,10,4
70,2016-05-08,0,20
71,2016-05-15,0,16
72,2016-05-22,10,11
73,2016-05-29,0,24
74,2016-06-05,6,11
75,2016-06-12,9,26
76,2016-06-19,0,12
77,2016-06-26,0,21
78,2016-07-03,10,20
79,2016-07-10,0,9
80,2016-07-17,0,12
81,2016-07-24,5,9
82,2016-07-31,11,15
83,2016-08-07,14,16
84,2016-08-14,5,19
85,2016-08-21,9,34
86,2016-08-28,4,16
87,2016-09-04,8,19
88,2016-09-11,6,25
89,2016-09-18,10,20
90,2016-09-25,0,29
91,2016-10-02,0,33
92,2016-10-09,0,0
93,2016-10-16,11,33
94,2016-10-23,13,22
95,2016-10-30,8,23
96,2016-11-06,0,21
97,2016-11-13,8,21
98,2016-11-20,4,13
99,2016-11-27,0,14
100,2016-12-04,0,24
101,2016-12-11,4,23
102,2016-12-18,0,11
103,2016-12-25,5,14
104,2017-01-01,31,22
105,2017-01-08,8,24
106,2017-01-15,11,27
107,2017-01-22,16,23
108,2017-01-29,16,20
109,2017-02-05,20,16
110,2017-02-12,47,22
111,2017-02-19,33,22
112,2017-02-26,45,30
113,2017-03-05,100,33
114,2017-03-12,64,28
115,2017-03-19,39,22
116,2017-03-26,20,29
117,2017-04-02,23,26
118,2017-04-09,30,17
119,2017-04-16,28,24
120,2017-04-23,9,20
121,2017-04-30,0,21
122,2017-05-07,11,26
123,2017-05-14,16,20
124,2017-05-21,27,22
125,2017-05-28,25,4
126,2017-06-04,31,12
127,2017-06-11,27,19
128,2017-06-18,34,14
129,2017-06-25,21,11
130,2017-07-02,35,13
131,2017-07-09,37,9
132,2017-07-16,59,23
133,2017-07-23,21,27
134,2017-07-30,16,24
135,2017-08-06,14,20
136,2017-08-13,8,10
137,2017-08-20,12,7
138,2017-08-27,13,21
139,2017-09-03,11,21
140,2017-09-10,7,31
141,2017-09-17,8,29
142,2017-09-24,16,47
143,2017-10-01,11,27
144,2017-10-08,19,21
145,2017-10-15,28,15
146,2017-10-22,23,19
147,2017-10-29,9,24
148,2017-11-05,25,21
149,2017-11-12,15,32
150,2017-11-19,19,24
151,2017-11-26,19,16
152,2017-12-03,40,24
153,2017-12-10,27,12
154,2017-12-17,29,16
155,2017-12-24,31,15
156,2017-12-31,24,15
157,2018-01-07,34,18
158,2018-01-14,30,24
159,2018-01-21,38,27
160,2018-01-28,37,22
161,2018-02-04,20,23
162,2018-02-11,23,13
163,2018-02-18,17,14
164,2018-02-25,25,18
165,2018-03-04,19,26
166,2018-03-11,16,24
167,2018-03-18,15,18
168,2018-03-25,7,14
169,2018-04-01,23,21
170,2018-04-08,10,16
171,2018-04-15,8,17
172,2018-04-22,4,15
173,2018-04-29,7,22
174,2018-05-06,0,34
175,2018-05-13,10,33
176,2018-05-20,11,19
177,2018-05-27,16,16
178,2018-06-03,13,16
179,2018-06-10,16,16
180,2018-06-17,15,17
181,2018-06-24,25,20
182,2018-07-01,13,17
183,2018-07-08,11,16
184,2018-07-15,17,6
185,2018-07-22,0,13
186,2018-07-29,10,18
187,2018-08-05,16,16
188,2018-08-12,7,17
189,2018-08-19,6,13
190,2018-08-26,8,10
191,2018-09-02,0,13
192,2018-09-09,12,19
193,2018-09-16,21,17
194,2018-09-23,48,13
195,2018-09-30,12,18
196,2018-10-07,12,29
197,2018-10-14,10,30
198,2018-10-21,4,20
199,2018-10-28,12,23
200,2018-11-04,3,16
201,2018-11-11,9,30
202,2018-11-18,0,12
203,2018-11-25,6,12
204,2018-12-02,4,16
205,2018-12-09,0,16
206,2018-12-16,6,17
207,2018-12-23,0,8
208,2018-12-30,0,28
209,2019-01-06,0,0
210,2019-01-13,0,0
211,2019-01-20,0,0
212,2019-01-27,0,25
213,2019-02-03,0,0
214,2019-02-10,0,0
215,2019-02-17,0,0
216,2019-02-24,0,17
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,0,19
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,11,28
223,2019-04-14,0,0
224,2019-04-21,10,27
225,2019-04-28,9,33
226,2019-05-05,0,0
227,2019-05-12,0,0
228,2019-05-19,0,0
229,2019-05-26,0,0
230,2019-06-02,8,16
231,2019-06-09,4,10
232,2019-06-16,0,0
233,2019-06-23,21,20
234,2019-06-30,0,0
235,2019-07-07,0,0
236,2019-07-14,0,0
237,2019-07-21,0,0
238,2019-07-28,0,0
239,2019-08-04,0,0
240,2019-08-11,0,0
