,date,Pink,Alphabet
0,2015-01-04,12,44
1,2015-01-11,0,41
2,2015-01-18,14,46
3,2015-01-25,0,26
4,2015-02-01,15,60
5,2015-02-08,23,24
6,2015-02-15,16,58
7,2015-02-22,0,53
8,2015-03-01,0,73
9,2015-03-08,0,29
10,2015-03-15,0,35
11,2015-03-22,0,61
12,2015-03-29,11,0
13,2015-04-05,0,20
14,2015-04-12,24,29
15,2015-04-19,26,46
16,2015-04-26,0,61
17,2015-05-03,0,34
18,2015-05-10,15,20
19,2015-05-17,20,27
20,2015-05-24,14,35
21,2015-05-31,0,28
22,2015-06-07,0,46
23,2015-06-14,0,32
24,2015-06-21,0,23
25,2015-06-28,27,63
26,2015-07-05,0,0
27,2015-07-12,15,34
28,2015-07-19,20,41
29,2015-07-26,12,34
30,2015-08-02,0,15
31,2015-08-09,0,66
32,2015-08-16,0,46
33,2015-08-23,0,0
34,2015-08-30,0,32
35,2015-09-06,53,68
36,2015-09-13,12,74
37,2015-09-20,0,44
38,2015-09-27,0,62
39,2015-10-04,16,100
40,2015-10-11,23,55
41,2015-10-18,12,47
42,2015-10-25,27,36
43,2015-11-01,0,54
44,2015-11-08,0,40
45,2015-11-15,0,55
46,2015-11-22,0,51
47,2015-11-29,14,40
48,2015-12-06,11,13
49,2015-12-13,0,35
50,2015-12-20,16,17
51,2015-12-27,38,56
52,2016-01-03,16,32
53,2016-01-10,0,22
54,2016-01-17,0,20
55,2016-01-24,0,19
56,2016-01-31,9,55
57,2016-02-07,30,32
58,2016-02-14,0,42
59,2016-02-21,7,19
60,2016-02-28,8,44
61,2016-03-06,27,56
62,2016-03-13,0,38
63,2016-03-20,0,46
64,2016-03-27,9,20
65,2016-04-03,0,35
66,2016-04-10,10,26
67,2016-04-17,0,27
68,2016-04-24,9,59
69,2016-05-01,14,7
70,2016-05-08,23,38
71,2016-05-15,11,31
72,2016-05-22,36,20
73,2016-05-29,32,45
74,2016-06-05,21,20
75,2016-06-12,8,50
76,2016-06-19,0,23
77,2016-06-26,14,43
78,2016-07-03,10,38
79,2016-07-10,9,17
80,2016-07-17,0,23
81,2016-07-24,8,18
82,2016-07-31,27,28
83,2016-08-07,0,28
84,2016-08-14,0,36
85,2016-08-21,18,65
86,2016-08-28,0,32
87,2016-09-04,13,35
88,2016-09-11,15,47
89,2016-09-18,0,39
90,2016-09-25,13,54
91,2016-10-02,0,63
92,2016-10-09,10,0
93,2016-10-16,18,60
94,2016-10-23,0,42
95,2016-10-30,12,43
96,2016-11-06,12,39
97,2016-11-13,31,40
98,2016-11-20,0,25
99,2016-11-27,0,27
100,2016-12-04,0,46
101,2016-12-11,6,44
102,2016-12-18,23,22
103,2016-12-25,24,27
104,2017-01-01,0,44
105,2017-01-08,0,41
106,2017-01-15,0,50
107,2017-01-22,17,42
108,2017-01-29,0,37
109,2017-02-05,11,31
110,2017-02-12,10,41
111,2017-02-19,0,42
112,2017-02-26,8,59
113,2017-03-05,0,62
114,2017-03-12,0,58
115,2017-03-19,19,42
116,2017-03-26,0,54
117,2017-04-02,0,48
118,2017-04-09,18,32
119,2017-04-16,9,45
120,2017-04-23,10,38
121,2017-04-30,17,39
122,2017-05-07,9,50
123,2017-05-14,0,38
124,2017-05-21,9,44
125,2017-05-28,7,8
126,2017-06-04,22,23
127,2017-06-11,11,36
128,2017-06-18,0,26
129,2017-06-25,10,20
130,2017-07-02,12,25
131,2017-07-09,31,17
132,2017-07-16,0,45
133,2017-07-23,9,52
134,2017-07-30,13,46
135,2017-08-06,0,37
136,2017-08-13,25,20
137,2017-08-20,24,13
138,2017-08-27,50,40
