,date,The Rolling Stones,Alphabet
0,2015-01-04,0,44
1,2015-01-11,18,40
2,2015-01-18,0,46
3,2015-01-25,0,26
4,2015-02-01,25,59
5,2015-02-08,0,23
6,2015-02-15,0,57
7,2015-02-22,11,52
8,2015-03-01,10,73
9,2015-03-08,19,28
10,2015-03-15,15,35
11,2015-03-22,0,60
12,2015-03-29,15,0
13,2015-04-05,41,20
14,2015-04-12,16,28
15,2015-04-19,0,45
16,2015-04-26,0,61
17,2015-05-03,19,33
18,2015-05-10,12,20
19,2015-05-17,0,27
20,2015-05-24,0,34
21,2015-05-31,100,28
22,2015-06-07,41,46
23,2015-06-14,0,32
24,2015-06-21,20,23
25,2015-06-28,0,62
26,2015-07-05,0,0
27,2015-07-12,14,34
28,2015-07-19,19,41
29,2015-07-26,45,34
30,2015-08-02,0,15
31,2015-08-09,0,65
32,2015-08-16,0,45
33,2015-08-23,0,0
34,2015-08-30,31,31
35,2015-09-06,22,68
36,2015-09-13,0,74
37,2015-09-20,29,43
38,2015-09-27,0,62
39,2015-10-04,31,99
40,2015-10-11,0,55
41,2015-10-18,0,47
42,2015-10-25,13,35
43,2015-11-01,22,53
44,2015-11-08,24,40
45,2015-11-15,0,54
46,2015-11-22,16,51
47,2015-11-29,18,39
48,2015-12-06,12,13
49,2015-12-13,0,35
50,2015-12-20,27,17
51,2015-12-27,0,55
52,2016-01-03,10,32
53,2016-01-10,11,21
54,2016-01-17,0,20
55,2016-01-24,18,19
56,2016-01-31,0,55
57,2016-02-07,0,32
58,2016-02-14,0,42
59,2016-02-21,0,18
60,2016-02-28,19,43
61,2016-03-06,0,56
62,2016-03-13,8,38
63,2016-03-20,21,46
64,2016-03-27,11,20
65,2016-04-03,19,35
66,2016-04-10,0,26
67,2016-04-17,7,26
68,2016-04-24,11,59
69,2016-05-01,15,7
70,2016-05-08,0,38
71,2016-05-15,0,31
72,2016-05-22,0,20
73,2016-05-29,13,45
74,2016-06-05,0,20
75,2016-06-12,0,50
76,2016-06-19,14,23
77,2016-06-26,0,42
78,2016-07-03,0,38
79,2016-07-10,9,16
80,2016-07-17,12,22
81,2016-07-24,18,18
82,2016-07-31,0,28
83,2016-08-07,18,28
84,2016-08-14,0,36
85,2016-08-21,13,64
86,2016-08-28,0,31
87,2016-09-04,8,35
88,2016-09-11,26,47
89,2016-09-18,0,38
90,2016-09-25,0,54
91,2016-10-02,16,63
92,2016-10-09,0,0
93,2016-10-16,18,60
94,2016-10-23,35,42
95,2016-10-30,10,43
96,2016-11-06,0,38
97,2016-11-13,10,40
98,2016-11-20,0,24
99,2016-11-27,8,26
100,2016-12-04,0,45
101,2016-12-11,32,43
102,2016-12-18,14,21
103,2016-12-25,0,27
104,2017-01-01,0,43
105,2017-01-08,0,41
106,2017-01-15,0,50
107,2017-01-22,11,42
108,2017-01-29,13,37
109,2017-02-05,22,30
110,2017-02-12,0,40
111,2017-02-19,18,41
112,2017-02-26,0,59
113,2017-03-05,0,62
114,2017-03-12,11,57
115,2017-03-19,27,41
116,2017-03-26,0,53
117,2017-04-02,0,48
118,2017-04-09,13,32
119,2017-04-16,0,45
120,2017-04-23,20,38
121,2017-04-30,6,38
122,2017-05-07,9,50
123,2017-05-14,26,38
124,2017-05-21,0,43
125,2017-05-28,17,8
