,date,U2,Alphabet
0,2015-01-04,0,43
1,2015-01-11,12,40
2,2015-01-18,22,45
3,2015-01-25,15,26
4,2015-02-01,18,59
5,2015-02-08,18,23
6,2015-02-15,12,57
7,2015-02-22,0,52
8,2015-03-01,19,72
9,2015-03-08,21,28
10,2015-03-15,0,34
11,2015-03-22,20,59
12,2015-03-29,0,0
13,2015-04-05,42,19
14,2015-04-12,24,28
15,2015-04-19,0,45
16,2015-04-26,13,60
17,2015-05-03,28,33
18,2015-05-10,12,20
19,2015-05-17,0,26
20,2015-05-24,38,34
21,2015-05-31,0,28
22,2015-06-07,15,45
23,2015-06-14,0,31
24,2015-06-21,21,22
25,2015-06-28,0,62
26,2015-07-05,0,0
27,2015-07-12,35,33
28,2015-07-19,69,41
29,2015-07-26,46,33
30,2015-08-02,0,15
31,2015-08-09,19,65
32,2015-08-16,0,45
33,2015-08-23,0,0
34,2015-08-30,0,31
35,2015-09-06,14,67
36,2015-09-13,0,73
37,2015-09-20,0,43
38,2015-09-27,0,61
39,2015-10-04,0,98
40,2015-10-11,41,54
41,2015-10-18,0,46
42,2015-10-25,11,35
43,2015-11-01,16,53
44,2015-11-08,0,39
45,2015-11-15,0,54
46,2015-11-22,21,50
47,2015-11-29,25,39
48,2015-12-06,0,13
49,2015-12-13,23,34
50,2015-12-20,21,16
51,2015-12-27,17,55
52,2016-01-03,9,32
53,2016-01-10,0,21
54,2016-01-17,0,20
55,2016-01-24,20,19
56,2016-01-31,0,54
57,2016-02-07,16,32
58,2016-02-14,0,42
59,2016-02-21,0,18
60,2016-02-28,12,43
61,2016-03-06,0,55
62,2016-03-13,0,37
63,2016-03-20,0,45
64,2016-03-27,20,19
65,2016-04-03,0,34
66,2016-04-10,13,26
67,2016-04-17,15,26
68,2016-04-24,0,58
69,2016-05-01,0,7
70,2016-05-08,8,38
71,2016-05-15,0,30
72,2016-05-22,17,20
73,2016-05-29,0,44
74,2016-06-05,17,20
75,2016-06-12,9,49
76,2016-06-19,0,23
77,2016-06-26,0,42
78,2016-07-03,8,37
79,2016-07-10,0,16
80,2016-07-17,15,22
81,2016-07-24,0,18
82,2016-07-31,0,27
83,2016-08-07,8,28
84,2016-08-14,9,35
85,2016-08-21,13,63
86,2016-08-28,14,31
87,2016-09-04,7,35
88,2016-09-11,0,46
89,2016-09-18,0,38
90,2016-09-25,16,53
91,2016-10-02,8,62
92,2016-10-09,0,0
93,2016-10-16,0,59
94,2016-10-23,0,41
95,2016-10-30,0,42
96,2016-11-06,0,38
97,2016-11-13,0,40
98,2016-11-20,33,24
99,2016-11-27,0,26
100,2016-12-04,0,45
101,2016-12-11,8,43
102,2016-12-18,0,21
103,2016-12-25,33,27
104,2017-01-01,0,43
105,2017-01-08,65,41
106,2017-01-15,35,49
107,2017-01-22,0,42
108,2017-01-29,0,36
109,2017-02-05,14,30
110,2017-02-12,0,40
111,2017-02-19,11,41
112,2017-02-26,15,58
113,2017-03-05,12,61
114,2017-03-12,20,56
115,2017-03-19,17,41
116,2017-03-26,7,53
117,2017-04-02,8,47
118,2017-04-09,23,32
119,2017-04-16,16,44
120,2017-04-23,7,37
121,2017-04-30,0,38
122,2017-05-07,0,49
123,2017-05-14,10,38
124,2017-05-21,26,43
125,2017-05-28,15,8
126,2017-06-04,38,22
127,2017-06-11,22,35
128,2017-06-18,100,25
129,2017-06-25,47,19
130,2017-07-02,0,25
131,2017-07-09,8,17
132,2017-07-16,0,44
133,2017-07-23,0,51
134,2017-07-30,11,45
135,2017-08-06,8,37
136,2017-08-13,0,20
137,2017-08-20,0,13
138,2017-08-27,0,40
139,2017-09-03,24,39
140,2017-09-10,13,58
141,2017-09-17,18,55
142,2017-09-24,22,83
143,2017-10-01,9,52
144,2017-10-08,17,39
145,2017-10-15,0,27
146,2017-10-22,16,35
147,2017-10-29,19,43
148,2017-11-05,25,39
149,2017-11-12,40,58
150,2017-11-19,26,46
151,2017-11-26,47,29
152,2017-12-03,41,44
153,2017-12-10,28,24
154,2017-12-17,15,30
155,2017-12-24,15,30
156,2017-12-31,16,28
157,2018-01-07,8,34
158,2018-01-14,17,44
159,2018-01-21,15,50
160,2018-01-28,37,40
161,2018-02-04,7,40
162,2018-02-11,6,23
163,2018-02-18,14,26
164,2018-02-25,9,36
165,2018-03-04,8,49
166,2018-03-11,15,45
167,2018-03-18,0,32
168,2018-03-25,14,27
169,2018-04-01,0,39
170,2018-04-08,0,31
171,2018-04-15,0,31
172,2018-04-22,0,28
173,2018-04-29,9,40
174,2018-05-06,8,62
175,2018-05-13,8,60
176,2018-05-20,14,35
177,2018-05-27,16,31
178,2018-06-03,18,29
179,2018-06-10,69,27
180,2018-06-17,0,30
181,2018-06-24,0,38
182,2018-07-01,15,32
183,2018-07-08,7,29
184,2018-07-15,0,11
185,2018-07-22,24,25
186,2018-07-29,11,35
187,2018-08-05,0,30
188,2018-08-12,10,30
189,2018-08-19,13,25
190,2018-08-26,11,18
191,2018-09-02,13,25
192,2018-09-09,16,36
193,2018-09-16,0,31
194,2018-09-23,0,25
195,2018-09-30,7,33
196,2018-10-07,13,53
197,2018-10-14,0,56
198,2018-10-21,0,35
199,2018-10-28,0,45
200,2018-11-04,19,31
201,2018-11-11,7,55
202,2018-11-18,0,23
203,2018-11-25,13,23
204,2018-12-02,10,31
205,2018-12-09,0,30
206,2018-12-16,12,32
207,2018-12-23,0,16
208,2018-12-30,11,52
209,2019-01-06,0,0
210,2019-01-13,0,0
211,2019-01-20,0,0
212,2019-01-27,0,47
213,2019-02-03,0,0
214,2019-02-10,0,0
215,2019-02-17,0,0
216,2019-02-24,0,31
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,7,35
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,12,52
223,2019-04-14,0,0
224,2019-04-21,8,50
225,2019-04-28,9,62
226,2019-05-05,0,0
227,2019-05-12,0,0
228,2019-05-19,0,0
229,2019-05-26,0,0
230,2019-06-02,0,31
231,2019-06-09,0,18
232,2019-06-16,0,0
233,2019-06-23,14,38
234,2019-06-30,0,0
235,2019-07-07,0,0
236,2019-07-14,0,0
237,2019-07-21,0,0
238,2019-07-28,0,0
239,2019-08-04,0,0
240,2019-08-11,0,0
241,2019-08-18,0,0
242,2019-08-25,0,0
243,2019-09-01,0,0
244,2019-09-08,0,0
245,2019-09-15,0,0
246,2019-09-22,0,0
247,2019-09-29,0,0
248,2019-10-06,0,0
249,2019-10-13,0,45
250,2019-10-20,0,0
251,2019-10-27,0,0
252,2019-11-03,0,0
253,2019-11-10,0,0
254,2019-11-17,0,0
255,2019-11-24,0,0
256,2019-12-01,0,0
257,2019-12-08,0,0
258,2019-12-15,0,0
259,2019-12-22,0,29
260,2019-12-29,5,59
