,date,Bruno Mars,Alphabet
0,2015-01-04,23,33
1,2015-01-11,37,33
2,2015-01-18,41,32
3,2015-01-25,37,35
4,2015-02-01,35,29
5,2015-02-08,31,28
6,2015-02-15,29,28
7,2015-02-22,25,33
8,2015-03-01,27,30
9,2015-03-08,23,32
10,2015-03-15,19,30
11,2015-03-22,22,29
12,2015-03-29,25,29
13,2015-04-05,18,30
14,2015-04-12,18,30
15,2015-04-19,18,32
16,2015-04-26,17,26
17,2015-05-03,15,28
18,2015-05-10,18,30
19,2015-05-17,16,32
20,2015-05-24,16,32
21,2015-05-31,19,26
22,2015-06-07,16,26
23,2015-06-14,17,25
24,2015-06-21,16,24
25,2015-06-28,11,27
26,2015-07-05,15,25
27,2015-07-12,11,25
28,2015-07-19,15,23
29,2015-07-26,15,26
30,2015-08-02,12,24
31,2015-08-09,11,56
32,2015-08-16,13,37
33,2015-08-23,9,42
34,2015-08-30,18,42
35,2015-09-06,13,38
36,2015-09-13,11,39
37,2015-09-20,11,35
38,2015-09-27,11,37
39,2015-10-04,11,42
40,2015-10-11,11,35
41,2015-10-18,12,35
42,2015-10-25,10,36
43,2015-11-01,9,32
44,2015-11-08,10,35
45,2015-11-15,9,35
46,2015-11-22,11,25
47,2015-11-29,9,31
48,2015-12-06,7,34
49,2015-12-13,9,29
50,2015-12-20,8,23
51,2015-12-27,11,25
52,2016-01-03,10,29
53,2016-01-10,10,27
54,2016-01-17,9,26
55,2016-01-24,9,28
56,2016-01-31,13,36
57,2016-02-07,89,27
58,2016-02-14,26,29
59,2016-02-21,14,28
60,2016-02-28,11,29
61,2016-03-06,9,27
62,2016-03-13,10,25
63,2016-03-20,10,25
64,2016-03-27,8,26
65,2016-04-03,10,32
66,2016-04-10,9,26
67,2016-04-17,9,25
68,2016-04-24,10,29
69,2016-05-01,7,24
70,2016-05-08,8,25
71,2016-05-15,12,30
72,2016-05-22,12,26
73,2016-05-29,11,28
74,2016-06-05,9,27
75,2016-06-12,7,24
76,2016-06-19,8,21
77,2016-06-26,8,21
78,2016-07-03,10,21
79,2016-07-10,9,24
80,2016-07-17,9,25
81,2016-07-24,9,23
82,2016-07-31,8,27
83,2016-08-07,7,26
84,2016-08-14,6,33
85,2016-08-21,8,43
86,2016-08-28,7,35
87,2016-09-04,8,33
88,2016-09-11,8,32
89,2016-09-18,7,37
90,2016-09-25,5,31
91,2016-10-02,21,26
92,2016-10-09,20,32
93,2016-10-16,29,30
94,2016-10-23,21,30
95,2016-10-30,21,28
96,2016-11-06,19,25
97,2016-11-13,47,26
98,2016-11-20,73,20
99,2016-11-27,30,28
100,2016-12-04,30,27
101,2016-12-11,60,27
102,2016-12-18,42,25
103,2016-12-25,31,24
104,2017-01-01,27,26
105,2017-01-08,23,25
106,2017-01-15,22,29
107,2017-01-22,20,29
108,2017-01-29,25,25
109,2017-02-05,29,28
110,2017-02-12,100,25
111,2017-02-19,40,25
112,2017-02-26,40,27
113,2017-03-05,46,26
114,2017-03-12,40,25
115,2017-03-19,37,27
116,2017-03-26,39,30
117,2017-04-02,36,28
118,2017-04-09,33,24
119,2017-04-16,32,26
120,2017-04-23,33,29
121,2017-04-30,34,26
122,2017-05-07,35,30
123,2017-05-14,35,28
124,2017-05-21,48,29
125,2017-05-28,40,30
126,2017-06-04,23,23
127,2017-06-11,36,24
128,2017-06-18,33,24
129,2017-06-25,63,25
130,2017-07-02,37,19
131,2017-07-09,29,25
132,2017-07-16,31,24
133,2017-07-23,27,23
134,2017-07-30,26,22
135,2017-08-06,30,26
136,2017-08-13,40,34
137,2017-08-20,28,40
138,2017-08-27,26,34
139,2017-09-03,20,22
140,2017-09-10,23,23
141,2017-09-17,26,29
142,2017-09-24,30,33
143,2017-10-01,33,33
144,2017-10-08,51,33
145,2017-10-15,97,32
146,2017-10-22,20,32
147,2017-10-29,16,32
148,2017-11-05,19,36
149,2017-11-12,14,30
150,2017-11-19,18,25
151,2017-11-26,31,29
152,2017-12-03,22,31
153,2017-12-10,16,29
154,2017-12-17,15,27
155,2017-12-24,18,23
156,2017-12-31,36,23
157,2018-01-07,27,27
158,2018-01-14,23,27
159,2018-01-21,39,30
160,2018-01-28,96,30
161,2018-02-04,34,34
162,2018-02-11,27,29
163,2018-02-18,21,29
164,2018-02-25,18,31
165,2018-03-04,23,28
166,2018-03-11,29,28
167,2018-03-18,24,28
168,2018-03-25,24,26
169,2018-04-01,18,28
170,2018-04-08,17,28
171,2018-04-15,18,30
172,2018-04-22,17,27
173,2018-04-29,17,28
174,2018-05-06,14,28
175,2018-05-13,18,30
176,2018-05-20,16,26
177,2018-05-27,15,28
178,2018-06-03,14,24
179,2018-06-10,13,27
180,2018-06-17,13,24
181,2018-06-24,12,25
182,2018-07-01,12,21
183,2018-07-08,14,21
184,2018-07-15,12,25
185,2018-07-22,16,29
186,2018-07-29,12,26
187,2018-08-05,13,27
188,2018-08-12,15,34
189,2018-08-19,14,43
190,2018-08-26,13,36
191,2018-09-02,14,32
192,2018-09-09,15,35
193,2018-09-16,17,30
194,2018-09-23,12,35
195,2018-09-30,12,34
196,2018-10-07,15,30
197,2018-10-14,14,29
198,2018-10-21,12,28
199,2018-10-28,11,28
200,2018-11-04,14,29
201,2018-11-11,16,28
202,2018-11-18,14,23
203,2018-11-25,13,28
204,2018-12-02,12,31
205,2018-12-09,10,30
206,2018-12-16,12,27
207,2018-12-23,13,22
208,2018-12-30,12,24
209,2019-01-06,9,28
210,2019-01-13,11,27
211,2019-01-20,9,28
212,2019-01-27,10,29
213,2019-02-03,15,30
214,2019-02-10,19,28
215,2019-02-17,16,31
216,2019-02-24,17,25
217,2019-03-03,21,28
218,2019-03-10,18,26
219,2019-03-17,14,25
220,2019-03-24,14,27
221,2019-03-31,12,26
222,2019-04-07,12,26
223,2019-04-14,12,26
224,2019-04-21,11,28
225,2019-04-28,11,28
226,2019-05-05,8,25
227,2019-05-12,10,31
228,2019-05-19,12,26
229,2019-05-26,11,24
230,2019-06-02,9,26
231,2019-06-09,10,23
232,2019-06-16,10,24
233,2019-06-23,8,27
234,2019-06-30,10,22
235,2019-07-07,10,25
236,2019-07-14,10,26
237,2019-07-21,8,27
238,2019-07-28,9,25
239,2019-08-04,9,27
240,2019-08-11,8,33
241,2019-08-18,8,36
242,2019-08-25,9,32
243,2019-09-01,8,27
244,2019-09-08,8,32
245,2019-09-15,7,32
246,2019-09-22,10,33
247,2019-09-29,9,31
248,2019-10-06,9,31
249,2019-10-13,8,32
250,2019-10-20,9,32
251,2019-10-27,6,32
252,2019-11-03,9,31
253,2019-11-10,8,29
254,2019-11-17,9,31
255,2019-11-24,8,24
256,2019-12-01,7,29
257,2019-12-08,7,28
258,2019-12-15,8,26
259,2019-12-22,9,22
260,2019-12-29,10,25
