,date,Coldplay,Alphabet
0,2015-01-04,6,24
1,2015-01-11,8,25
2,2015-01-18,5,24
3,2015-01-25,6,26
4,2015-02-01,6,22
5,2015-02-08,6,21
6,2015-02-15,5,21
7,2015-02-22,5,24
8,2015-03-01,6,22
9,2015-03-08,5,23
10,2015-03-15,6,22
11,2015-03-22,8,22
12,2015-03-29,6,22
13,2015-04-05,5,22
14,2015-04-12,5,22
15,2015-04-19,5,24
16,2015-04-26,6,19
17,2015-05-03,6,21
18,2015-05-10,7,22
19,2015-05-17,7,24
20,2015-05-24,6,23
21,2015-05-31,6,19
22,2015-06-07,7,19
23,2015-06-14,6,19
24,2015-06-21,7,18
25,2015-06-28,7,20
26,2015-07-05,5,19
27,2015-07-12,6,18
28,2015-07-19,6,17
29,2015-07-26,6,19
30,2015-08-02,5,18
31,2015-08-09,4,41
32,2015-08-16,6,27
33,2015-08-23,7,31
34,2015-08-30,6,31
35,2015-09-06,5,28
36,2015-09-13,5,29
37,2015-09-20,6,26
38,2015-09-27,6,27
39,2015-10-04,6,31
40,2015-10-11,5,26
41,2015-10-18,5,26
42,2015-10-25,5,27
43,2015-11-01,9,24
44,2015-11-08,9,26
45,2015-11-15,10,26
46,2015-11-22,20,18
47,2015-11-29,20,23
48,2015-12-06,18,25
49,2015-12-13,14,21
50,2015-12-20,13,17
51,2015-12-27,11,19
52,2016-01-03,10,21
53,2016-01-10,8,20
54,2016-01-17,9,19
55,2016-01-24,18,20
56,2016-01-31,25,27
57,2016-02-07,100,20
58,2016-02-14,13,21
59,2016-02-21,9,21
60,2016-02-28,9,21
61,2016-03-06,9,20
62,2016-03-13,10,18
63,2016-03-20,7,19
64,2016-03-27,8,19
65,2016-04-03,10,23
66,2016-04-10,10,19
67,2016-04-17,8,19
68,2016-04-24,11,21
69,2016-05-01,6,18
70,2016-05-08,6,19
71,2016-05-15,13,22
72,2016-05-22,7,20
73,2016-05-29,7,21
74,2016-06-05,8,20
75,2016-06-12,7,18
76,2016-06-19,8,16
77,2016-06-26,7,16
78,2016-07-03,8,16
79,2016-07-10,7,18
80,2016-07-17,12,19
81,2016-07-24,11,17
82,2016-07-31,8,20
83,2016-08-07,8,20
84,2016-08-14,9,24
85,2016-08-21,9,31
86,2016-08-28,8,26
87,2016-09-04,9,24
88,2016-09-11,5,23
