,date,Pink,Alphabet
0,2015-01-04,11,57
1,2015-01-11,10,58
2,2015-01-18,10,57
3,2015-01-25,10,62
4,2015-02-01,8,52
5,2015-02-08,14,49
6,2015-02-15,13,49
7,2015-02-22,10,57
8,2015-03-01,12,53
9,2015-03-08,9,55
10,2015-03-15,7,52
11,2015-03-22,11,51
12,2015-03-29,12,51
13,2015-04-05,9,52
14,2015-04-12,26,53
15,2015-04-19,10,56
16,2015-04-26,10,45
17,2015-05-03,10,49
18,2015-05-10,11,53
19,2015-05-17,10,56
20,2015-05-24,12,56
21,2015-05-31,10,46
22,2015-06-07,7,45
23,2015-06-14,12,44
24,2015-06-21,8,42
25,2015-06-28,11,47
26,2015-07-05,16,44
27,2015-07-12,12,43
28,2015-07-19,10,41
29,2015-07-26,9,46
30,2015-08-02,9,42
31,2015-08-09,10,98
32,2015-08-16,8,64
33,2015-08-23,8,73
34,2015-08-30,8,73
35,2015-09-06,18,66
36,2015-09-13,10,69
37,2015-09-20,9,60
38,2015-09-27,7,64
39,2015-10-04,9,73
40,2015-10-11,13,61
41,2015-10-18,11,61
42,2015-10-25,10,63
43,2015-11-01,11,56
44,2015-11-08,7,61
45,2015-11-15,10,61
46,2015-11-22,11,44
47,2015-11-29,13,54
48,2015-12-06,9,59
49,2015-12-13,9,50
50,2015-12-20,9,41
51,2015-12-27,11,44
52,2016-01-03,13,50
53,2016-01-10,9,47
54,2016-01-17,11,46
55,2016-01-24,10,48
56,2016-01-31,10,63
57,2016-02-07,12,47
58,2016-02-14,10,50
59,2016-02-21,10,50
60,2016-02-28,7,50
61,2016-03-06,11,47
62,2016-03-13,10,43
63,2016-03-20,7,44
64,2016-03-27,11,45
65,2016-04-03,9,56
66,2016-04-10,9,45
67,2016-04-17,11,44
68,2016-04-24,16,50
69,2016-05-01,17,42
70,2016-05-08,17,44
71,2016-05-15,21,52
72,2016-05-22,34,46
73,2016-05-29,21,49
74,2016-06-05,20,47
75,2016-06-12,14,42
76,2016-06-19,16,37
77,2016-06-26,14,37
78,2016-07-03,14,37
79,2016-07-10,12,42
80,2016-07-17,19,44
81,2016-07-24,21,41
82,2016-07-31,17,47
83,2016-08-07,14,46
84,2016-08-14,14,57
85,2016-08-21,12,74
86,2016-08-28,13,61
87,2016-09-04,12,58
88,2016-09-11,11,55
89,2016-09-18,11,64
90,2016-09-25,11,54
91,2016-10-02,9,45
92,2016-10-09,13,55
93,2016-10-16,10,52
94,2016-10-23,9,53
95,2016-10-30,12,48
96,2016-11-06,10,44
97,2016-11-13,17,46
98,2016-11-20,13,36
99,2016-11-27,9,48
100,2016-12-04,10,48
101,2016-12-11,12,47
102,2016-12-18,10,44
103,2016-12-25,15,42
104,2017-01-01,14,45
105,2017-01-08,10,43
106,2017-01-15,13,50
107,2017-01-22,9,51
108,2017-01-29,9,44
109,2017-02-05,11,49
110,2017-02-12,10,43
111,2017-02-19,11,44
112,2017-02-26,11,48
113,2017-03-05,10,45
114,2017-03-12,8,44
115,2017-03-19,8,47
116,2017-03-26,11,52
117,2017-04-02,12,50
118,2017-04-09,13,42
119,2017-04-16,9,46
120,2017-04-23,8,51
121,2017-04-30,9,46
122,2017-05-07,8,52
123,2017-05-14,10,50
124,2017-05-21,13,51
125,2017-05-28,10,53
126,2017-06-04,6,40
127,2017-06-11,7,43
128,2017-06-18,9,43
129,2017-06-25,11,44
130,2017-07-02,13,34
131,2017-07-09,12,44
132,2017-07-16,9,42
133,2017-07-23,13,39
134,2017-07-30,9,38
135,2017-08-06,14,46
136,2017-08-13,16,60
137,2017-08-20,16,70
138,2017-08-27,62,60
139,2017-09-03,21,39
140,2017-09-10,18,40
141,2017-09-17,18,52
142,2017-09-24,20,57
143,2017-10-01,36,57
144,2017-10-08,74,57
145,2017-10-15,55,57
146,2017-10-22,28,56
147,2017-10-29,31,56
148,2017-11-05,36,63
149,2017-11-12,28,53
150,2017-11-19,55,44
151,2017-11-26,26,51
152,2017-12-03,25,54
153,2017-12-10,23,51
154,2017-12-17,23,47
155,2017-12-24,23,40
156,2017-12-31,19,40
157,2018-01-07,23,48
158,2018-01-14,21,46
159,2018-01-21,23,52
160,2018-01-28,55,53
161,2018-02-04,100,60
162,2018-02-11,20,52
163,2018-02-18,38,51
164,2018-02-25,48,54
165,2018-03-04,48,49
166,2018-03-11,28,50
167,2018-03-18,29,49
168,2018-03-25,35,45
169,2018-04-01,28,50
170,2018-04-08,31,49
171,2018-04-15,44,52
172,2018-04-22,96,47
173,2018-04-29,53,49
174,2018-05-06,46,49
175,2018-05-13,37,52
176,2018-05-20,22,46
177,2018-05-27,22,50
178,2018-06-03,23,42
179,2018-06-10,24,47
180,2018-06-17,24,42
181,2018-06-24,20,43
182,2018-07-01,19,37
183,2018-07-08,21,37
184,2018-07-15,17,43
185,2018-07-22,24,50
186,2018-07-29,23,46
187,2018-08-05,24,46
188,2018-08-12,17,59
189,2018-08-19,23,74
190,2018-08-26,17,64
191,2018-09-02,15,56
192,2018-09-09,14,61
193,2018-09-16,16,52
194,2018-09-23,13,61
195,2018-09-30,12,59
196,2018-10-07,15,52
197,2018-10-14,12,51
198,2018-10-21,16,50
199,2018-10-28,16,48
200,2018-11-04,17,50
201,2018-11-11,18,49
202,2018-11-18,17,39
203,2018-11-25,19,49
204,2018-12-02,14,54
205,2018-12-09,16,53
206,2018-12-16,16,48
207,2018-12-23,16,39
208,2018-12-30,19,42
209,2019-01-06,17,49
210,2019-01-13,28,48
211,2019-01-20,28,49
212,2019-01-27,18,51
213,2019-02-03,24,52
214,2019-02-10,26,49
215,2019-02-17,26,54
216,2019-02-24,50,44
217,2019-03-03,69,48
218,2019-03-10,33,45
219,2019-03-17,34,44
220,2019-03-24,35,47
221,2019-03-31,28,45
222,2019-04-07,17,45
223,2019-04-14,17,45
224,2019-04-21,31,48
225,2019-04-28,26,49
226,2019-05-05,20,43
227,2019-05-12,18,54
228,2019-05-19,26,45
229,2019-05-26,39,41
230,2019-06-02,40,46
231,2019-06-09,35,40
232,2019-06-16,46,41
233,2019-06-23,29,47
234,2019-06-30,17,39
235,2019-07-07,16,43
236,2019-07-14,25,46
237,2019-07-21,32,47
