,date,The Rolling Stones,Alphabet
0,2015-01-04,8,40
1,2015-01-11,8,40
2,2015-01-18,11,39
3,2015-01-25,10,43
4,2015-02-01,7,36
5,2015-02-08,7,34
6,2015-02-15,9,34
7,2015-02-22,9,40
8,2015-03-01,9,36
9,2015-03-08,11,38
10,2015-03-15,29,36
11,2015-03-22,18,35
12,2015-03-29,54,35
13,2015-04-05,47,36
14,2015-04-12,41,37
15,2015-04-19,23,39
16,2015-04-26,19,31
17,2015-05-03,18,34
18,2015-05-10,18,36
19,2015-05-17,21,38
20,2015-05-24,26,38
21,2015-05-31,37,32
22,2015-06-07,100,31
23,2015-06-14,38,30
24,2015-06-21,16,29
25,2015-06-28,17,32
26,2015-07-05,17,30
27,2015-07-12,15,30
28,2015-07-19,12,28
29,2015-07-26,8,32
30,2015-08-02,7,29
31,2015-08-09,10,67
32,2015-08-16,11,44
33,2015-08-23,9,50
34,2015-08-30,8,51
35,2015-09-06,11,46
36,2015-09-13,8,47
37,2015-09-20,10,42
38,2015-09-27,8,44
39,2015-10-04,9,50
40,2015-10-11,9,42
41,2015-10-18,8,42
42,2015-10-25,10,44
43,2015-11-01,11,39
44,2015-11-08,10,42
45,2015-11-15,8,42
46,2015-11-22,10,30
47,2015-11-29,10,37
48,2015-12-06,9,41
49,2015-12-13,8,35
50,2015-12-20,12,28
51,2015-12-27,11,31
52,2016-01-03,9,35
53,2016-01-10,13,32
54,2016-01-17,11,32
55,2016-01-24,7,33
56,2016-01-31,11,43
57,2016-02-07,12,32
58,2016-02-14,12,35
59,2016-02-21,10,34
60,2016-02-28,13,35
61,2016-03-06,13,33
62,2016-03-13,11,30
63,2016-03-20,28,30
64,2016-03-27,16,31
65,2016-04-03,9,38
66,2016-04-10,8,31
67,2016-04-17,12,31
68,2016-04-24,9,35
69,2016-05-01,12,29
70,2016-05-08,11,31
71,2016-05-15,11,36
72,2016-05-22,9,32
73,2016-05-29,8,34
74,2016-06-05,8,33
75,2016-06-12,9,29
76,2016-06-19,10,26
77,2016-06-26,9,25
78,2016-07-03,8,26
79,2016-07-10,9,29
80,2016-07-17,11,30
81,2016-07-24,9,28
82,2016-07-31,7,32
83,2016-08-07,7,32
84,2016-08-14,7,39
85,2016-08-21,8,51
86,2016-08-28,8,42
87,2016-09-04,9,40
88,2016-09-11,8,38
89,2016-09-18,9,44
90,2016-09-25,8,37
91,2016-10-02,11,31
92,2016-10-09,11,38
93,2016-10-16,11,36
94,2016-10-23,8,37
95,2016-10-30,9,33
96,2016-11-06,9,31
97,2016-11-13,12,32
98,2016-11-20,9,25
99,2016-11-27,13,33
100,2016-12-04,15,33
101,2016-12-11,12,32
102,2016-12-18,9,31
103,2016-12-25,11,29
104,2017-01-01,9,31
105,2017-01-08,9,30
106,2017-01-15,13,34
107,2017-01-22,11,35
108,2017-01-29,8,30
109,2017-02-05,9,33
110,2017-02-12,11,30
111,2017-02-19,9,30
112,2017-02-26,9,33
113,2017-03-05,10,31
114,2017-03-12,10,30
115,2017-03-19,9,32
116,2017-03-26,9,36
117,2017-04-02,9,34
118,2017-04-09,8,29
119,2017-04-16,9,31
120,2017-04-23,9,35
121,2017-04-30,8,32
122,2017-05-07,11,36
123,2017-05-14,8,34
124,2017-05-21,8,35
125,2017-05-28,9,37
126,2017-06-04,6,28
127,2017-06-11,9,29
128,2017-06-18,9,29
129,2017-06-25,8,30
130,2017-07-02,9,23
131,2017-07-09,8,31
132,2017-07-16,8,29
133,2017-07-23,7,27
134,2017-07-30,7,26
135,2017-08-06,9,32
136,2017-08-13,10,41
137,2017-08-20,8,48
138,2017-08-27,6,42
139,2017-09-03,6,27
140,2017-09-10,7,27
141,2017-09-17,8,36
142,2017-09-24,8,39
143,2017-10-01,6,40
144,2017-10-08,9,40
145,2017-10-15,10,39
146,2017-10-22,8,38
147,2017-10-29,9,39
148,2017-11-05,10,44
149,2017-11-12,8,37
150,2017-11-19,8,31
151,2017-11-26,5,35
152,2017-12-03,9,37
153,2017-12-10,7,35
154,2017-12-17,7,33
155,2017-12-24,10,27
156,2017-12-31,9,28
157,2018-01-07,9,33
158,2018-01-14,10,32
159,2018-01-21,8,36
160,2018-01-28,9,36
161,2018-02-04,10,41
162,2018-02-11,7,36
163,2018-02-18,9,35
164,2018-02-25,10,37
165,2018-03-04,10,34
166,2018-03-11,9,34
167,2018-03-18,8,34
168,2018-03-25,8,31
169,2018-04-01,8,34
170,2018-04-08,9,34
171,2018-04-15,8,36
172,2018-04-22,9,32
173,2018-04-29,9,34
174,2018-05-06,8,34
175,2018-05-13,9,36
176,2018-05-20,9,32
177,2018-05-27,9,34
178,2018-06-03,10,29
179,2018-06-10,10,32
180,2018-06-17,9,29
181,2018-06-24,9,30
182,2018-07-01,11,26
183,2018-07-08,10,25
184,2018-07-15,8,30
185,2018-07-22,10,34
186,2018-07-29,9,32
187,2018-08-05,9,32
188,2018-08-12,8,41
189,2018-08-19,8,51
190,2018-08-26,8,44
191,2018-09-02,8,39
192,2018-09-09,10,42
193,2018-09-16,11,36
194,2018-09-23,9,42
195,2018-09-30,9,40
196,2018-10-07,7,36
197,2018-10-14,8,35
198,2018-10-21,9,34
199,2018-10-28,8,33
200,2018-11-04,7,35
201,2018-11-11,10,34
202,2018-11-18,48,27
203,2018-11-25,68,34
204,2018-12-02,26,37
205,2018-12-09,18,36
206,2018-12-16,14,33
207,2018-12-23,17,27
208,2018-12-30,13,29
209,2019-01-06,13,34
210,2019-01-13,16,33
211,2019-01-20,14,34
212,2019-01-27,14,35
213,2019-02-03,13,36
214,2019-02-10,14,34
215,2019-02-17,15,37
216,2019-02-24,13,31
217,2019-03-03,15,33
218,2019-03-10,14,31
219,2019-03-17,16,30
220,2019-03-24,32,33
221,2019-03-31,33,31
222,2019-04-07,12,31
223,2019-04-14,17,31
224,2019-04-21,17,33
225,2019-04-28,12,34
226,2019-05-05,14,30
227,2019-05-12,24,37
228,2019-05-19,16,31
229,2019-05-26,15,28
230,2019-06-02,16,32
231,2019-06-09,14,28
232,2019-06-16,21,28
233,2019-06-23,22,32
234,2019-06-30,21,27
235,2019-07-07,32,30
236,2019-07-14,92,32
237,2019-07-21,30,32
238,2019-07-28,21,31
239,2019-08-04,19,33
240,2019-08-11,17,40
241,2019-08-18,22,43
242,2019-08-25,92,38
243,2019-09-01,18,33
244,2019-09-08,11,39
245,2019-09-15,9,38
246,2019-09-22,10,40
247,2019-09-29,10,38
248,2019-10-06,8,37
249,2019-10-13,10,39
250,2019-10-20,10,38
251,2019-10-27,8,39
252,2019-11-03,9,38
253,2019-11-10,8,35
254,2019-11-17,9,38
255,2019-11-24,8,29
256,2019-12-01,10,34
257,2019-12-08,8,33
258,2019-12-15,8,31
259,2019-12-22,10,26
260,2019-12-29,10,30
