,date,U2,Alphabet
0,2015-01-04,7,28
1,2015-01-11,8,29
2,2015-01-18,10,28
3,2015-01-25,7,31
4,2015-02-01,7,26
5,2015-02-08,7,24
6,2015-02-15,6,24
7,2015-02-22,6,28
8,2015-03-01,7,26
9,2015-03-08,7,27
10,2015-03-15,8,26
11,2015-03-22,8,25
12,2015-03-29,8,25
13,2015-04-05,7,26
14,2015-04-12,8,26
15,2015-04-19,6,28
16,2015-04-26,9,23
17,2015-05-03,14,24
18,2015-05-10,18,26
19,2015-05-17,12,28
20,2015-05-24,15,28
21,2015-05-31,9,23
22,2015-06-07,9,22
23,2015-06-14,9,22
24,2015-06-21,9,21
25,2015-06-28,9,23
26,2015-07-05,9,22
27,2015-07-12,10,21
28,2015-07-19,13,20
29,2015-07-26,11,23
30,2015-08-02,8,21
31,2015-08-09,7,49
32,2015-08-16,6,32
33,2015-08-23,7,36
34,2015-08-30,7,36
35,2015-09-06,7,33
36,2015-09-13,5,34
37,2015-09-20,7,30
38,2015-09-27,5,32
39,2015-10-04,6,36
40,2015-10-11,5,30
41,2015-10-18,6,30
42,2015-10-25,5,31
43,2015-11-01,6,28
44,2015-11-08,9,30
45,2015-11-15,7,30
46,2015-11-22,8,22
47,2015-11-29,6,27
48,2015-12-06,12,29
49,2015-12-13,10,25
50,2015-12-20,9,20
51,2015-12-27,5,22
52,2016-01-03,5,25
53,2016-01-10,5,23
54,2016-01-17,6,23
55,2016-01-24,5,24
56,2016-01-31,6,31
57,2016-02-07,6,23
58,2016-02-14,5,25
59,2016-02-21,6,25
60,2016-02-28,5,25
61,2016-03-06,4,24
62,2016-03-13,5,21
63,2016-03-20,5,22
64,2016-03-27,5,22
65,2016-04-03,6,28
66,2016-04-10,4,22
67,2016-04-17,3,22
68,2016-04-24,6,25
69,2016-05-01,4,21
70,2016-05-08,6,22
71,2016-05-15,5,26
72,2016-05-22,5,23
73,2016-05-29,4,24
74,2016-06-05,4,23
75,2016-06-12,5,21
76,2016-06-19,3,19
77,2016-06-26,5,18
78,2016-07-03,5,19
79,2016-07-10,5,21
80,2016-07-17,5,22
81,2016-07-24,4,20
82,2016-07-31,3,23
83,2016-08-07,3,23
84,2016-08-14,4,28
85,2016-08-21,5,37
86,2016-08-28,5,30
87,2016-09-04,4,29
88,2016-09-11,3,27
89,2016-09-18,6,32
90,2016-09-25,5,27
91,2016-10-02,5,22
92,2016-10-09,4,27
93,2016-10-16,3,26
94,2016-10-23,3,26
95,2016-10-30,4,24
96,2016-11-06,4,22
97,2016-11-13,4,23
98,2016-11-20,5,18
99,2016-11-27,4,24
100,2016-12-04,5,24
101,2016-12-11,6,23
102,2016-12-18,4,22
103,2016-12-25,6,21
104,2017-01-01,5,22
105,2017-01-08,52,22
106,2017-01-15,32,25
107,2017-01-22,11,25
108,2017-01-29,11,22
109,2017-02-05,7,24
110,2017-02-12,7,21
111,2017-02-19,7,22
112,2017-02-26,8,24
113,2017-03-05,10,22
114,2017-03-12,8,22
115,2017-03-19,8,23
116,2017-03-26,8,26
117,2017-04-02,6,25
118,2017-04-09,9,21
119,2017-04-16,10,23
120,2017-04-23,9,25
121,2017-04-30,8,23
122,2017-05-07,13,26
123,2017-05-14,17,25
124,2017-05-21,20,25
125,2017-05-28,18,26
126,2017-06-04,36,20
127,2017-06-11,100,21
128,2017-06-18,13,21
129,2017-06-25,9,22
130,2017-07-02,7,17
131,2017-07-09,7,22
132,2017-07-16,7,21
133,2017-07-23,7,20
134,2017-07-30,6,19
135,2017-08-06,5,23
136,2017-08-13,5,30
137,2017-08-20,6,35
138,2017-08-27,6,30
139,2017-09-03,6,19
140,2017-09-10,9,20
141,2017-09-17,7,26
142,2017-09-24,5,28
143,2017-10-01,5,28
144,2017-10-08,5,29
145,2017-10-15,6,28
146,2017-10-22,5,28
147,2017-10-29,8,28
148,2017-11-05,6,31
149,2017-11-12,7,26
150,2017-11-19,6,22
151,2017-11-26,7,25
152,2017-12-03,11,27
153,2017-12-10,6,25
154,2017-12-17,7,24
155,2017-12-24,6,20
156,2017-12-31,6,20
157,2018-01-07,5,24
158,2018-01-14,6,23
159,2018-01-21,5,26
160,2018-01-28,14,26
161,2018-02-04,5,30
162,2018-02-11,6,26
163,2018-02-18,4,25
164,2018-02-25,5,27
165,2018-03-04,5,24
166,2018-03-11,4,25
167,2018-03-18,5,24
168,2018-03-25,4,22
169,2018-04-01,6,25
170,2018-04-08,6,24
171,2018-04-15,5,26
172,2018-04-22,4,23
173,2018-04-29,7,24
174,2018-05-06,8,24
175,2018-05-13,6,26
176,2018-05-20,9,23
177,2018-05-27,8,25
178,2018-06-03,6,21
179,2018-06-10,7,23
180,2018-06-17,6,21
181,2018-06-24,5,21
182,2018-07-01,5,18
183,2018-07-08,4,18
184,2018-07-15,4,21
185,2018-07-22,6,25
186,2018-07-29,3,23
187,2018-08-05,5,23
188,2018-08-12,2,29
189,2018-08-19,4,37
190,2018-08-26,5,32
191,2018-09-02,5,28
192,2018-09-09,5,30
193,2018-09-16,4,26
194,2018-09-23,4,30
195,2018-09-30,4,29
196,2018-10-07,4,26
197,2018-10-14,3,26
198,2018-10-21,3,25
199,2018-10-28,4,24
200,2018-11-04,3,25
201,2018-11-11,4,24
202,2018-11-18,4,20
203,2018-11-25,4,24
204,2018-12-02,4,27
205,2018-12-09,3,26
206,2018-12-16,4,24
207,2018-12-23,4,19
208,2018-12-30,4,21
209,2019-01-06,3,24
210,2019-01-13,4,24
211,2019-01-20,3,24
212,2019-01-27,4,25
213,2019-02-03,3,26
214,2019-02-10,5,24
215,2019-02-17,5,27
216,2019-02-24,4,22
217,2019-03-03,4,24
218,2019-03-10,4,22
219,2019-03-17,5,22
220,2019-03-24,3,24
221,2019-03-31,5,22
222,2019-04-07,4,22
223,2019-04-14,3,22
224,2019-04-21,3,24
225,2019-04-28,3,24
226,2019-05-05,4,21
227,2019-05-12,3,27
228,2019-05-19,4,23
229,2019-05-26,4,20
230,2019-06-02,4,23
231,2019-06-09,3,20
232,2019-06-16,5,20
233,2019-06-23,3,23
234,2019-06-30,4,19
235,2019-07-07,4,21
236,2019-07-14,4,23
237,2019-07-21,4,23
238,2019-07-28,4,22
239,2019-08-04,4,24
240,2019-08-11,5,29
241,2019-08-18,4,31
242,2019-08-25,3,27
243,2019-09-01,3,24
244,2019-09-08,3,28
245,2019-09-15,4,27
246,2019-09-22,3,28
247,2019-09-29,3,27
248,2019-10-06,4,27
249,2019-10-13,3,28
250,2019-10-20,3,27
251,2019-10-27,4,28
252,2019-11-03,3,27
253,2019-11-10,3,25
254,2019-11-17,4,27
255,2019-11-24,4,21
256,2019-12-01,4,25
257,2019-12-08,4,24
258,2019-12-15,3,23
259,2019-12-22,4,19
260,2019-12-29,5,22
