,date,Bruno Mars,Alphabet
0,2015-01-04,16,19
1,2015-01-11,24,20
2,2015-01-18,27,25
3,2015-01-25,19,24
4,2015-02-01,25,20
5,2015-02-08,22,22
6,2015-02-15,22,18
7,2015-02-22,20,19
8,2015-03-01,19,22
9,2015-03-08,20,20
10,2015-03-15,16,17
11,2015-03-22,19,20
12,2015-03-29,17,17
13,2015-04-05,17,24
14,2015-04-12,12,25
15,2015-04-19,15,20
16,2015-04-26,13,23
17,2015-05-03,12,23
18,2015-05-10,11,20
19,2015-05-17,14,19
20,2015-05-24,13,18
21,2015-05-31,14,16
22,2015-06-07,10,17
23,2015-06-14,11,19
24,2015-06-21,10,20
25,2015-06-28,10,18
26,2015-07-05,11,17
27,2015-07-12,10,17
28,2015-07-19,11,18
29,2015-07-26,9,18
30,2015-08-02,11,22
31,2015-08-09,8,49
32,2015-08-16,7,37
33,2015-08-23,7,29
34,2015-08-30,9,29
35,2015-09-06,11,27
36,2015-09-13,6,26
37,2015-09-20,7,26
38,2015-09-27,5,27
39,2015-10-04,7,34
40,2015-10-11,6,26
41,2015-10-18,10,28
42,2015-10-25,7,29
43,2015-11-01,7,22
44,2015-11-08,6,22
45,2015-11-15,4,22
46,2015-11-22,6,18
47,2015-11-29,5,21
48,2015-12-06,7,22
49,2015-12-13,9,23
50,2015-12-20,7,18
51,2015-12-27,7,15
52,2016-01-03,6,20
53,2016-01-10,7,23
54,2016-01-17,9,22
55,2016-01-24,5,23
56,2016-01-31,9,28
57,2016-02-07,67,23
58,2016-02-14,17,20
59,2016-02-21,11,23
60,2016-02-28,8,23
61,2016-03-06,7,22
62,2016-03-13,6,24
63,2016-03-20,5,20
64,2016-03-27,6,20
65,2016-04-03,6,19
66,2016-04-10,7,19
67,2016-04-17,7,22
68,2016-04-24,6,19
69,2016-05-01,6,21
70,2016-05-08,5,22
71,2016-05-15,7,23
72,2016-05-22,9,18
73,2016-05-29,9,19
74,2016-06-05,7,19
75,2016-06-12,7,18
76,2016-06-19,4,20
77,2016-06-26,6,18
78,2016-07-03,6,20
79,2016-07-10,5,16
80,2016-07-17,9,19
81,2016-07-24,5,18
82,2016-07-31,6,25
83,2016-08-07,7,30
84,2016-08-14,6,28
85,2016-08-21,7,30
86,2016-08-28,6,31
87,2016-09-04,5,23
88,2016-09-11,5,27
89,2016-09-18,6,24
90,2016-09-25,6,25
91,2016-10-02,12,22
92,2016-10-09,17,21
93,2016-10-16,20,20
94,2016-10-23,16,23
95,2016-10-30,17,22
96,2016-11-06,13,19
97,2016-11-13,26,21
98,2016-11-20,48,18
99,2016-11-27,21,22
100,2016-12-04,22,22
101,2016-12-11,44,21
102,2016-12-18,30,20
103,2016-12-25,28,19
104,2017-01-01,20,21
105,2017-01-08,16,22
106,2017-01-15,15,22
107,2017-01-22,14,22
108,2017-01-29,19,21
109,2017-02-05,21,22
110,2017-02-12,100,23
111,2017-02-19,33,20
112,2017-02-26,32,20
113,2017-03-05,40,19
114,2017-03-12,32,19
115,2017-03-19,31,22
116,2017-03-26,30,22
117,2017-04-02,33,18
118,2017-04-09,32,21
119,2017-04-16,30,19
120,2017-04-23,34,22
121,2017-04-30,36,21
122,2017-05-07,37,20
123,2017-05-14,36,25
124,2017-05-21,42,18
125,2017-05-28,39,19
126,2017-06-04,26,21
127,2017-06-11,32,19
128,2017-06-18,32,20
129,2017-06-25,67,16
130,2017-07-02,36,17
131,2017-07-09,29,19
132,2017-07-16,23,17
133,2017-07-23,22,20
134,2017-07-30,22,20
135,2017-08-06,22,29
136,2017-08-13,30,29
137,2017-08-20,19,26
138,2017-08-27,24,27
139,2017-09-03,19,25
140,2017-09-10,24,20
141,2017-09-17,36,25
142,2017-09-24,18,25
143,2017-10-01,17,24
144,2017-10-08,19,26
145,2017-10-15,20,28
146,2017-10-22,17,31
147,2017-10-29,14,22
148,2017-11-05,13,26
149,2017-11-12,11,25
150,2017-11-19,10,18
151,2017-11-26,23,22
152,2017-12-03,15,21
153,2017-12-10,13,21
154,2017-12-17,12,20
155,2017-12-24,14,17
156,2017-12-31,38,18
157,2018-01-07,22,23
158,2018-01-14,22,20
159,2018-01-21,29,25
160,2018-01-28,81,25
161,2018-02-04,34,22
162,2018-02-11,26,22
163,2018-02-18,21,20
164,2018-02-25,18,20
165,2018-03-04,20,24
166,2018-03-11,27,22
167,2018-03-18,19,24
168,2018-03-25,21,21
169,2018-04-01,16,20
170,2018-04-08,14,21
171,2018-04-15,14,21
172,2018-04-22,14,21
173,2018-04-29,14,22
174,2018-05-06,14,21
175,2018-05-13,12,22
176,2018-05-20,12,20
177,2018-05-27,11,19
178,2018-06-03,12,17
179,2018-06-10,12,19
180,2018-06-17,11,21
181,2018-06-24,12,18
182,2018-07-01,10,18
183,2018-07-08,11,18
184,2018-07-15,9,19
185,2018-07-22,11,22
186,2018-07-29,10,21
187,2018-08-05,9,29
188,2018-08-12,15,29
189,2018-08-19,10,30
190,2018-08-26,10,29
191,2018-09-02,11,26
192,2018-09-09,9,27
193,2018-09-16,13,27
194,2018-09-23,11,22
195,2018-09-30,13,22
196,2018-10-07,17,25
197,2018-10-14,10,25
198,2018-10-21,10,23
199,2018-10-28,9,19
200,2018-11-04,13,22
201,2018-11-11,12,21
202,2018-11-18,13,20
203,2018-11-25,9,22
204,2018-12-02,11,23
205,2018-12-09,11,21
206,2018-12-16,9,20
207,2018-12-23,11,16
208,2018-12-30,11,20
209,2019-01-06,0,0
210,2019-01-13,0,0
211,2019-01-20,0,0
212,2019-01-27,0,0
213,2019-02-03,0,0
214,2019-02-10,0,0
215,2019-02-17,0,0
216,2019-02-24,0,0
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,0,0
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,9,21
223,2019-04-14,9,19
224,2019-04-21,0,0
225,2019-04-28,0,0
226,2019-05-05,0,0
227,2019-05-12,0,0
228,2019-05-19,0,0
