,date,Coldplay,Alphabet
0,2015-01-04,5,18
1,2015-01-11,5,19
2,2015-01-18,4,24
3,2015-01-25,5,23
4,2015-02-01,6,20
5,2015-02-08,4,21
6,2015-02-15,5,17
7,2015-02-22,4,18
8,2015-03-01,5,21
9,2015-03-08,3,19
10,2015-03-15,4,16
11,2015-03-22,4,19
12,2015-03-29,5,16
13,2015-04-05,5,23
14,2015-04-12,3,23
15,2015-04-19,5,20
16,2015-04-26,4,22
17,2015-05-03,5,22
18,2015-05-10,3,19
19,2015-05-17,5,18
20,2015-05-24,4,17
21,2015-05-31,4,15
22,2015-06-07,6,16
23,2015-06-14,5,18
24,2015-06-21,4,19
25,2015-06-28,4,18
26,2015-07-05,4,16
27,2015-07-12,5,16
28,2015-07-19,5,17
29,2015-07-26,6,17
30,2015-08-02,5,21
31,2015-08-09,4,47
32,2015-08-16,6,35
33,2015-08-23,5,27
34,2015-08-30,5,28
35,2015-09-06,4,26
36,2015-09-13,4,25
37,2015-09-20,4,25
38,2015-09-27,5,26
39,2015-10-04,6,32
40,2015-10-11,4,25
41,2015-10-18,4,26
42,2015-10-25,5,27
43,2015-11-01,7,21
44,2015-11-08,7,22
45,2015-11-15,6,21
46,2015-11-22,14,17
47,2015-11-29,18,20
48,2015-12-06,11,21
49,2015-12-13,14,22
50,2015-12-20,9,17
51,2015-12-27,8,15
52,2016-01-03,7,19
53,2016-01-10,7,22
54,2016-01-17,7,21
55,2016-01-24,14,22
56,2016-01-31,22,27
57,2016-02-07,100,22
58,2016-02-14,12,19
59,2016-02-21,8,22
60,2016-02-28,7,22
61,2016-03-06,5,21
62,2016-03-13,10,23
63,2016-03-20,8,19
64,2016-03-27,6,19
65,2016-04-03,6,18
66,2016-04-10,6,18
67,2016-04-17,6,21
68,2016-04-24,7,18
69,2016-05-01,5,20
70,2016-05-08,6,21
71,2016-05-15,9,22
72,2016-05-22,5,18
73,2016-05-29,6,18
74,2016-06-05,5,18
75,2016-06-12,6,17
76,2016-06-19,9,19
77,2016-06-26,6,17
78,2016-07-03,5,19
79,2016-07-10,6,16
80,2016-07-17,10,18
81,2016-07-24,13,17
82,2016-07-31,7,24
83,2016-08-07,8,28
84,2016-08-14,6,27
85,2016-08-21,7,29
86,2016-08-28,7,30
87,2016-09-04,6,22
88,2016-09-11,4,26
89,2016-09-18,5,23
90,2016-09-25,5,24
91,2016-10-02,5,21
92,2016-10-09,5,21
