,date,Guns N' Roses,Alphabet
0,2015-01-04,5,21
1,2015-01-11,4,22
2,2015-01-18,4,27
3,2015-01-25,5,27
4,2015-02-01,4,23
5,2015-02-08,3,25
6,2015-02-15,4,19
7,2015-02-22,4,21
8,2015-03-01,4,24
9,2015-03-08,5,22
10,2015-03-15,5,19
11,2015-03-22,4,22
12,2015-03-29,6,18
13,2015-04-05,4,26
14,2015-04-12,5,27
15,2015-04-19,4,23
16,2015-04-26,5,25
17,2015-05-03,6,25
18,2015-05-10,4,22
19,2015-05-17,5,21
20,2015-05-24,5,20
21,2015-05-31,8,18
22,2015-06-07,4,19
23,2015-06-14,5,21
24,2015-06-21,4,22
25,2015-06-28,3,20
26,2015-07-05,3,18
27,2015-07-12,4,19
28,2015-07-19,3,19
29,2015-07-26,3,20
30,2015-08-02,5,24
31,2015-08-09,3,54
32,2015-08-16,4,41
33,2015-08-23,5,32
34,2015-08-30,5,32
35,2015-09-06,4,30
36,2015-09-13,5,29
37,2015-09-20,3,29
38,2015-09-27,5,30
39,2015-10-04,4,37
40,2015-10-11,3,28
41,2015-10-18,5,30
42,2015-10-25,6,32
43,2015-11-01,4,25
44,2015-11-08,8,25
45,2015-11-15,7,24
46,2015-11-22,8,20
47,2015-11-29,8,23
48,2015-12-06,5,24
49,2015-12-13,6,26
50,2015-12-20,6,19
51,2015-12-27,15,17
52,2016-01-03,17,22
53,2016-01-10,10,26
54,2016-01-17,9,24
55,2016-01-24,7,26
56,2016-01-31,8,31
57,2016-02-07,7,25
58,2016-02-14,7,22
59,2016-02-21,6,25
60,2016-02-28,5,25
61,2016-03-06,6,24
62,2016-03-13,8,26
63,2016-03-20,14,22
64,2016-03-27,31,22
65,2016-04-03,53,21
66,2016-04-10,29,21
67,2016-04-17,22,24
68,2016-04-24,11,21
69,2016-05-01,9,23
70,2016-05-08,10,25
71,2016-05-15,10,26
72,2016-05-22,9,20
73,2016-05-29,12,21
74,2016-06-05,11,21
75,2016-06-12,13,20
76,2016-06-19,19,22
77,2016-06-26,15,20
78,2016-07-03,22,22
79,2016-07-10,24,18
80,2016-07-17,22,21
81,2016-07-24,100,20
82,2016-07-31,16,28
83,2016-08-07,9,33
84,2016-08-14,7,31
85,2016-08-21,7,34
86,2016-08-28,5,35
87,2016-09-04,4,26
88,2016-09-11,5,30
89,2016-09-18,6,27
90,2016-09-25,5,28
91,2016-10-02,4,24
92,2016-10-09,4,24
93,2016-10-16,4,22
94,2016-10-23,4,26
95,2016-10-30,4,24
96,2016-11-06,4,21
97,2016-11-13,5,24
