,date,Metallica,Alphabet
0,2015-01-04,8,30
1,2015-01-11,11,31
2,2015-01-18,12,39
3,2015-01-25,10,39
4,2015-02-01,11,32
5,2015-02-08,11,35
6,2015-02-15,11,28
7,2015-02-22,9,30
8,2015-03-01,12,34
9,2015-03-08,11,32
10,2015-03-15,8,27
11,2015-03-22,9,32
12,2015-03-29,13,26
13,2015-04-05,12,38
14,2015-04-12,11,39
15,2015-04-19,10,32
16,2015-04-26,11,36
17,2015-05-03,13,36
18,2015-05-10,10,32
19,2015-05-17,13,30
20,2015-05-24,12,28
21,2015-05-31,14,25
22,2015-06-07,13,27
23,2015-06-14,17,30
24,2015-06-21,9,31
25,2015-06-28,11,29
26,2015-07-05,10,26
27,2015-07-12,7,26
28,2015-07-19,8,28
29,2015-07-26,12,29
30,2015-08-02,8,35
31,2015-08-09,12,77
32,2015-08-16,10,58
33,2015-08-23,10,45
34,2015-08-30,10,46
35,2015-09-06,8,43
36,2015-09-13,8,41
37,2015-09-20,8,41
38,2015-09-27,9,43
39,2015-10-04,8,53
40,2015-10-11,6,41
41,2015-10-18,13,43
42,2015-10-25,8,45
43,2015-11-01,10,35
44,2015-11-08,10,35
45,2015-11-15,7,35
46,2015-11-22,10,29
47,2015-11-29,8,33
48,2015-12-06,10,34
49,2015-12-13,10,36
50,2015-12-20,12,28
51,2015-12-27,13,24
52,2016-01-03,9,32
53,2016-01-10,9,37
54,2016-01-17,9,34
55,2016-01-24,10,36
56,2016-01-31,8,44
57,2016-02-07,16,36
58,2016-02-14,9,32
59,2016-02-21,9,36
60,2016-02-28,9,36
61,2016-03-06,11,35
62,2016-03-13,11,37
63,2016-03-20,8,31
64,2016-03-27,11,32
65,2016-04-03,10,30
66,2016-04-10,10,30
67,2016-04-17,10,34
68,2016-04-24,8,30
69,2016-05-01,8,33
70,2016-05-08,9,35
71,2016-05-15,8,36
72,2016-05-22,11,29
73,2016-05-29,8,30
74,2016-06-05,12,30
75,2016-06-12,9,28
76,2016-06-19,9,31
77,2016-06-26,10,28
78,2016-07-03,12,31
79,2016-07-10,9,26
80,2016-07-17,9,30
81,2016-07-24,16,29
82,2016-07-31,6,40
83,2016-08-07,9,47
84,2016-08-14,21,44
85,2016-08-21,17,48
86,2016-08-28,14,49
87,2016-09-04,11,36
88,2016-09-11,13,42
89,2016-09-18,9,38
90,2016-09-25,17,39
91,2016-10-02,10,34
92,2016-10-09,10,34
93,2016-10-16,9,32
94,2016-10-23,14,37
95,2016-10-30,13,35
96,2016-11-06,14,30
97,2016-11-13,37,34
98,2016-11-20,26,28
99,2016-11-27,15,35
100,2016-12-04,12,34
101,2016-12-11,11,34
102,2016-12-18,17,31
103,2016-12-25,13,30
104,2017-01-01,12,33
105,2017-01-08,10,34
106,2017-01-15,11,35
107,2017-01-22,15,35
108,2017-01-29,11,32
109,2017-02-05,15,35
110,2017-02-12,100,37
111,2017-02-19,28,32
112,2017-02-26,21,32
113,2017-03-05,16,30
114,2017-03-12,14,30
115,2017-03-19,16,34
116,2017-03-26,13,35
117,2017-04-02,15,28
118,2017-04-09,14,33
119,2017-04-16,13,30
120,2017-04-23,15,34
121,2017-04-30,20,34
122,2017-05-07,17,32
123,2017-05-14,18,39
124,2017-05-21,18,29
125,2017-05-28,18,29
126,2017-06-04,17,33
127,2017-06-11,21,30
128,2017-06-18,19,31
129,2017-06-25,22,24
130,2017-07-02,48,26
131,2017-07-09,91,30
132,2017-07-16,15,27
133,2017-07-23,14,32
134,2017-07-30,13,32
135,2017-08-06,11,46
136,2017-08-13,12,45
137,2017-08-20,10,42
138,2017-08-27,9,42
139,2017-09-03,11,39
140,2017-09-10,6,32
141,2017-09-17,10,39
142,2017-09-24,11,39
143,2017-10-01,9,38
144,2017-10-08,10,41
145,2017-10-15,9,43
146,2017-10-22,11,49
147,2017-10-29,6,34
148,2017-11-05,10,41
149,2017-11-12,10,40
150,2017-11-19,9,29
151,2017-11-26,8,35
152,2017-12-03,7,32
153,2017-12-10,10,34
154,2017-12-17,7,32
155,2017-12-24,10,27
156,2017-12-31,9,28
157,2018-01-07,9,36
