,date,Pink,Alphabet
0,2015-01-04,10,39
1,2015-01-11,9,41
2,2015-01-18,7,51
3,2015-01-25,11,50
4,2015-02-01,9,42
5,2015-02-08,11,46
6,2015-02-15,9,36
7,2015-02-22,8,39
8,2015-03-01,10,45
9,2015-03-08,10,41
10,2015-03-15,10,35
11,2015-03-22,13,41
12,2015-03-29,15,34
13,2015-04-05,14,49
14,2015-04-12,16,50
15,2015-04-19,5,42
16,2015-04-26,11,47
17,2015-05-03,5,47
18,2015-05-10,11,41
19,2015-05-17,7,39
20,2015-05-24,10,37
21,2015-05-31,10,33
22,2015-06-07,9,35
23,2015-06-14,9,39
24,2015-06-21,11,41
25,2015-06-28,11,38
26,2015-07-05,8,34
27,2015-07-12,9,34
28,2015-07-19,7,36
29,2015-07-26,11,37
30,2015-08-02,9,45
31,2015-08-09,6,100
32,2015-08-16,9,75
33,2015-08-23,7,59
34,2015-08-30,9,60
35,2015-09-06,13,56
36,2015-09-13,7,54
37,2015-09-20,9,53
38,2015-09-27,10,56
39,2015-10-04,8,69
40,2015-10-11,10,53
41,2015-10-18,9,57
42,2015-10-25,5,59
43,2015-11-01,8,46
44,2015-11-08,7,46
45,2015-11-15,9,45
46,2015-11-22,7,37
47,2015-11-29,10,43
48,2015-12-06,7,45
49,2015-12-13,9,47
50,2015-12-20,6,36
51,2015-12-27,8,31
52,2016-01-03,7,41
53,2016-01-10,8,48
54,2016-01-17,6,44
55,2016-01-24,10,47
56,2016-01-31,8,58
57,2016-02-07,6,47
58,2016-02-14,9,41
59,2016-02-21,9,47
60,2016-02-28,6,47
61,2016-03-06,11,45
62,2016-03-13,8,49
63,2016-03-20,6,41
64,2016-03-27,7,41
65,2016-04-03,8,40
66,2016-04-10,9,39
67,2016-04-17,14,45
68,2016-04-24,16,39
69,2016-05-01,16,43
70,2016-05-08,12,46
71,2016-05-15,18,48
72,2016-05-22,27,38
73,2016-05-29,18,39
74,2016-06-05,15,39
75,2016-06-12,15,37
76,2016-06-19,16,40
77,2016-06-26,15,37
78,2016-07-03,16,40
79,2016-07-10,13,33
80,2016-07-17,12,40
81,2016-07-24,17,37
82,2016-07-31,14,52
83,2016-08-07,10,61
84,2016-08-14,14,58
85,2016-08-21,14,62
86,2016-08-28,13,64
87,2016-09-04,13,47
88,2016-09-11,9,55
89,2016-09-18,9,50
90,2016-09-25,10,51
91,2016-10-02,7,45
92,2016-10-09,11,44
93,2016-10-16,7,41
94,2016-10-23,12,48
95,2016-10-30,11,45
96,2016-11-06,10,40
97,2016-11-13,12,44
98,2016-11-20,8,36
99,2016-11-27,9,45
100,2016-12-04,10,44
101,2016-12-11,9,44
102,2016-12-18,11,41
103,2016-12-25,15,39
104,2017-01-01,9,43
105,2017-01-08,7,45
106,2017-01-15,6,45
107,2017-01-22,8,45
108,2017-01-29,7,42
109,2017-02-05,10,45
110,2017-02-12,9,48
111,2017-02-19,8,42
112,2017-02-26,9,41
113,2017-03-05,7,39
114,2017-03-12,10,40
115,2017-03-19,6,45
116,2017-03-26,8,46
117,2017-04-02,10,37
118,2017-04-09,9,42
119,2017-04-16,9,38
120,2017-04-23,7,45
121,2017-04-30,5,44
122,2017-05-07,6,41
123,2017-05-14,9,51
124,2017-05-21,7,37
125,2017-05-28,6,38
126,2017-06-04,8,43
127,2017-06-11,5,39
128,2017-06-18,5,41
129,2017-06-25,5,32
130,2017-07-02,8,34
131,2017-07-09,11,40
132,2017-07-16,10,35
133,2017-07-23,9,42
134,2017-07-30,12,42
135,2017-08-06,10,59
136,2017-08-13,12,59
137,2017-08-20,10,54
138,2017-08-27,49,54
139,2017-09-03,14,50
140,2017-09-10,10,41
141,2017-09-17,13,51
142,2017-09-24,11,50
143,2017-10-01,25,50
144,2017-10-08,50,53
145,2017-10-15,46,57
146,2017-10-22,23,64
147,2017-10-29,17,44
148,2017-11-05,31,53
149,2017-11-12,24,52
150,2017-11-19,41,37
151,2017-11-26,20,46
152,2017-12-03,18,42
153,2017-12-10,16,44
154,2017-12-17,23,42
155,2017-12-24,21,35
156,2017-12-31,15,37
157,2018-01-07,16,47
158,2018-01-14,19,41
159,2018-01-21,16,52
160,2018-01-28,39,51
161,2018-02-04,83,46
162,2018-02-11,20,44
163,2018-02-18,29,41
164,2018-02-25,47,40
165,2018-03-04,47,49
166,2018-03-11,25,44
167,2018-03-18,27,49
168,2018-03-25,29,44
169,2018-04-01,30,41
170,2018-04-08,29,42
171,2018-04-15,44,43
172,2018-04-22,59,42
173,2018-04-29,51,45
174,2018-05-06,29,43
175,2018-05-13,25,44
176,2018-05-20,19,40
177,2018-05-27,17,39
178,2018-06-03,19,34
179,2018-06-10,20,40
180,2018-06-17,16,43
181,2018-06-24,17,37
