,date,U2,Alphabet
0,2015-01-04,13,39
1,2015-01-11,15,41
2,2015-01-18,12,51
3,2015-01-25,9,50
4,2015-02-01,14,42
5,2015-02-08,12,46
6,2015-02-15,10,36
7,2015-02-22,5,39
8,2015-03-01,7,45
9,2015-03-08,14,41
10,2015-03-15,8,35
11,2015-03-22,9,41
12,2015-03-29,10,34
13,2015-04-05,10,49
14,2015-04-12,8,50
15,2015-04-19,10,42
16,2015-04-26,14,47
17,2015-05-03,19,47
18,2015-05-10,18,41
19,2015-05-17,18,39
20,2015-05-24,17,37
21,2015-05-31,16,33
22,2015-06-07,11,35
23,2015-06-14,9,39
24,2015-06-21,15,41
25,2015-06-28,13,38
26,2015-07-05,13,34
27,2015-07-12,12,34
28,2015-07-19,14,36
29,2015-07-26,17,37
30,2015-08-02,8,45
31,2015-08-09,12,100
32,2015-08-16,9,75
33,2015-08-23,9,59
34,2015-08-30,11,60
35,2015-09-06,9,56
36,2015-09-13,6,54
37,2015-09-20,8,53
38,2015-09-27,7,56
39,2015-10-04,8,69
40,2015-10-11,8,53
41,2015-10-18,9,57
42,2015-10-25,10,59
43,2015-11-01,6,46
44,2015-11-08,3,46
45,2015-11-15,7,45
46,2015-11-22,8,37
47,2015-11-29,7,43
48,2015-12-06,19,45
49,2015-12-13,13,47
50,2015-12-20,10,36
51,2015-12-27,12,31
52,2016-01-03,6,41
53,2016-01-10,9,48
54,2016-01-17,8,44
55,2016-01-24,9,47
56,2016-01-31,9,58
57,2016-02-07,10,47
58,2016-02-14,8,41
59,2016-02-21,8,47
60,2016-02-28,8,47
61,2016-03-06,8,45
62,2016-03-13,12,49
63,2016-03-20,8,41
64,2016-03-27,8,41
65,2016-04-03,10,40
66,2016-04-10,8,39
67,2016-04-17,10,45
68,2016-04-24,7,39
69,2016-05-01,7,43
70,2016-05-08,9,46
71,2016-05-15,7,48
72,2016-05-22,7,38
73,2016-05-29,8,39
74,2016-06-05,7,39
75,2016-06-12,8,37
76,2016-06-19,8,40
77,2016-06-26,8,37
78,2016-07-03,6,40
79,2016-07-10,8,33
80,2016-07-17,3,40
81,2016-07-24,9,37
82,2016-07-31,5,52
83,2016-08-07,7,61
84,2016-08-14,8,58
85,2016-08-21,8,62
86,2016-08-28,5,64
87,2016-09-04,8,47
88,2016-09-11,6,55
89,2016-09-18,6,50
90,2016-09-25,7,51
91,2016-10-02,10,45
92,2016-10-09,7,44
93,2016-10-16,5,41
94,2016-10-23,7,48
95,2016-10-30,5,45
96,2016-11-06,7,40
97,2016-11-13,4,44
98,2016-11-20,8,36
99,2016-11-27,8,45
100,2016-12-04,6,44
101,2016-12-11,8,44
102,2016-12-18,5,41
103,2016-12-25,12,39
104,2017-01-01,8,43
105,2017-01-08,49,45
106,2017-01-15,24,45
107,2017-01-22,10,45
108,2017-01-29,13,42
109,2017-02-05,11,45
110,2017-02-12,11,48
111,2017-02-19,9,42
112,2017-02-26,11,41
113,2017-03-05,10,39
114,2017-03-12,10,40
115,2017-03-19,11,45
116,2017-03-26,9,46
117,2017-04-02,12,37
118,2017-04-09,11,42
119,2017-04-16,9,38
120,2017-04-23,10,45
121,2017-04-30,10,44
122,2017-05-07,13,41
123,2017-05-14,20,51
124,2017-05-21,26,37
125,2017-05-28,20,38
126,2017-06-04,29,43
127,2017-06-11,44,39
128,2017-06-18,26,41
129,2017-06-25,14,32
130,2017-07-02,15,34
131,2017-07-09,10,40
132,2017-07-16,10,35
133,2017-07-23,12,42
134,2017-07-30,11,42
135,2017-08-06,11,59
136,2017-08-13,8,59
137,2017-08-20,10,54
138,2017-08-27,13,54
139,2017-09-03,15,50
140,2017-09-10,18,41
141,2017-09-17,8,51
142,2017-09-24,7,50
143,2017-10-01,8,50
144,2017-10-08,7,53
145,2017-10-15,9,57
146,2017-10-22,7,64
147,2017-10-29,16,44
148,2017-11-05,16,53
149,2017-11-12,23,52
150,2017-11-19,17,37
151,2017-11-26,12,46
152,2017-12-03,15,42
153,2017-12-10,9,44
154,2017-12-17,14,42
155,2017-12-24,8,35
156,2017-12-31,8,37
157,2018-01-07,10,47
158,2018-01-14,11,41
159,2018-01-21,10,52
160,2018-01-28,25,51
