,date,Bruno Mars,Alphabet
0,2015-01-04,4,2
1,2015-01-11,4,2
2,2015-01-18,4,2
3,2015-01-25,4,3
4,2015-02-01,5,2
5,2015-02-08,3,1
6,2015-02-15,3,3
7,2015-02-22,3,1
8,2015-03-01,3,2
9,2015-03-08,2,2
10,2015-03-15,2,2
11,2015-03-22,2,2
12,2015-03-29,2,2
13,2015-04-05,3,2
14,2015-04-12,2,2
15,2015-04-19,2,2
16,2015-04-26,2,2
17,2015-05-03,2,3
18,2015-05-10,3,2
19,2015-05-17,2,2
20,2015-05-24,2,2
21,2015-05-31,2,3
22,2015-06-07,2,2
23,2015-06-14,2,1
24,2015-06-21,2,3
25,2015-06-28,2,3
26,2015-07-05,2,2
27,2015-07-12,3,2
28,2015-07-19,3,3
29,2015-07-26,2,3
30,2015-08-02,3,2
31,2015-08-09,1,4
32,2015-08-16,1,3
33,2015-08-23,2,2
34,2015-08-30,2,3
35,2015-09-06,3,3
36,2015-09-13,2,2
37,2015-09-20,2,3
38,2015-09-27,0,3
39,2015-10-04,2,4
40,2015-10-11,2,3
41,2015-10-18,2,3
42,2015-10-25,2,2
43,2015-11-01,1,2
44,2015-11-08,1,3
45,2015-11-15,1,3
46,2015-11-22,1,2
47,2015-11-29,1,2
48,2015-12-06,2,4
49,2015-12-13,2,3
50,2015-12-20,2,2
51,2015-12-27,1,2
52,2016-01-03,1,4
53,2016-01-10,2,2
54,2016-01-17,1,2
55,2016-01-24,1,3
56,2016-01-31,3,2
57,2016-02-07,13,3
58,2016-02-14,5,2
59,2016-02-21,2,3
60,2016-02-28,2,2
61,2016-03-06,2,3
62,2016-03-13,1,3
63,2016-03-20,2,2
64,2016-03-27,1,3
65,2016-04-03,1,3
66,2016-04-10,1,4
67,2016-04-17,2,3
68,2016-04-24,2,3
69,2016-05-01,1,2
70,2016-05-08,1,3
71,2016-05-15,1,3
72,2016-05-22,2,2
73,2016-05-29,1,2
74,2016-06-05,2,2
75,2016-06-12,1,3
76,2016-06-19,0,2
77,2016-06-26,1,3
78,2016-07-03,2,2
79,2016-07-10,1,3
80,2016-07-17,1,2
81,2016-07-24,1,3
82,2016-07-31,2,2
83,2016-08-07,0,4
84,2016-08-14,2,3
85,2016-08-21,2,3
86,2016-08-28,1,3
87,2016-09-04,1,2
88,2016-09-11,1,4
89,2016-09-18,1,1
90,2016-09-25,1,3
91,2016-10-02,4,3
92,2016-10-09,5,1
93,2016-10-16,6,2
94,2016-10-23,4,2
95,2016-10-30,3,3
96,2016-11-06,4,2
97,2016-11-13,10,3
98,2016-11-20,21,2
99,2016-11-27,6,3
100,2016-12-04,7,3
101,2016-12-11,12,3
102,2016-12-18,7,2
103,2016-12-25,5,1
104,2017-01-01,6,1
105,2017-01-08,5,2
106,2017-01-15,4,1
107,2017-01-22,4,3
108,2017-01-29,5,2
109,2017-02-05,4,2
110,2017-02-12,18,2
111,2017-02-19,6,3
112,2017-02-26,6,3
113,2017-03-05,6,3
114,2017-03-12,6,2
115,2017-03-19,6,2
116,2017-03-26,4,1
117,2017-04-02,4,2
118,2017-04-09,3,2
119,2017-04-16,4,2
120,2017-04-23,4,3
121,2017-04-30,5,2
122,2017-05-07,5,2
123,2017-05-14,3,1
124,2017-05-21,6,2
125,2017-05-28,4,2
126,2017-06-04,4,3
127,2017-06-11,4,1
128,2017-06-18,4,3
129,2017-06-25,7,2
130,2017-07-02,4,2
131,2017-07-09,5,2
132,2017-07-16,5,2
133,2017-07-23,4,3
134,2017-07-30,4,2
135,2017-08-06,4,4
136,2017-08-13,5,3
137,2017-08-20,5,3
138,2017-08-27,4,2
139,2017-09-03,3,3
140,2017-09-10,4,3
141,2017-09-17,4,3
142,2017-09-24,3,3
143,2017-10-01,3,2
144,2017-10-08,4,2
145,2017-10-15,3,3
146,2017-10-22,2,3
147,2017-10-29,3,4
148,2017-11-05,3,3
149,2017-11-12,2,3
150,2017-11-19,2,3
151,2017-11-26,6,3
152,2017-12-03,3,3
153,2017-12-10,2,2
154,2017-12-17,2,1
155,2017-12-24,3,3
156,2017-12-31,5,3
157,2018-01-07,4,3
158,2018-01-14,3,2
159,2018-01-21,5,2
160,2018-01-28,19,2
161,2018-02-04,7,3
162,2018-02-11,6,3
163,2018-02-18,4,2
164,2018-02-25,3,3
165,2018-03-04,5,2
166,2018-03-11,5,3
167,2018-03-18,4,3
168,2018-03-25,3,3
169,2018-04-01,4,2
